"","Viral_Family","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B.01.03","Vogue1B.01.48"
"2","Adenoviridae",6,5,21,54,24,6,13,16,9,10,13,11,13,21,28,20,28,10,24,9,9,5,99,13,30
"3","Alloherpesviridae",0,0,0,2,8,0,0,0,0,0,1,0,0,1,0,1,1,5,7,1,0,0,0,2,1
"4","Alphaflexiviridae",0,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,26,4,2
"5","Ampullaviridae",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Anelloviridae",2,0,0,32,7,0,63,4,1,0,1,13,37,0,0,22,6,8,65,73,0,21,0,0,31
"7","Ascoviridae",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0
"8","Astroviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Baculoviridae",3,0,1,30,4,0,25,19,10,8,14,1,3,10,0,6,2,9,14,4,25,3,4,7,13
"10","Bicaudaviridae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Caudovirales",0,0,0,7,0,36,25,5,1,9,0,0,1,0,1,0,9,45,0,2,5,0,0,1,0
"12","Caulimoviridae",0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Chrysoviridae",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Coronaviridae",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Endornaviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"16","Flaviviridae",0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1
"17","Fuselloviridae",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"18","Hepeviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
