"","Viral_Genus","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"2","3alikevirus",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Alphabaculovirus",2,7,0,1,23,3,0,24,19,9,0,4,1,3,9,0,4,0,9,12,4,24,7,3,3
"4","Alphalipothrixvirus",24,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,2,0,0
"5","Alphapapillomavirus",1258,1805,77,128,118,2597,15931,1260,1193,219,140,235,596747,5749,438,129,404306,3474,263,70980,712,614923,711,66,44
"6","Alpharetrovirus",1,5,0,2,13,1,0,2,3,0,0,2,1,0,12,0,3,1,3,6,0,2,4,0,2
"7","Alphatorquevirus",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
"8","Ampullavirus",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Ascovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"10","Aviadenovirus",0,3,0,8,40,8,0,4,2,4,0,7,1,0,5,4,13,7,3,12,2,0,13,0,98
"11","Avipoxvirus",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"12","Badnavirus",0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Bcepmulikevirus",0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"14","Betabaculovirus",0,0,0,0,4,1,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,1,0,1
"15","Betapapillomavirus",3,0,0,1,1,0,0,0,35,0,0,0,179,0,0,0,10,135,0,0,26,0,0,0,0
"16","Betapolyomavirus",0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,106,0,0,0,1,0,0,0
"17","Bppunalikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"18","Bracovirus",0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
"19","Cafeteriavirus",0,0,1,1,0,0,0,6,0,0,0,1,2,1,1,0,0,10,0,0,0,1,0,0,0
"20","Che8likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"21","Chipapillomavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"22","Chlorovirus",27,6,0,1,23,3,2,6,7,0,4,12,2,3,10,21,4,7,2,5,2,0,24,328,3
"23","Chrysovirus",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Coccolithovirus",41,170,69,129,459,80,2,77,116,55,8,107,17,12,189,50,157,177,369,278,19,9,291,16,230
"25","Cp220likevirus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"26","Cyprinivirus",0,2,0,0,1,8,0,0,0,0,0,1,0,0,1,0,0,1,5,7,1,0,1,0,0
"27","Cytomegalovirus",0,2,2,0,17,2,1,1194,0,0,0,0,0,0,1,15,1,0,54,1,0,1,1,0,0
"28","Dyoomikronpapillomavirus",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"29","Enterovirus",3,5,341,7,7,1,5,3,7,5,0,8,4,4,8,5,8,3,1,3,3,7,4,1,29
"30","Fuselloviridae",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"31","Gammapapillomavirus",0,0,0,0,0,0,0,0,3,0,0,0,184,0,0,0,5,115,0,0,21,0,0,0,0
"32","Gammaretrovirus",0,0,1,4,1,0,2,0,1,0,2182,8,1,1,0,6,0,9,0,0,3,1,1,75,0
"33","Glossinavirus",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"34","Ichnovirus",4,12,6,12,3,6,0,5,8,34,1,51,12,1,30,12,13,7,7,1407,5,4,15,0,1
"35","Kayvirus",5,4,1,6,22,1,0,2,2,0,1,12,4,1,7,0,13,6,3,24,1,1,26,1,1
"36","L5likevirus",0,0,0,0,0,0,1,6,0,0,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"37","Lentivirus",0,1,0,2,29,0,0,4,1,0,0,1,0,0,0,0,0,10,0,2,2,0,0,2,5
"38","Lymphocryptovirus",849,73,1090504,59,107,69,71,1000,68,1853,123,49,64,2630,103,18,54,6,42,43,28,112,50,33,8
"39","Macavirus",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
"40","Mandarivirus",0,4,0,0,19,5,0,0,1,1,0,3,0,0,4,0,5,6,9,5,0,0,2,2,26
"41","Marseilleviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0
"42","Mastadenovirus",6,9,4,12,12,16,6,8,13,4,10,6,8,12,15,23,7,21,6,11,6,7,16,5,1
"43","Mimivirus",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Molluscipoxvirus",1,0,1,0,0,0,1,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"45","Muromegalovirus",0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,1,0,0
"46","Muscavirus",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"47","N15likevirus",5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,0,5
"48","N4likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"49","Omikronpapillomavirus",0,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,3,0,0,3,0,0,0,0,1
"50","Orbivirus",0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,15,0,0
"51","Other Adenoviridae",0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"52","Other Anelloviridae",2,0,0,0,29,7,0,63,4,1,0,1,12,33,0,0,22,6,8,64,34,0,30,20,0
"53","Other dsDNA Viruses",17,17,13,6,47,9,74,28,18,10,29,22,8,17,32,7,15,14,101,180,20,17,40,7,0
"54","Other Herpesviridae",1,0,116,1,3,1,0,0,1,9,0,1,9,0,2,1,2,0,0,0,0,0,3,1,0
"55","Other Mimiviridae",4,0,0,1,0,3,7,8,1,1,2,0,290,16,0,0,1,2,76,1,83,5,2,2,0
"56","Other Myoviridae",579,120,0,66,11,248,33,74,6,40,481,5,35,175,18,114,104,7915,4231,3,8,55,29,63,103
"57","Other Nudiviridae",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,3,0,0
"58","Other Papillomaviridae",230,422,20,17,30,1459,2094,528,1278,48,33,46,172136,449,82,34,74283,773,53,73951,123,102849,63,18,17
"59","Other Phages",159,733,0,2,0,501,5,18,56,73,42,0,56,1,11,0,37,333,28,0,3,100,3,10,5
"60","Other Phycodnaviridae",0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"61","Other Podoviridae",120,8,2,4,16,11,11,225,13,7,2490,5,11,15,6,130,9,480,157,13,47,99,6,22,124
"62","Other Polyomaviridae",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,1,0,0,0,0
"63","Other Retroviridae",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"64","Other Siphoviridae",1655,351,1,366,351,394,79,992,200,444,454,13,244,7015,182,2494,245,29930,3772,112,512,1386,78,349,1054
"65","Other ssDNA Viruses",0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"66","Other ssRNA positive Viruses",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Other Totiviridae",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Other Viruses",38,1,0,14,47,134,20,58,22,40,17,5,44,4788,3,263,34,2633,446,12,0,9,1,51,0
"69","Parapoxvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"70","Pestivirus",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
"71","Phaeovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0
"72","Phieco32likevirus",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"73","Phietalikevirus",12,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,19,0,0,0,1,1,23,0
"74","Phijlunalikevirus",0,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Phikmvlikevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
