"","Viral_Genus","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"2","3alikevirus",0,0,0,24,0,0,0,0
"3","77likevirus",7,0,0,0,0,0,0,0
"4","Ahjdlikevirus",0,0,0,0,0,0,0,666
"5","Alphabaculovirus",5,2,2,23,766,1,5,0
"6","Alphalipothrixvirus",12,0,0,1,0,0,1,0
"7","Alphapapillomavirus",78815,161,93,109,375,127,28,77
"8","Alpharetrovirus",0,2,2,0,1,1,1,3
"9","Aviadenovirus",0,0,2,0,1,2,21,1
"10","Bcep22likevirus",10,0,0,0,0,0,0,0
"11","Betapapillomavirus",44,0,2,0,3,1,0,0
"12","C5likevirus",0,0,0,0,0,0,12,0
"13","Cafeteriavirus",0,0,2,0,0,6,0,0
"14","Chlorovirus",1,1,2,0,1138,6,3,0
"15","Circoviridae",7,0,0,0,0,0,0,0
"16","Coccolithovirus",14,46,96,3,72,38,232,24
"17","Cyprinivirus",0,2,1,0,6,2,0,0
"18","Cytomegalovirus",4,0,0,0,2,2,1,0
"19","Enterovirus",36,5,0,4,0,2,15,10
"20","Gammapapillomavirus",14,0,0,0,0,0,0,0
"21","Gammaretrovirus",0,0,0,0,4,0,2,0
"22","Hapunalikevirus",19,0,0,0,0,0,0,0
"23","Hepacivirus",6,0,0,0,0,0,0,0
"24","Hpunalikevirus",253,0,0,0,0,0,0,0
"25","Ichnovirus",3,25,38,1,41,53,3,5
"26","Kayvirus",1,3,8,1,4,5,1,0
"27","Lagovirus",0,0,0,0,0,0,7,0
"28","Lambdalikevirus",9,0,0,0,0,0,0,0
"29","Lymphocryptovirus",30,154,29,28,47,47,9,23
"30","Mandarivirus",0,1,2,0,1,1,2,0
"31","Mastadenovirus",8,798,7,5,15,8,38,21
"32","Omegalikevirus",5,0,0,0,0,0,0,0
"33","Omikronpapillomavirus",0,0,0,0,2,1,2,0
"34","Other Adenoviridae",0,3,0,0,0,0,0,0
"35","Other dsDNA Viruses",34,14,16,2,139,30,6,3
"36","Other Mimiviridae",2,0,0,49,2,0,8,3
"37","Other Myoviridae",300,0,3,55,111,1,333,12
"38","Other Nudiviridae",0,0,0,0,2,1,0,0
"39","Other Papillomaviridae",16548,28,16,21,53,38,13,11
"40","Other Phages",896,0,1,0,0,0,411,3
"41","Other Phycodnaviridae",2,0,0,0,6,0,0,0
"42","Other Podoviridae",1026,4,1,148,4,3,10,19131
"43","Other Polyomaviridae",0,0,0,160,0,0,0,0
"44","Other Siphoviridae",6275,4,49,258,12,2,765,7
"45","Other Viruses",44,0,1,51,0,1,153,2
"46","Phaeovirus",0,0,0,109,3,0,0,10
"47","Phieco32likevirus",0,0,0,3,0,0,0,0
"48","Phietalikevirus",12,0,0,0,0,0,0,0
"49","Phijlunalikevirus",90,0,0,0,0,0,23,0
"50","Phikzlikevirus",1,0,0,22,0,0,0,0
"51","Pithovirus",0,0,0,0,7,0,1,0
"52","Proboscivirus",0,3,4,0,4,8,1,0
"53","Prymnesiovirus",1,1,3,0,3,2,3,1
"54","Ranavirus",0,2,2,0,2,8,0,0
"55","Rhadinovirus",0,0,0,0,14,0,0,0
"56","Roseolovirus",1,13,27,0,71,29,11,1
"57","Sfi1unalikevirus",9,0,0,0,0,0,0,0
"58","Sfi21dtunalikevirus",138,0,0,0,0,0,40,0
"59","T4likevirus",0,0,0,5,0,0,0,0
"60","T7likevirus",17,0,2,43,0,1,0,1
"61","Twortlikevirus",48,0,0,0,0,0,0,0
"62","Varicellovirus",0,0,0,3,0,0,0,0
"63","Whispovirus",0,0,0,0,1,0,3,0
