"","Viral_Species","Vogue1A.01.61","Vogue1A.01.106","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77","Vogue1A.01.101"
"1",1,139,13,61,26,62,42,39,76,651,15,146,32,14743,449,3,8,15,337,151,11,9
"2",10239,3,1,2,1,2,2,2,3,755,1,0,1,94,11,NA,NA,NA,NA,NA,NA,NA
"3",10242,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",10258,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",10279,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",10280,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"7",10288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",10292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9",10293,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"11",10310,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",10320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13",10325,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",10345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"15",10359,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0
"16",10360,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",10366,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
"18",10368,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"19",10370,16,13,15,2,7,28,10,8,39,1,11,30,1,9,12,9,32,7,13,10,20
"20",10371,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"21",10374,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",10375,20,11,8,1,10,8,25,7,11,11,4,8,8,3,39,11,19,5,11,19,6
"23",10376,44,46,28,4,53,29,44,53,22,21,20,25,14,34,181,35,48,24,39,39,26
"24",10385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25",10397,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,1
"26",10398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
"27",10407,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
"28",10449,1,0,2,0,0,1,2,1,1,0,4,0,0,0,0,1,0,0,0,0,0
"29",10454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",10455,0,0,1,0,0,1,2,0,0,0,0,3,0,1,0,0,0,0,0,2,1
"31",10456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32",10479,0,1,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0
"33",10492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"34",10501,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"35",10508,1,0,0,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0
"36",10509,8,3,3,3,13,6,4,2,80,0,3,7,1,3,3,5,5,4,4,4,1
"37",10566,2,0,1,0,0,0,0,1,0,1,0,0,0,5,0,6,0,0,7,2,0
"38",10568,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",10570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"40",10573,0,0,0,0,1,0,0,1,0,51,0,0,0,1,0,0,0,0,0,0,0
"41",10585,11,5,11,0,13,10,11,81,9,11,26,58,133,184099,7,11,13,4,5,14,18
"42",10586,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"43",10588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"44",10590,8,0,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"45",10591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0
"46",10593,0,2,1,0,3,0,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0
