"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Total_Reads"
"1","1",61,26,139,62,42,3,8,15,337,39,151,76,651,11,15,146,32,14743,449,9,13,17028
"2","10239",2,1,3,2,2,0,0,0,0,2,0,3,755,0,1,0,1,94,11,0,1,878
"7","10279",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"8","10280",0,0,110,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,113
"18","10325",0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"22","10359",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,10
"25","10366",1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,9
"26","10368",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"27","10370",15,2,16,7,28,12,9,32,7,10,13,8,39,10,1,11,30,1,9,20,13,293
"28","10371",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
"30","10375",8,1,20,10,8,39,11,19,5,25,11,7,11,19,11,4,8,8,3,6,11,245
"31","10376",28,4,44,53,29,181,35,48,24,44,39,53,22,39,21,20,25,14,34,26,46,829
"36","10397",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,8
"37","10398",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"38","10407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,43
"39","10449",2,0,1,0,1,0,1,0,0,2,0,1,1,0,0,4,0,0,0,0,0,13
"41","10455",1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,0,1,1,0,11
"43","10479",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,1,13
"45","10492",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
"46","10501",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3
"47","10508",0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,8
"48","10509",3,3,8,13,6,3,5,5,4,4,4,2,80,4,0,3,7,1,3,1,3,162
"51","10566",1,0,2,0,0,0,6,0,0,0,7,1,0,2,1,0,0,0,5,0,0,25
"54","10573",0,0,0,1,0,0,0,0,0,0,0,1,0,0,51,0,0,0,1,0,0,54
"58","10585",11,0,11,13,10,7,11,13,4,11,5,81,9,14,11,26,58,133,184099,18,5,184550
"59","10586",0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28
"62","10590",2,0,8,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14
"63","10591",0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,513
"64","10593",1,0,0,3,0,2,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2,14
"66","10595",0,0,0,2,2,0,0,0,0,1,0,3,0,2583,0,0,0,0,1,1,1,2594
"67","10596",9,2,22,15,17,14,6,23,10,19,9,6,8,10,8,6,15,3,10,16,7,235
"74","10611",0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6
"75","10614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"76","10615",0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"78","10618",44,0,11,2443,9,10,8,11,6,5,4,5,4,7,1,3,2,2,4,4,4,2587
"84","10699",1,0,3,2,2,0,0,0,0,1,0,75,1091,0,7,31,25,6,15,0,1,1260
"85","10724",0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75
"87","10744",1,0,2,3,0,0,0,0,0,1,0,1,90,0,0,9,0,0,2,0,7,116
"95","11652",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
"96","11676",0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,3,1,15
"97","11723",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"105","12059",3,6,33,3,7,4,2,1,1,2,2,5,1,1,0,0,5,1,1586,0,1,1664
"106","12062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,14
"107","12067",2,2,18,0,1,1,0,2,0,1,1,0,0,1,0,0,0,0,408,0,0,437
"108","12071",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5
"111","12234",0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,58,0,0,0,0,0,81
"114","12242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
"115","12253",0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"119","12333",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6
"120","12348",0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,15588,0,0,0,15594
"121","12402",0,0,0,0,0,1,0,0,0,0,1,1,43,1,2,0,0,0,0,0,0,49
"122","12417",0,0,23,0,2,0,0,0,781,1,0,0,415,0,27,1,429,2440,709,0,6,4834
"127","28278",0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7
"132","28883",0,0,3,0,0,0,0,0,0,0,0,0,99,0,2,2,2,1,3,0,0,112
"135","31535",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"136","31537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
"139","31552",1,0,7,6,5,3,6,9,3,2,5,3,4,4,5,6,5,2,10,1,3,90
"140","32604",0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"141","33706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
"143","35237",0,0,1,1,1,2,1,2,0,1,1,0,3,0,0,0,5,1,4,0,1,24
"147","35270",6,1,9,1,3,5,6,4,3,4,1,1,10,2,1,3,8,0,4,6,5,83
"150","35294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13
"154","37105",0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,17
"157","37114",0,0,0,0,0,0,0,0,0,1,0,0,0,1,2290,0,0,0,1,0,0,2293
"158","37115",0,0,0,0,0,0,0,0,0,0,0,0,2,249,1,1,0,0,0,0,0,253
"159","37116",0,0,1,2,0,0,0,2,2,0,0,0,0,0,1,1,2,0,2,0,1,14
"160","37119",0,0,1,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,113
"161","37120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,482
"165","38018",4,32,0,1,0,0,0,0,0,3,0,0,4,0,2,0,1,0,0,0,0,47
"167","39457",0,0,2,0,0,0,3,2,0,0,0,0,1,1,1,1,0,1,0,0,1,13
"169","39724",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14
"177","44028",4,0,8,4,9,7,2,7,2,5,4,6,6,9,2027,3,5,1,5,3,5,2122
"178","44088",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"179","45101",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,28
"180","45240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,41
"181","45455",0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,2,1,1,12
"182","45617",0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,9
"184","46021",0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37
"186","46924",0,1,6,2,1,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,18
"193","47929",0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4
"197","51368",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"200","52979",0,0,174,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
"208","68887",6,1,0,1,17,25,1,5,0,1,0,0,1,0,0,218,0,0,0,0,0,276
"220","82830",6,0,15,5,10,0,7,0,1,9,0,1,10,2,0,1,5,0,0,2,3,77
"226","90410",0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,12,0,0,17
"227","93678",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9
"235","104664",6,1,3,1,3,1,3,1,1,0,1,1,22,2,3,3,5,0,1,2,1,61
"237","106332",0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
"239","110456",0,1,0,0,0,0,0,0,0,0,0,1,28,0,2,1,0,0,0,0,1,34
"240","111469",0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,0,0,0,2,13
"246","120381",1,0,1,1,1,2,0,4,1,2,2,1,1,12,1,1,0,0,0,1,1,33
"248","120686",2,0,1,5,1,6,1,8,0,4,4,4,2,2,5,1,5,2,8,4,1,66
"251","129724",0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,83
"254","129951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,13,23
"256","130310",5,3,53,17,4,12,10,16,3,12,14,3,11,3,5,6,3,4,4,4,6,198
"257","136084",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"258","136966",1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,17
"260","138184",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"261","138949",0,2,19,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,675,1,0,703
"262","139871",35,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,0,0,0,71
"265","146015",2,0,0,2,3,2,1,3,0,2,2,2,0,4,0,3,1,0,2,2,2,33
"267","150546",0,0,18,0,0,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,937
"268","151340",62,1,1081,1023,47,27,53,37,25,30,182,58,18,643,12287,37,48,95,100605,31,35,116425
"271","153135",0,0,0,0,16,0,0,1,0,0,12,0,13,0,0,0,0,4,0,1,0,47
"277","170325",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"278","171370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4
"280","173087",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"282","180230",0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,3,13
"287","181216",0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,2,0,11,1,1,21
"289","182851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,24
"291","186617",8,8,1,0,0,2,0,0,0,0,1,0,2,0,0,25,1,0,1,1,1,51
"292","186764",0,0,0,0,1,0,0,0,0,0,0,0,364,0,3,0,0,0,0,0,0,368
"294","187397",2,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,2,12
"299","196894",13,1,12,4,2,0,5,2,0,2,63,2,20,1,2,4,3,7,10,3,1,157
"300","196895",0,0,0,0,0,0,0,0,0,0,0,0,325,0,1,0,0,0,0,0,0,326
"301","196896",0,0,0,0,5,0,0,0,0,0,0,8,104,0,0,133,8,0,0,0,1,259
"304","202250",64,3,56,64,46,70,51,59,60,188,38,46,51,91,1025696,47,49,35,43,52,29,1026838
"305","202252",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"314","217733",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,32
"316","230871",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,0,0,60
"317","235201",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15
"319","236244",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"323","251749",2,0,11,3,9,3,2,6,1,1,3,2,6,2,1,51,5,1,9,6,5,129
"331","265522",5,0,2,0,3,2,0,2,0,0,1,0,0,2,0,0,3,0,1,6,4,31
"335","278008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
"336","279006",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12
"353","315953",0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,5
"355","317878",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3
"359","318569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,0,0,69
"361","320836",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
"366","322019",3,0,3,1,7,2,3,2,0,3,3,3,0,0,1,1,5,1,1,2,2,43
"370","329157",1,1,3,3,1,1,1,3,0,0,1,2,85,0,7,2,1,0,3,1,4,120
"372","331278",0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,1,2,0,0,0,0,11
"374","333750",0,0,0,1,1,0,0,0,0,1,1,0,0,0,631,0,0,0,7,0,0,642
"376","333754",5,1,7,6,9,0,7,5,7,4,5,3,4,1,47,2,2,1,9,2,3,130
"377","333757",13,0,0,0,0,0,0,0,0,0,235,0,0,0,9,0,0,0,0,0,0,257
"381","333763",2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7
"383","333765",0,0,0,1,0,0,0,1,0,0,1,1,1,41,0,2,0,1,12,1,1,63
"384","333766",0,0,251,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,253
