"","Viral_Species","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"2","Acanthamoeba polyphaga mimivirus",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0
"3","Acanthocystis turfacea Chlorella virus 1",3,0,3,1,7,2,3,2,0,3,3,3,0,0,1,1,5,1,1,2,2
"4","Acidianus two-tailed virus",0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0
"5","Acinetobacter phage 133",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"6","Acinetobacter phage Presley",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"7","Alcelaphine herpesvirus 2",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8","Alphapapillomavirus 1",4,0,9,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
"9","Alphapapillomavirus 10",10,1,22,17,23,10,15,21,12,12,14,13,14,15,4420,11,12,4,26,6,11
"10","Alphapapillomavirus 13",0,0,251,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"11","Alphapapillomavirus 14",3,1,7505,8,1,6,2,9,1,5,5,6,2,20,8,2,5,3,10,5,1
"12","Alphapapillomavirus 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"13","Alphapapillomavirus 3",99,5,124,104,86,112,70,104,91,242,86,66,75,194,1080792,94,82,50,107,91,59
"14","Alphapapillomavirus 5",0,0,0,2,2,0,0,0,0,1,0,4,0,2703,0,0,0,0,1,1,1
"15","Alphapapillomavirus 6",15,2,28,21,21,17,7,28,12,23,15,10,9,181,9,9,17,4,25,24,8
"16","Alphapapillomavirus 7",1,0,2,3,0,2,4,3,0,1,0,1,3,251,53,2,1,1,0,0,3
"17","Alphapapillomavirus 8",61,1,6,0,0,0,0,0,0,0,748,0,0,0,9,0,0,0,0,0,0
"18","Alphapapillomavirus 9",56,0,49,2456,20,17,19,24,10,16,11,86,13,22,871,29,60,135,184129,22,9
"19","Ambystoma tigrinum virus",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"20","Avian sarcoma virus",6,1,9,1,3,5,6,4,3,4,1,1,10,2,1,3,8,0,4,6,5
"21","Bacillus phage G",0,2,1,0,1,0,3,0,1,0,5,0,34,0,0,0,0,1,0,0,3
"22","Bacillus phage SIOphi",7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0
"23","Bacillus phage SPP1",0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
"24","Bacillus phage Staley",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"25","Bacillus phage vB_BanS-Tsamsa",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"26","Bacillus virus 1",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"27","Baku virus",3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
