"","Viral_Species","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"1",1,2,5319,1,38,114,235,1801,12
"2",10239,1,44,0,1,0,0,153,2
"3",10280,1,0,0,0,0,0,0,0
"4",10286,0,0,0,0,1,0,0,0
"5",10288,0,0,0,0,0,0,1,0
"6",10292,0,0,0,0,0,1,0,0
"7",10293,0,0,0,0,1,0,0,0
"8",10298,0,0,0,0,0,1,0,0
"9",10319,0,0,0,0,0,1,0,0
"10",10320,0,0,0,0,3,0,0,0
"11",10353,0,0,0,0,0,2,0,0
"12",10359,0,0,0,0,0,2,1,0
"13",10366,1,0,0,0,0,0,0,0
"14",10368,0,0,1,0,0,0,0,0
"15",10370,29,1,13,27,0,71,11,1
"16",10375,8,4,25,4,6,13,1,7
"17",10376,38,26,127,24,22,34,6,16
"18",10381,0,0,0,0,0,14,0,0
"19",10398,1,0,0,0,0,0,0,0
"20",10449,0,3,0,0,0,0,1,0
"21",10455,0,0,0,0,0,2,0,0
"22",10479,0,12,0,0,1,0,1,0
"23",10501,0,0,0,1,0,1,0,0
"24",10508,0,0,3,0,0,0,0,0
"25",10509,0,4,59,2,2,4,4,1
"26",10566,0,9,0,0,0,0,0,0
"27",10573,0,8,1,0,0,0,0,0
"28",10576,0,0,1,0,0,0,0,0
"29",10585,13,6,3,3,3,7,1,8
"30",10590,0,16,0,0,0,1,0,0
"31",10593,1,19855,3,1,1,0,3,0
"32",10595,0,0,1,0,0,0,0,0
"33",10596,9,26275,8,9,16,8,3,5
"34",10611,0,825,0,0,0,0,0,0
"35",10618,5,13041,10,3,2,5,1,5
"36",10662,0,NA,NA,NA,NA,NA,NA,NA
"37",10663,0,2,0,0,0,0,0,0
"38",10699,0,1026,0,1,89,1,4,1
"39",10724,0,5,0,0,0,0,0,0
"40",10743,0,4,0,0,0,0,0,0
"41",10744,0,0,0,0,10,0,0,0
"42",10747,1,205,0,0,0,0,0,0
"43",10748,0,12,0,0,0,0,0,0
"44",11103,0,6,0,0,0,0,0,0
"45",11676,1,0,0,0,0,0,0,0
"46",11723,0,0,0,0,0,1,0,0
"47",11745,1,0,0,0,0,0,0,0
"48",11801,0,0,0,0,0,1,0,0
