"","Viral_Species","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15","Total_Reads"
"1","1",5319,1,38,114,235,2,1801,12,7522
"2","10239",44,0,1,0,0,1,153,2,201
"17","10320",0,0,0,3,0,0,0,0,3
"22","10359",0,0,0,0,2,0,1,0,3
"27","10370",1,13,27,0,71,29,11,1,153
"30","10375",4,25,4,6,13,8,1,7,68
"31","10376",26,127,24,22,34,38,6,16,293
"33","10381",0,0,0,0,14,0,0,0,14
"39","10449",3,0,0,0,0,0,1,0,4
"43","10479",12,0,0,1,0,0,1,0,14
"47","10508",0,3,0,0,0,0,0,0,3
"48","10509",4,59,2,2,4,0,4,1,76
"51","10566",9,0,0,0,0,0,0,0,9
"54","10573",8,1,0,0,0,0,0,0,9
"58","10585",6,3,3,3,7,13,1,8,44
"62","10590",16,0,0,0,1,0,0,0,17
"64","10593",19855,3,1,1,0,1,3,0,19864
"67","10596",26275,8,9,16,8,9,3,5,26333
"74","10611",825,0,0,0,0,0,0,0,825
"78","10618",13041,10,3,2,5,5,1,5,13072
"84","10699",1026,0,1,89,1,0,4,1,1122
"85","10724",5,0,0,0,0,0,0,0,5
"86","10743",4,0,0,0,0,0,0,0,4
"87","10744",0,0,0,10,0,0,0,0,10
"88","10747",205,0,0,0,0,1,0,0,206
"89","10748",12,0,0,0,0,0,0,0,12
"93","11103",6,0,0,0,0,0,0,0,6
"103","11976",0,0,0,0,0,0,7,0,7
"105","12059",24,4,0,2,0,2,9,8,49
"107","12067",5,0,0,1,0,0,1,2,9
"119","12333",3,0,0,0,0,0,0,0,3
"120","12348",0,0,0,0,0,0,8,0,8
"121","12402",71,0,0,0,0,0,0,0,71
"122","12417",0,0,0,0,5,0,393,0,398
"127","28278",0,21,0,0,0,1,6,0,28
"130","28358",3,0,0,0,0,0,0,0,3
"132","28883",24,0,0,0,0,0,1,0,25
"137","31545",0,3,0,0,1,0,0,0,4
"139","31552",35,3,4,4,44,1,1,1,93
"143","35237",8,0,0,0,3,1,0,0,12
"147","35270",0,2,2,0,1,1,1,3,10
"154","37105",0,0,0,0,0,0,46,0,46
"159","37116",1,0,0,1,8,1,1,1,13
"160","37119",267,0,0,0,0,0,0,0,267
"165","38018",5,0,0,0,0,0,0,0,5
"167","39457",2,0,0,1,1,3,0,0,7
"177","44028",1593,1,2,5,8,7,0,3,1619
"186","46924",0,36,1,2,2,0,1,2,44
"188","46938",0,4,0,0,0,0,0,0,4
"193","47929",3,0,0,0,0,0,0,0,3
"195","50292",1,0,0,0,0,2,0,0,3
"196","51033",192,0,0,0,0,0,0,0,192
"200","52979",0,0,0,0,0,0,19,0,19
"202","59241",0,0,3,0,0,0,0,0,3
"220","82830",0,2,1,0,0,1,2,0,6
"226","90410",97,0,0,0,0,0,40,0,137
"235","104664",0,1,2,0,1,1,2,0,7
"238","108098",0,2,0,0,0,1,0,0,3
"241","112023",3,0,0,0,0,0,0,0,3
"246","120381",0,7,0,1,0,6,0,1,15
"248","120686",3,4,3,1,2,1,5,4,23
"253","129861",31,0,0,0,0,0,0,0,31
"256","130310",4,672,4,1,8,6,25,18,738
"261","138949",7,1,0,1,0,0,5,0,14
"262","139871",23,0,0,0,0,0,407,3,433
"265","146015",0,3,4,0,4,8,1,0,20
"268","151340",16539,28,16,21,53,38,13,11,16719
"271","153135",0,0,0,0,4,0,2,0,6
"272","157924",25,0,0,0,0,0,0,0,25
"282","180230",0,2,1,0,6,2,0,0,11
"299","196894",156,2,37,0,1,1,51,0,248
"301","196896",0,0,0,7,0,0,0,0,7
"304","202250",25,40,30,18,112,37,3,18,283
"313","216370",0,1,0,0,0,0,2,0,3
"316","230871",0,0,0,0,0,0,0,666,666
"317","235201",52,0,0,0,0,0,0,0,52
"320","242527",10,0,0,0,0,0,0,0,10
"323","251749",1,1,3,0,3,2,3,1,14
"325","259901",7,0,0,0,0,0,0,0,7
"329","261726",19,0,0,0,0,0,0,0,19
"331","265522",0,1,3,0,2,6,0,0,12
"342","294382",482,1,0,0,0,0,0,0,483
"362","320839",0,0,0,24,0,0,0,0,24
"366","322019",1,1,1,0,0,5,3,0,11
"370","329157",7,0,1,16,0,1,0,0,25
"372","331278",0,0,0,25,2,0,0,0,27
"374","333750",5,0,0,0,0,0,0,0,5
"376","333754",15,2,1,2,17,5,0,1,43
"379","333760",256,0,0,0,0,0,0,0,256
"382","333764",15,0,0,0,0,0,0,0,15
"383","333765",9776,2,0,1,0,2,1,0,9782
"385","333767",0,8,4,5,3,0,0,2,22
"386","333769",0,0,0,1,3,0,0,0,4
"387","333770",1,0,11,6,55,9,1,4,87
"388","333771",0,0,1,0,6,0,1,1,9
"389","333772",1,0,0,2,6,2,0,2,13
"392","334210",6,59,8,28,22,14,3,10,150
"394","334523",262,0,0,0,0,0,0,0,262
"397","337041",182,0,0,0,0,0,0,0,182
"398","337042",19,0,0,0,0,0,0,0,19
"401","337050",6385,2,7,1,2,2,0,3,6402
"402","337051",17,0,0,0,0,0,0,0,17
"407","338473",25,0,0,0,0,0,0,0,25
"410","342409",0,0,0,0,1,0,3,0,4
"411","342564",3,0,0,0,0,0,0,0,3
"414","346673",10,16,35,1,25,15,75,8,185
"417","350104",77,0,0,0,0,0,0,0,77
"420","363555",5,0,2,15,0,1,331,0,354
"424","372443",4,25,54,2,43,18,110,16,272
"425","372457",85,0,0,0,0,0,0,0,85
"430","380598",0,0,0,0,3,0,0,0,3
"438","413066",35,0,0,0,0,0,0,0,35
"441","419435",3,24,35,1,39,47,3,5,157
"443","423476",4,0,0,0,0,0,0,0,4
"444","427343",0,0,2,0,3,1,0,0,6
"459","447909",0,0,0,51,0,0,0,0,51
"467","471185",3,0,0,0,0,0,0,0,3
"472","482058",4,0,0,0,0,0,0,0,4
"475","490711",1,2,0,0,1,0,0,0,4
"477","493803",0,0,0,160,0,0,0,0,160
"478","496874",5,0,3,0,0,0,1,0,9
"479","508419",0,0,0,0,0,0,12,0,12
"484","537874",988,0,0,0,0,0,0,0,988
"488","542836",9,1,0,0,1,1,1,19007,19020
"494","549779",0,0,0,1,2,0,0,3,6
"496","558016",0,0,2,23,765,1,2,0,793
"500","573173",0,0,0,0,0,0,3,0,3
"506","578234",0,0,0,0,0,0,100,0,100
"509","632112",185,0,0,0,0,0,0,0,185
"510","633135",10,0,0,0,0,0,0,0,10
"512","646413",52,0,0,1,4,0,0,0,57
"516","654926",0,0,0,109,3,0,0,10,122
"530","693272",0,0,2,0,0,6,0,0,8
"541","749413",6,0,1,0,0,0,0,0,7
"549","754068",0,0,0,0,9,0,0,1,10
"552","755273",0,0,1,0,2,0,1,0,4
"555","756282",0,0,0,4,0,0,0,0,4
"560","764030",0,0,2,0,1,2,21,1,27
"562","764562",2,0,0,0,1,0,0,0,3
"567","765056",11,0,0,0,0,0,0,0,11
"572","857312",16,0,0,0,0,0,0,0,16
"574","870469",4,0,0,0,0,0,0,0,4
"575","870471",27,0,0,0,0,0,0,0,27
"591","911573",22,0,0,0,0,0,0,0,22
"592","912321",0,0,0,4,0,0,0,0,4
"595","915428",11,0,0,0,0,0,0,0,11
"606","931244",0,0,1,0,1,1,0,0,3
"609","938082",0,0,0,0,3,0,0,0,3
"613","942165",2,0,0,25,0,0,0,0,27
"617","947981",0,0,0,4,0,0,0,0,4
"622","985782",2,0,0,0,0,0,1,0,3
"623","988656",8,0,1,2,0,0,0,1,12
"624","990302",16,0,0,0,0,0,0,0,16
"628","998086",1,0,0,22,0,0,0,0,23
