"","Viral_Species","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"2","Acanthocystis turfacea Chlorella virus 1",1,1,1,0,0,5,3,0
"3","Acanthocystis turfacea Chlorella virus Canal-1",0,0,0,0,1132,1,0,0
"4","Actinomyces phage Av-1",25,0,0,0,0,0,0,0
"5","Aggregatibacter phage Aabphi01",22,0,0,0,0,0,0,0
"6","Alphapapillomavirus 1",16,0,0,0,1,0,0,0
"7","Alphapapillomavirus 10",1651,7,7,11,69,13,1,5
"8","Alphapapillomavirus 11",207,0,0,0,0,0,0,0
"9","Alphapapillomavirus 12",3,0,0,0,0,0,0,0
"10","Alphapapillomavirus 14",3,4,4,2,6,2,5,4
"11","Alphapapillomavirus 3",41,122,59,71,276,77,13,47
"12","Alphapapillomavirus 6",43528,12,16,18,10,13,4,8
"13","Alphapapillomavirus 7",19876,3,1,2,1,4,3,0
"14","Alphapapillomavirus 9",13485,13,6,5,12,18,2,13
"15","Aureococcus anophagefferens virus",2,0,0,0,3,0,0,0
"16","Avian sarcoma virus",0,2,2,0,1,1,1,3
"17","Bacillus phage BCJA1c",482,1,0,0,0,0,0,0
"18","Bacillus phage G",0,0,1,8,0,0,0,0
"19","Bacillus phage SPP1",5,0,0,0,0,0,0,0
"20","Betapapillomavirus 1",44,0,0,0,0,0,0,0
"21","Betapapillomavirus 2",0,0,2,0,3,1,0,0
"22","Bovine herpesvirus 1",0,0,0,3,0,0,0,0
"23","Brochothrix phage A9",16,0,0,0,0,0,0,0
"24","Brochothrix phage BL3",2,0,0,0,1,0,0,0
"25","Burkholderia phage Bcep22",10,0,0,0,0,0,0,0
"26","Cafeteria roenbergensis virus",0,0,2,0,0,6,0,0
"27","Cellulophaga phage phi39:1",17,0,0,0,0,0,0,0
"28","Cellulophaga phage phiST",0,0,0,4,0,0,0,0
"29","Cercopithecine herpesvirus 5",1,0,0,0,0,2,0,0
"30","Choristoneura rosaceana alphabaculovirus",1,0,0,0,0,0,2,0
"31","Corynebacterium phage BFK20",3,0,0,0,0,0,0,0
"32","Cronobacter phage CR5",12,0,0,0,0,0,0,0
"33","Cronobacter phage vB_CsaP_GAP52",0,0,0,3,0,0,0,0
"34","Cyprinid herpesvirus 3",0,2,1,0,6,2,0,0
"35","Deep-sea thermophilic phage D6E",6,0,1,0,0,0,0,0
"36","Dromedary stool-associated circular ssDNA virus",7,0,0,0,0,0,0,0
"37","Ectocarpus siliculosus virus 1",0,0,0,109,3,0,0,10
"38","Elephantid herpesvirus 1",0,3,4,0,4,8,1,0
"39","Emiliania huxleyi virus 145",0,1,3,0,3,2,8,0
"40","Emiliania huxleyi virus 156",0,3,2,0,1,3,39,0
"41","Emiliania huxleyi virus 18",0,1,2,0,0,0,0,0
"42","Emiliania huxleyi virus PS401",0,0,0,0,9,0,0,1
"43","Enterococcus phage EFDG1",4,0,0,0,0,0,0,0
"44","Enterococcus phage vB_Efae230P-4",0,0,0,0,0,0,0,123
"45","Enterovirus B",12,1,0,2,0,0,6,2
"46","Environmental Halophage eHP-40",5,0,0,0,0,0,0,0
"47","Erwinia phage Ea35-70",3,0,0,0,0,0,0,0
"48","Frog virus 3",0,2,2,0,2,8,0,0
"49","Fusobacterium phage Funu2",8,0,0,0,0,0,0,0
"50","Gammapapillomavirus 16",3,0,0,0,0,0,0,0
"51","Gammapapillomavirus 9",11,0,0,0,0,0,0,0
"52","Geobacillus virus E2",0,0,0,51,0,0,0,0
"53","Glypta fumiferanae ichnovirus",3,24,35,1,39,47,3,5
"54","Gordonia phage Gsput1",3,0,0,0,0,0,0,0
"55","Haemophilus phage HP1",250,0,0,0,0,0,0,0
"56","Hepatitis C virus",6,0,0,0,0,0,0,0
"57","Human herpesvirus 4",26,129,25,22,34,39,8,16
"58","Human herpesvirus 5",0,0,0,0,2,0,1,0
"59","Human herpesvirus 6A",1,13,27,0,71,29,11,1
"60","Human mastadenovirus B",0,2,0,0,0,1,0,0
"61","Human mastadenovirus D",4,737,5,3,11,7,34,20
"62","Human papillomavirus",9,0,0,0,0,0,0,0
"63","Hyposoter fugitivus ichnovirus",0,1,3,0,2,6,0,0
"64","Indian citrus ringspot virus",0,1,2,0,1,1,2,0
"65","Kallithea virus",0,0,0,0,2,1,0,0
"66","Klebsiella phage NTUH-K2044-K1-1",0,1,0,0,1,0,7,1
"67","Lactobacillus phage c5",0,0,0,0,0,0,12,0
"68","Lactobacillus phage JCL1032",0,0,0,0,0,0,46,0
"69","Lactobacillus phage KC5a",5,0,2,15,0,1,331,0
"70","Lactobacillus phage Lb338-1",185,0,0,0,0,0,0,0
"71","Lactobacillus phage LfeSau",1,0,0,0,0,0,113,0
"72","Lactobacillus phage LL-H",0,0,0,0,0,0,8,0
"73","Lactobacillus phage Lrm1",5,0,3,0,0,0,1,0
"74","Lactobacillus phage Lv-1",0,0,0,0,0,0,100,0
"75","Lactobacillus phage phi jlb1",0,0,0,0,1,0,0,2
"76","Lactobacillus phage phiadh",0,0,0,0,5,0,393,0
"77","Lactobacillus phage phiAQ113",0,0,0,0,0,0,2,10
"78","Lactobacillus phage phig1e",0,0,0,0,0,0,19,0
"79","Lactobacillus phage phiJB",0,0,1,156,0,0,30,3
"80","Lactobacillus phage phijl1",52,0,0,0,0,0,0,0
"81","Lactobacillus phage Sha1",0,0,0,4,0,0,0,0
"82","Lactobacillus prophage Lj771",23,0,0,0,0,0,407,3
"83","Leuconostoc phage phiMH1",0,0,0,4,0,0,0,0
"84","Lymantria dispar multiple nucleopolyhedrovirus",3,0,0,0,0,0,1,0
"85","Macacine herpesvirus 3",3,0,0,0,0,0,0,0
"86","Merkel cell polyomavirus",0,0,0,160,0,0,0,0
"87","Mesorhizobium phage vB_MloP_Lo5R7ANS",0,0,0,5,0,0,0,0
"88","Moumouvirus",2,0,0,48,0,0,8,0
"89","Mycobacterium phage Gaia",5,0,0,0,0,0,0,0
"90","Mycobacterium phage Thibault",5,0,0,0,0,0,0,0
"91","Omikronpapillomavirus 1",0,0,0,0,2,1,2,0
"92","Organic Lake phycodnavirus 2",0,0,0,0,3,0,0,0
"93","Orgyia leucostigma NPV",1,2,0,0,1,0,0,0
"94","Other Adenoviridae",0,3,0,0,0,0,0,0
"95","Other Alphabaculovirus",0,0,2,23,765,1,2,0
"96","Other Alphapapillomavirus",5,0,0,0,0,0,0,0
"97","Other Coccolithovirus",14,41,89,3,68,33,185,24
"98","Other dsDNA Viruses",32,0,0,0,3,1,1,0
"99","Other Enterovirus",24,4,0,2,0,2,9,8
"100","Other Gammaretrovirus",0,0,0,0,4,0,2,0
"101","Other Lymphocryptovirus",4,25,4,6,13,8,1,7
"102","Other Mastadenovirus",4,59,2,2,4,0,4,1
"103","Other Mimiviridae",0,0,0,1,2,0,0,3
"104","Other Myoviridae",48,0,0,7,0,0,0,0
"105","Other Papillomaviridae",16539,28,16,21,53,38,13,11
"106","Other Phages",8,0,0,0,0,0,0,0
"107","Other Podoviridae",9,1,0,10,1,1,1,19007
"108","Other Siphoviridae",1257,2,38,89,2,1,78,1
"109","Other T7likevirus",7,0,1,16,0,1,0,0
"110","Other Viruses",44,0,1,0,0,1,153,2
"111","Pandoravirus dulcis",0,0,0,0,100,2,1,0
"112","Pandoravirus inopinatum",1,1,0,1,2,3,0,1
"113","Pandoravirus salinus",1,13,15,1,23,24,3,1
"114","Paramecium bursaria Chlorella virus AP110A",0,0,1,0,3,0,0,0
"115","Paramecium bursaria Chlorella virus AR158",0,0,0,0,3,0,0,0
"116","Pasteurella phage F108",3,0,0,0,0,0,0,0
"117","Pectobacterium phage My1",0,0,0,0,0,0,0,3
"118","Phaeocystis globosa virus",1,1,3,0,3,2,3,1
"119","Phaeocystis globosa virus 12T",0,0,1,0,2,0,1,0
"120","Phage 21",4,0,0,0,0,0,0,0
"121","Phage Gifsy-1",31,0,0,0,0,0,0,0
"122","Phage SK137",262,0,0,0,0,0,0,0
"123","Pigeon aviadenovirus A",0,0,2,0,1,2,21,1
"124","Pithovirus sibericum",0,0,0,0,7,0,1,0
"125","Pseudomonas phage PaBG",0,0,0,0,108,0,0,0
"126","Pseudomonas phage phi15",8,0,1,2,0,0,0,1
"127","Pseudomonas phage phiIBB-PF7A",2,0,0,25,0,0,0,0
"128","Pseudomonas phage PhiPA3",1,0,0,22,0,0,0,0
"129","Pseudomonas phage PPpW-4",16,2,1,133,1,1,2,0
"130","Rabbit hemorrhagic disease virus",0,0,0,0,0,0,7,0
"131","Ralstonia phage RSL1",4,0,0,0,0,0,0,0
"132","Rhodococcus phage REQ2",6,0,0,0,0,0,0,0
"133","Rhodococcus phage REQ3",16,0,0,0,0,0,1,0
"134","Saimiriine herpesvirus 2",0,0,0,0,14,0,0,0
"135","Siphovirus contig89",0,0,4,0,0,1,0,0
"136","Staphylococcus phage 47",0,0,0,24,0,0,0,0
"137","Staphylococcus phage 77",7,0,0,0,0,0,0,0
"138","Staphylococcus phage IME-SA4",11,0,0,0,0,0,0,0
"139","Staphylococcus phage Ipla5",12,0,0,0,0,0,0,0
"140","Staphylococcus phage StB12",21,0,0,0,0,0,0,0
"141","Staphylococcus phage StB20",3,0,0,0,0,0,0,0
"142","Staphylococcus virus G1",1,3,8,1,4,5,1,0
"143","Streptococcus phage 20617",400,0,0,0,0,0,0,0
"144","Streptococcus phage 34117",27,0,0,0,0,0,0,0
"145","Streptococcus phage 5093",52,0,0,1,4,0,0,0
"146","Streptococcus phage 700P1",77,0,0,0,0,0,0,0
"147","Streptococcus phage 7201",3,0,0,0,0,0,0,0
"148","Streptococcus phage Abc2",10,0,0,0,0,0,0,0
"149","Streptococcus phage C1",0,0,0,0,0,0,0,666
"150","Streptococcus phage Cp-1",217,0,0,0,0,1,0,0
"151","Streptococcus phage Dp-1",0,0,3,0,0,0,0,0
"152","Streptococcus phage DT1",97,0,0,0,0,0,40,0
"153","Streptococcus phage EJ-1",71,0,0,0,0,0,0,0
"154","Streptococcus phage M102",85,0,0,0,0,0,0,0
"155","Streptococcus phage PH15",988,0,0,0,0,0,0,0
"156","Streptococcus phage phi20c",7,0,0,0,0,0,0,0
"157","Streptococcus phage phi30c",736,0,0,0,0,0,0,0
"158","Streptococcus phage phi3396",4,0,0,0,0,0,0,0
"159","Streptococcus phage phiNJ2",2931,1,0,0,0,0,0,0
"160","Streptococcus phage phiS10",18,0,0,0,0,0,0,0
"161","Streptococcus phage SM1",25,0,0,0,0,0,0,0
"162","Streptococcus phage SMP",35,0,0,0,0,0,0,0
"163","Streptococcus phage SpSL1",40,0,0,0,0,0,0,0
"164","Streptococcus phage Str-PAP-1",5,0,0,0,1,0,0,0
"165","Streptococcus phage TP-778L",3,0,0,0,0,0,0,0
"166","Streptococcus phage V22",4,0,0,0,0,0,0,0
"167","Streptomyces phage phiCAM",368,0,0,0,0,0,0,0
"168","Streptomyces phage SV1",3,0,0,0,0,0,0,0
