"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Total_Reads"
"1","1",347,1237,1,146,58,451,60,252,975,102,1192,10,838,3207,83,216,206,6882,2156,43,366,418,110,937,954,21247
"2","10239",12,0,0,9,45,133,0,34,21,28,14,1,4,8,0,263,30,2632,446,12,0,0,0,36,0,3728
"8","10280",1,0,1,0,0,0,1,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14
"11","10292",0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6
"12","10293",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9
"13","10298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,6
"14","10310",3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6
"15","10317",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
"18","10325",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"19","10345",0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,36
"21","10358",0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,54,0,0,1,0,0,0,72
"22","10359",0,1,0,0,0,1,1,1093,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1097
"23","10360",0,1,0,0,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"24","10362",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"25","10366",0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9
"27","10370",2,26,2,10,17,4,0,0,6,0,3,28,6,0,24,1,8,12,3,111,2,2,24,2,0,293
"29","10374",0,0,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,117
"30","10375",131,12,157496,12,16,12,12,200,12,234,17,8,18,405,19,3,11,0,16,8,3,8,14,6,0,158673
"31","10376",716,52,929735,44,76,51,59,790,47,1607,105,33,46,2220,78,15,40,0,25,29,24,35,32,27,2,935888
"32","10377",1,0,2191,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2194
"36","10397",1,0,0,0,0,0,0,0,1,9,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,16
"37","10398",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6
"39","10449",0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,3,5,1,0,0,0,2,18
"41","10455",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,1,7
"42","10456",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"43","10479",24,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,2,0,0,65
"45","10492",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,29
"46","10501",0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,12
