"","Viral_Species","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"2","Acanthamoeba polyphaga mimivirus",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Acanthocystis turfacea Chlorella virus 1",0,4,0,0,9,2,0,0,3,0,0,10,1,1,5,19,4,0,2,4,1,0,20,0,0
"4","Acidianus bottle-shaped virus",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acinetobacter phage 133",0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,13,0,0,0,0
"6","Acinetobacter phage Presley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"7","Acinetobacter phage vB_AbaM_Acibel004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"8","Actinomyces phage Av-1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"9","Aeromonas phage vB_AsaM-56",0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Alphapapillomavirus 1",1,0,0,0,1,67,1,441,0,1,0,1,6778,1,0,0,0,0,1,8,6,1542,1,0,0
"11","Alphapapillomavirus 10",14,18,4,20,6,2248,31,9,7,37,15,30,120847,4677,72,16,21,7,41,63,189,181457,22,3,12
"12","Alphapapillomavirus 11",146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Alphapapillomavirus 12",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,13,1,0,0
"14","Alphapapillomavirus 13",523,0,0,0,0,0,1,0,27,0,0,0,1,0,0,0,0,7,0,0,0,23,0,0,0
"15","Alphapapillomavirus 14",2,2,4,3,6,0,1,5,1,1,3,9,6,3,3,7,7,2,9,67325,5,4146,9,3,0
"16","Alphapapillomavirus 2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22,0,0,0
"17","Alphapapillomavirus 3",36,1675,42,67,75,241,15870,706,40,94,89,148,1431,1007,331,86,404216,1911,169,3380,403,426205,634,47,2
"18","Alphapapillomavirus 4",0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,1,427,0,0,0
"19","Alphapapillomavirus 5",0,0,0,0,0,0,0,0,0,3,0,0,47,0,0,0,1,2,0,0,0,0,0,0,0
"20","Alphapapillomavirus 6",217,8,17,12,14,10,9,9,8,39,16,24,372250,31,13,11,23,13,26,17,83,37,25,6,25
"21","Alphapapillomavirus 7",305,87,1,3,3,22,1,1,2,18,3,5,13880,6,3,1,11,238,3,172,3,602,1,0,0
"22","Alphapapillomavirus 8",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,243,0,0,0
"23","Alphapapillomavirus 9",14,15,9,23,13,9,16,86,1108,26,14,16,81363,21,15,8,22,1280,14,10,22,76,18,7,5
"24","Ambrosia asymptomatic virus 2 UKM-2007",0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Ateline herpesvirus 3",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Avian sarcoma virus",1,5,0,2,13,1,0,2,3,0,0,2,1,0,12,0,3,1,3,6,0,2,4,0,2
"27","Bacillus phage 0305phi8-36",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"28","Bacillus phage BCJA1c",0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,797,0,0,0,0,1,0,0
"29","Bacillus phage G",0,0,0,0,5,0,4,2,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"30","Bacillus phage PBC1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1219,0,0,0
"31","Bacillus phage SIOphi",2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,1,0,0,0
"32","Bacillus virus 1",0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"33","Bacteriophage Lily",0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Baku virus",0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,15,0,0
"35","Ball python nidovirus",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Bat betaherpesvirus B7D8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"37","Bat mastadenovirus B",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Bathycoccus sp. RCC1105 virus BpV",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Betapapillomavirus 1",0,0,0,1,1,0,0,0,35,0,0,0,12,0,0,0,10,100,0,0,1,0,0,0,0
"40","Betapapillomavirus 2",0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,35,0,0,25,0,0,0,0
"41","Betapapillomavirus 3",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"42","Bovine herpesvirus 5",0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Brevibacillus phage Emery",10,0,0,0,0,0,0,6,0,0,8,0,2,0,0,0,0,46,0,0,0,24,0,0,0
"44","Brochothrix phage A9",0,2,0,0,0,0,0,0,0,1,1,0,0,25,0,0,0,1,0,0,0,0,1,0,0
"45","Brochothrix phage NF5",0,0,0,0,0,0,0,170,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0
"46","Burkholderia phage BcepC6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"47","Burkholderia phage phiE255",0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"48","Cafeteria roenbergensis virus",0,0,1,1,0,0,0,6,0,0,0,1,2,1,1,0,0,10,0,0,0,1,0,0,0
"49","Callitrichine herpesvirus 3",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Canarypox virus",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"51","Cardioderma polyomavirus",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,1,0,0,0,0
"52","Cellulophaga phage phi13:2",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0
"53","Cellulophaga phage phi39:1",3,0,0,0,0,0,48,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0
"54","Cellulophaga phage phi46:3",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"55","Cercopithecine herpesvirus 2",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
