"","Var1","DNA_Adeno","DNA_KlenNeg_A12","DNA_KlenNeg_A11","DNA_NTC_A9","DNA_NTC_E12","RNA_NTC_B9","RNA_NTC_B11","RNA_KlenNeg_B12","RNA_Entero"
"1",10370,1,1,0,0,2,0,0,0,0
"2",10590,1,0,0,0,0,0,0,0,0
"3",10618,1,1,8,0,1,0,0,0,0
"4",1279083,1,0,1,3903,13956,0,0,0,0
"5",129951,1,3,0,0,0,0,0,1,0
"6",1349410,1,0,0,0,0,0,1,1,0
"7",1416334,1,0,0,0,0,0,0,0,0
"8",1421422,1,0,0,0,0,0,0,0,0
"9",146015,1,0,0,0,0,0,0,0,0
"10",1605721,1,0,0,0,0,312,0,0,0
"11",1610831,1,0,0,0,0,0,0,0,0
"12",180230,1,0,0,0,0,0,0,0,0
"13",181216,1,0,0,0,1,0,0,0,0
"14",333754,1,0,1,0,0,0,0,0,0
"15",333767,1,0,1,1,0,0,0,0,0
"16",333772,1,0,0,0,0,0,0,0,0
"17",342409,1,0,0,0,0,1,0,0,0
"18",45455,1,0,0,0,0,0,0,0,0
"19",654901,1,0,0,0,0,0,0,0,0
"20",764030,1,0,0,0,0,0,0,0,0
"21",82830,1,0,0,0,0,0,0,0,0
"22",994672,1,0,0,0,0,0,0,0,0
"23",120686,2,0,0,1,0,0,0,0,0
"24",1421421,2,0,0,0,1,0,0,0,0
"25",251749,2,0,0,9,4,0,0,0,0
"26",337050,2,1,0,0,0,0,0,0,0
"27",931244,2,0,0,0,0,0,0,0,0
"28",10585,3,0,20,0,2,0,0,0,0
"29",1484958,3,1,7,0,2,0,0,0,0
"30",333770,3,0,2,0,0,0,0,0,0
"31",334210,3,0,0,0,0,0,0,0,0
"32",1,4,0,0,1,122,450,0,0,0
"33",10375,4,0,0,0,1,0,0,0,0
"34",10527,4,0,0,0,1,0,0,0,0
"35",129875,4,0,0,0,1,0,0,0,0
"36",130308,4,0,0,0,0,0,0,0,0
"37",10596,5,0,0,0,0,0,0,0,0
"38",419435,5,0,0,2,0,5,3,1,0
"39",372443,8,0,0,1,12,0,0,0,0
"40",151340,9,1,12,3,4,0,0,0,0
"41",346673,9,0,0,4,3,0,0,0,0
"42",298334,11,0,0,0,0,0,0,0,0
"43",202250,13,0,2,0,2,0,0,0,0
"44",46929,17,0,0,0,0,0,1,0,0
"45",28276,18,0,0,0,0,0,0,0,0
"46",108098,20,0,0,0,0,0,0,0,0
"47",10376,21,0,0,3,2,0,1,0,0
"48",46938,38,0,0,0,0,0,0,0,0
"49",216370,65,0,1,0,0,0,2,0,0
"50",10508,92,0,0,0,2,0,2,0,0
"51",31545,110,0,0,0,0,0,0,0,0
"52",28278,1029,0,0,0,20,0,16,0,0
"53",46924,1050,0,0,0,12,0,13,0,0
"54",10509,1207,0,0,0,11,0,26,0,0
"55",130310,16576,0,6,0,214,1,336,0,0
"56",542836,1,0,0,0,3,0,0,0,0
"57",12402,0,1,0,0,0,0,0,0,0
"58",318569,0,1,0,0,0,0,0,0,1200
"59",82639,0,1,0,0,0,0,0,0,1
"60",333769,0,2,1,2,0,0,0,0,0
"61",12071,0,6,0,0,0,0,0,0,150
"62",45101,0,11,0,0,0,0,0,0,713
"63",12067,0,130,0,0,0,1,2,0,11663
"64",138949,0,228,0,0,0,1,4,0,22303
"65",12059,0,500,0,0,0,3,15,1,69275
"66",37116,0,0,1,0,1,0,0,0,0
"67",333771,0,0,2,0,0,0,0,0,0
"68",10239,0,0,0,1,7,1,0,0,0
"69",10381,0,0,0,1,0,1,0,0,0
"70",11745,0,0,0,1,0,0,0,0,0
"71",1273711,0,0,0,1,0,0,0,0,0
"72",305674,0,0,0,1,0,0,0,0,0
"73",31552,0,0,0,1,0,0,0,0,0
"74",985780,0,0,0,1,0,0,0,0,0
"75",10479,0,0,0,2,0,0,0,0,0
"76",644007,0,0,0,7,0,0,0,0,0
"77",1204538,0,0,0,8,100,0,0,0,0
"78",1247379,0,0,0,11,0,0,0,0,0
"79",181083,0,0,0,11,0,0,0,0,0
"80",10744,0,0,0,263,1536,0,0,0,0
"81",329157,0,0,0,446,1627,0,0,0,0
"82",942165,0,0,0,508,203,0,0,0,0
"83",988656,0,0,0,1338,4684,0,0,0,0
"84",10662,0,0,0,1,0,166,0,0,0
"85",110456,0,0,0,4,10,0,0,0,0
"86",542835,0,0,0,986,0,0,0,0,0
"87",10744,0,0,0,1325,1536,0,0,0,0
"88",10294,0,0,0,0,1,0,0,0,0
"89",10595,0,0,0,0,1,0,0,0,0
"90",1162295,0,0,0,0,1,0,0,0,0
"91",1289473,0,0,0,0,1,0,0,0,0
"92",129724,0,0,0,0,1,0,0,0,0
"93",1349409,0,0,0,0,1,6,0,0,0
"94",1455076,0,0,0,0,1,0,0,0,0
"95",1510155,0,0,0,0,1,0,0,0,0
"96",196894,0,0,0,0,1,0,0,0,0
"97",35237,0,0,0,0,1,107,0,0,0
"98",37115,0,0,0,0,1,0,0,0,0
"99",381899,0,0,0,0,1,0,0,0,0
"100",445696,0,0,0,0,1,0,0,0,0
"101",526118,0,0,0,0,1,0,0,0,0
"102",549779,0,0,0,0,1,0,0,0,0
"103",1051673,0,0,0,0,2,0,0,0,0
"104",1194091,0,0,0,0,2,0,0,0,0
"105",1273087,0,0,0,0,2,0,0,0,0
"106",1278254,0,0,0,0,2,0,0,0,0
"107",346932,0,0,0,0,2,0,0,0,0
"108",10345,0,0,0,0,3,0,0,0,0
"109",908819,0,0,0,0,3,0,0,0,0
"110",1464073,0,0,0,0,6,0,0,0,0
"111",453461,0,0,0,0,8,0,0,0,0
"112",322019,0,0,0,0,10,21,0,0,0
"113",399781,0,0,0,0,21,0,0,0,0
"114",445688,0,0,0,0,34,0,0,0,0
"115",687329,0,0,0,0,37,0,0,0,0
"116",696746,0,0,0,0,186,0,0,0,0
"117",10397,0,0,0,0,268,1,0,0,0
"118",110456,0,0,0,0,97,0,0,0,0
"119",542835,0,0,0,0,672,0,0,0,0
"120",10744,0,0,0,0,1451,0,0,0,0
"121",10366,0,0,0,0,0,1,0,0,0
"122",1120767,0,0,0,0,0,1,0,0,0
"123",1335230,0,0,0,0,0,1,0,0,0
"124",1477405,0,0,0,0,0,1,0,0,0
"125",194960,0,0,0,0,0,1,196,0,0
"126",39640,0,0,0,0,0,1,0,0,0
"127",432261,0,0,0,0,0,1,0,0,0
"128",51368,0,0,0,0,0,1,0,0,0
"129",558016,0,0,0,0,0,1,0,0,0
"130",68887,0,0,0,0,0,1,0,0,0
"131",693272,0,0,0,0,0,1,0,0,0
"132",754039,0,0,0,0,0,1,0,0,0
"133",1484571,0,0,0,0,0,2,0,0,0
"134",176652,0,0,0,0,0,3,0,0,0
"135",444878,0,0,0,0,0,4,0,0,0
"136",755272,0,0,0,0,0,13,0,0,0
"137",11786,0,0,0,0,0,0,1,0,0
"138",490711,0,0,0,0,0,0,1,0,0
"139",11676,0,0,0,0,0,0,7,2,0
"140",153135,0,0,0,0,0,0,148,0,0
"141",28883,0,0,0,0,0,0,0,1,0
"142",1330521,0,0,0,0,0,0,0,0,1
"143",138950,0,0,0,0,0,0,0,0,1
"144",222888,0,0,0,0,0,0,0,0,1
"145",222889,0,0,0,0,0,0,0,0,1
"146",318568,0,0,0,0,0,0,0,0,1
"147",90010,0,0,0,0,0,0,0,0,1
"148",12072,0,0,0,0,0,0,0,0,2
"149",172038,0,0,0,0,0,0,0,0,2
"150",318562,0,0,0,0,0,0,0,0,2
"151",35295,0,0,0,0,0,0,0,0,2
"152",12073,0,0,0,0,0,0,0,0,3
"153",12078,0,0,0,0,0,0,0,0,4
"154",282345,0,0,0,0,0,0,0,0,4
"155",41846,0,0,0,0,0,0,0,0,6
"156",74561,0,0,0,0,0,0,0,0,6
"157",47502,0,0,0,0,0,0,0,0,7
"158",12060,0,0,0,0,0,0,0,0,10
"159",318566,0,0,0,0,0,0,0,0,10
"160",200154,0,0,0,0,0,0,0,0,11
"161",46018,0,0,0,0,0,0,0,0,12
"162",318564,0,0,0,0,0,0,0,0,19
"163",12062,0,0,0,0,0,0,0,0,166
"164",35294,0,0,0,0,0,0,0,0,314
