Viral_Species,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106
Acanthamoeba polyphaga mimivirus,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0
Acanthocystis turfacea Chlorella virus 1,3,0,3,1,7,2,3,2,0,3,3,3,0,0,1,1,5,1,1,2,2
Acidianus two-tailed virus,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0
Acinetobacter phage 133,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Acinetobacter phage Presley,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Alcelaphine herpesvirus 2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ambystoma tigrinum virus,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
Avian sarcoma virus,6,1,9,1,3,5,6,4,3,4,1,1,10,2,1,3,8,0,4,6,5
Bacillus phage G,0,2,1,0,1,0,3,0,1,0,5,0,34,0,0,0,0,1,0,0,3
Bacillus phage SIOphi,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0
Bacillus phage SPP1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
Bacillus phage Staley,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bacillus phage vB_BanS-Tsamsa,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Bacillus virus 1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Baku virus,3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
Bell pepper mottle virus,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacillus phage Emery,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Brochothrix phage A9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Brochothrix phage NF5,5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Burkholderia phage BcepF1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Burkholderia phage DC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Burkholderia phage JG068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Cafeteria roenbergensis virus,1,1,0,0,0,0,0,0,1,0,0,0,19,2,0,0,0,0,0,32,0
Canarypox virus,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Canid herpesvirus 1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardioderma polyomavirus,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Caviid herpesvirus 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Cellulophaga phage phi39:1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Cellulophaga phage phiST,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Chimpanzee stool associated circular ssDNA virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Choristoneura rosaceana alphabaculovirus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,0
Circoviridae,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Clostridium phage phiCP26F,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Clostridium phage phiCT19406C,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Clostridium phage phiCT453A,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Clostridium phage phiCT9441A,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0
Corynebacterium phage P1201,0,0,0,0,0,0,1,0,2,0,0,0,3179,0,0,0,0,0,0,0,0
Cronobacter phage CR9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cronobacter phage vB_CsaP_GAP52,0,0,1,0,2,0,0,0,0,0,0,77,0,0,8,16,0,1,2,0,0
Cyprinid herpesvirus 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Cyprinid herpesvirus 3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,3
Deep-sea thermophilic phage D6E,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,16,0,0,0,0
Delftia phage IME-DE1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
EBPR siphovirus 1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Ectocarpus siliculosus virus 1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,38,0,1,0,0,0
Edwardsiella phage MSW-3,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
Elephant endotheliotropic herpesvirus 6,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0
Elephantid herpesvirus 1,2,0,0,2,3,2,1,3,0,2,2,2,0,4,0,3,1,0,2,2,2
Emiliania huxleyi virus 145,9,1,5,8,8,1,4,3,5,10,5,3,4,2,24,0,5,0,0,3,7
Emiliania huxleyi virus 156,5,1,4,6,1,2,2,2,3,1,6,3,30,2,0,8,16,1,3,3,4
Emiliania huxleyi virus 164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
Emiliania huxleyi virus 84,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,2,0,11,1,1
Emiliania huxleyi virus 99B1,2,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,2
Emiliania huxleyi virus PS401,1,1,4,0,4,1,2,0,1,1,3,0,2,0,0,1,2,2,0,2,2
Enterococcus phage ECP3,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Enterococcus phage EFDG1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0
Enterococcus phage EFLK1,3,0,0,0,0,0,3,4,2,11,1,0,0,0,0,0,0,0,0,0,4
Enterococcus phage vB_Efae230P-4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0
Enterovirus B,2,4,39,0,2,1,1,3,1,4,2,0,0,1,1,0,1,0,1206,1,0
Environmental Halophage eHP-35,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
Equid herpesvirus 5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Erwinia phage Ea35-70,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Escherichia phage ECML-117,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia phage P694,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia phage Pollock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Faeces associated gemycircularvirus 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Falconid herpesvirus 1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium phage 6H,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Flavobacterium phage FCL-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Frog virus 3,2,0,2,1,1,1,2,3,1,2,3,0,0,1,0,1,0,0,2,1,0
Fusobacterium phage Funu2,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
Geobacillus phage GBK2,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0
Geobacillus virus E2,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0
Glypta fumiferanae ichnovirus,24,3,19,6,22,13,16,25,3,16,19,5,168,8,2,43,28,4,22,28,38
Gordonia phage GTE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Hepatitis B virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
Human endogenous retrovirus K,0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
Human herpesvirus 4,34,4,59,58,39,181,42,48,25,53,39,54,32,41,21,21,30,14,34,28,49
Human herpesvirus 5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0
Human herpesvirus 6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Human herpesvirus 6A,15,2,16,7,28,12,9,32,7,10,13,8,39,10,1,11,30,1,9,20,13
Human herpesvirus 6B,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human herpesvirus 8,0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,0,0,0,2
Human immunodeficiency virus 1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,3,1
Human mastadenovirus C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,13
Human mastadenovirus D,5,4,63,20,5,16,11,17,3,12,16,4,11,3,6,6,3,4,4,4,6
Hyposoter fugitivus ichnovirus,5,0,2,0,3,2,0,2,0,0,1,0,0,2,0,0,3,0,1,6,4
Ictalurid herpesvirus 1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Indian citrus ringspot virus,6,1,3,1,3,1,3,1,1,0,1,1,22,2,3,3,5,0,1,2,1
Invertebrate iridescent virus 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kallithea virus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Klebsiella phage NTUH-K2044-K1-1,2,0,1,1,5,2,1,3,2,1,2,0,1,4,0,1,6,1,2,0,0
Lactobacillus phage JCL1032,0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0
Lactobacillus phage KC5a,12,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,8,0,1,0,0
Lactobacillus phage Ldl1,0,0,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,0,2
Lactobacillus phage LfeInf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Lactobacillus phage LfeSau,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus phage LL-H,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,15588,0,0,0
Lactobacillus phage Lrm1,15,7,0,1,0,0,0,0,6,0,2,0,237,0,0,0,1,57,8,0,0
Lactobacillus phage Lv-1,1,0,43,7,0,0,0,0,35,0,2,0,1,0,3,0,0,0,56,0,2
Lactobacillus phage phi jlb1,0,0,24,0,4,0,0,0,12,0,2,32,0,0,1,0,0,12267,433,0,0
Lactobacillus phage phiadh,0,0,23,0,2,0,0,0,781,1,0,0,415,0,27,1,429,2440,709,0,6
Lactobacillus phage phiAQ113,4,0,45,0,0,0,0,0,35,0,3,2,1,1,0,0,0,38,43,0,0
Lactobacillus phage phig1e,0,0,174,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus phage phiJB,0,0,0,0,1,0,0,1,1,0,8,0,21,0,0,0,0,11,8,0,0
Lactobacillus phage phijl1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus phage phiPYB5,0,0,6,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0
Lactobacillus prophage Lj771,35,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,23,7,0,0,0
Lactococcus phage c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Lactococcus phage CB13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactococcus phage phiL47,0,0,0,0,1,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
Lambdina fiscellaria nucleopolyhedrovirus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Leucania separata nucleopolyhedrovirus,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Leuconostoc phage LLC-1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
Leuconostoc phage phiMH1,0,0,0,0,0,0,0,0,54,0,0,0,0,0,3,0,0,7,0,0,0
Lymantria dispar multiple nucleopolyhedrovirus,2,0,1,0,1,0,1,0,0,2,0,1,1,0,0,4,0,0,0,0,0
Macacine herpesvirus 1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macacine herpesvirus 3,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Macacine herpesvirus 4,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,2,1,1
Megavirus chiliensis,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
