Viral_Species,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52
Acanthamoeba polyphaga mimivirus,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthocystis turfacea Chlorella virus 1,0,4,0,0,9,2,0,0,3,0,0,10,1,1,5,19,4,0,2,4,1,0,20,0,0
Acidianus bottle-shaped virus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter phage 133,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,13,0,0,0,0
Acinetobacter phage Presley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
Acinetobacter phage vB_AbaM_Acibel004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Actinomyces phage Av-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Aeromonas phage vB_AsaM-56,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambrosia asymptomatic virus 2 UKM-2007,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateline herpesvirus 3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avian sarcoma virus,1,5,0,2,13,1,0,2,3,0,0,2,1,0,12,0,3,1,3,6,0,2,4,0,2
Bacillus phage 0305phi8-36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
Bacillus phage BCJA1c,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,797,0,0,0,0,1,0,0
Bacillus phage G,0,0,0,0,5,0,4,2,0,2,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Bacillus phage PBC1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1219,0,0,0
Bacillus phage SIOphi,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,1,0,0,0
Bacillus virus 1,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Bacteriophage Lily,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baku virus,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,15,0,0
Ball python nidovirus,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
