Viral_Species,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
Acanthocystis turfacea Chlorella virus 1,1,1,1,0,0,5,3,0
Acanthocystis turfacea Chlorella virus Canal-1,0,0,0,0,1132,1,0,0
Actinomyces phage Av-1,25,0,0,0,0,0,0,0
Aggregatibacter phage Aabphi01,22,0,0,0,0,0,0,0
Aureococcus anophagefferens virus,2,0,0,0,3,0,0,0
Avian sarcoma virus,0,2,2,0,1,1,1,3
Bacillus phage BCJA1c,482,1,0,0,0,0,0,0
Bacillus phage G,0,0,1,8,0,0,0,0
Bacillus phage SPP1,5,0,0,0,0,0,0,0
Bovine herpesvirus 1,0,0,0,3,0,0,0,0
Brochothrix phage A9,16,0,0,0,0,0,0,0
Brochothrix phage BL3,2,0,0,0,1,0,0,0
Burkholderia phage Bcep22,10,0,0,0,0,0,0,0
Cafeteria roenbergensis virus,0,0,2,0,0,6,0,0
Cellulophaga phage phi39:1,17,0,0,0,0,0,0,0
Cellulophaga phage phiST,0,0,0,4,0,0,0,0
Cercopithecine herpesvirus 5,1,0,0,0,0,2,0,0
Choristoneura rosaceana alphabaculovirus,1,0,0,0,0,0,2,0
Corynebacterium phage BFK20,3,0,0,0,0,0,0,0
Cronobacter phage CR5,12,0,0,0,0,0,0,0
Cronobacter phage vB_CsaP_GAP52,0,0,0,3,0,0,0,0
Cyprinid herpesvirus 3,0,2,1,0,6,2,0,0
Deep-sea thermophilic phage D6E,6,0,1,0,0,0,0,0
Dromedary stool-associated circular ssDNA virus,7,0,0,0,0,0,0,0
Ectocarpus siliculosus virus 1,0,0,0,109,3,0,0,10
Elephantid herpesvirus 1,0,3,4,0,4,8,1,0
Emiliania huxleyi virus 145,0,1,3,0,3,2,8,0
Emiliania huxleyi virus 156,0,3,2,0,1,3,39,0
Emiliania huxleyi virus 18,0,1,2,0,0,0,0,0
Emiliania huxleyi virus PS401,0,0,0,0,9,0,0,1
Enterococcus phage EFDG1,4,0,0,0,0,0,0,0
Enterococcus phage vB_Efae230P-4,0,0,0,0,0,0,0,123
Enterovirus B,12,1,0,2,0,0,6,2
Environmental Halophage eHP-40,5,0,0,0,0,0,0,0
Erwinia phage Ea35-70,3,0,0,0,0,0,0,0
Frog virus 3,0,2,2,0,2,8,0,0
Fusobacterium phage Funu2,8,0,0,0,0,0,0,0
