"","var","pval","phi","cramer"
"1","Age.cat",0.712745925978304,NA,0.268433233690098
"2","BMI.under.cat",0.660815939278932,NA,0.383958646763219
"3","BMI.over.cat",0.510592772260314,NA,0.33815950652296
"4","Ethnicity.cat",0.792803950771258,NA,0.262370742571852
"5","Ethnicity2.cat",0.467479200741916,NA,0.31919340490572
"6","Yeast.ever",0.0583624797792976,NA,0.49520546821978
"7","UTI.ever",0.0763040142790342,NA,0.457904589609435
"8","Trich.ever",0.482968920514477,NA,0.301659126739005
"9","Chlamydia.ever",0.304910424902093,NA,0.315886110100573
"10","Condyloma.ever",0.463960039766726,NA,0.274825537727066
"11","GenHerpes.ever",0.999999999999936,NA,0.16000340820959
"12","Gonorrhea.ever",0.00214323432969367,NA,0.605249147551853
"13","Syphillis.ever",0.407407407407398,NA,0.329379061322568
"14","Presence.Symptoms.2wks",0.635079398993181,NA,0.296618711419364
"15","Presence.Symptoms.48hrs",0.748299555542381,NA,0.265630686347317
"16","Symptom.pain",0.0251374279034104,NA,0.478041595137558
"17","oralsxfrequency.cat",0.999999999999965,NA,0.166367882007214
"18","analsxfrequency.cat",0.222274395970283,NA,0.42480932541902
"19","sextoyfrequency.cat",0.716227504461169,NA,0.259298100138633
"20","sexpartner1yr.cat",0.594834176143352,NA,0.318161866837593
"21","sexpartner2mo.cat",0.620310888953222,NA,0.2835712307563
"22","Contraception.H",0.916364163823169,NA,0.245314684415387
"23","Contraception.B.M",0.932430929819356,NA,0.203343193093355
"24","Contraception.IUD",1,NA,0.186431497012846
"25","Contraception.none",0.320726500270848,NA,0.317030640004743
"26","condoms.48h",0.355936582018688,NA,0.35258514605488
"27","Pregnancy.cat",0.18690729205248,NA,0.41920616129539
"28","Feminine.products",0.160428050903944,NA,0.421270593165819
"29","Feminine.products.48hrs",0.0484267243423714,NA,0.499209902061036
"30","Tampon.Use.cat",0.554289256110815,NA,0.33108773100989
"31","Tampon.use.1mth",0.181942690225918,NA,0.411464754097659
"32","smoking.current",0.199777163465196,NA,0.399539719873992
"33","druguse",0.272227906350259,NA,0.35739910393014
"34","substanceuse",0.763008988456437,NA,0.239287548657972
"35","nugent_score_result",0.284054094272606,NA,0.365260977018142
"36","sexpartner",0.9034406215316,NA,0.215380799722001
"37","contramethnotactive___1",0.932916262520185,NA,0.195662800477725
"38","abnormaldischarge2wk",0.763008988456437,NA,0.265803288327287
"39","abnormaldischarge48",0.417355083342031,NA,0.335116686964617
"40","abnormalodor2wk",0.450720549467946,NA,0.341169695508853
"41","abnormalodor48",0.203369791716059,NA,0.405917560005656
"42","irritationdiscomfort2wk",0.310150560736494,NA,0.35591524766125
"43","irritationdiscomfort48",0.417026357012651,NA,0.326487901133167
"44","vaginalsymptomother2wk",0.99999999999999,NA,0.183532587096449
"45","rxdrug",0.443040863619207,NA,0.351329081392536
"46","antimicrodrug",0.17359971173755,NA,0.419725613518254
"47","vaginalintercourse48hr",0.429035206672208,NA,0.308306499516895
"48","t16",0.289473684210524,NA,0.59317101400174
"49","t18",0.999999999999995,NA,0.253628636750894
"50","t26",0.999999999999995,NA,0.253628636750894
"51","t33",0.810526315789469,NA,0.368513865595044
"52","t35",0.399999999999997,NA,0.688247201611685
"53","t42",0.810526315789469,NA,0.368513865595044
"54","t45",0.999999999999995,NA,0.253628636750894
"55","t51",0.999999999999998,NA,0.368513865595044
"56","t52",0.549999999999996,NA,0.54611868127275
"57","t53",0.399999999999997,NA,0.688247201611685
"58","t54",0.810526315789469,NA,0.368513865595044
"59","t56",0.34210526315789,NA,0.624482356442218
"60","t61",0.823839009287916,NA,0.496015872761897
"61","t62",0.794504643962838,NA,0.447213595499958
"62","t66",0.999999999999998,NA,0.368513865595044
"63","t67",0.810526315789469,NA,0.368513865595044
"64","t68",0.999999999999995,NA,0.253628636750894
"65","t70",0.595046439628479,NA,0.552770798392567
"66","t71",0.549999999999996,NA,0.54611868127275
"67","t72",0.999999999999995,NA,0.253628636750894
"68","t73",0.999999999999995,NA,0.253628636750894
"69","t81",0.999999999999995,NA,0.358525180441895
"70","t83",0.399999999999997,NA,0.688247201611685
"71","t84",0.999999999999998,NA,0.368513865595044
"72","t89",0.999999999999995,NA,0.253628636750894
"73","Is.the.patient.antiretroviral.naive.",0.999999999999998,NA,0.230283093235919
"74","HIV.Clade...Result",0.958074534161496,NA,0.363835671058089
"75","Likely.mode.of.HIV.acquisition",0.986878863497519,NA,0.347973933773578
"76","HCV.Antibody...Result",0.434673127832363,NA,0.52404313956125
"77","HCV.PCR...Result",0.350089546115926,NA,0.49466854528762
"78","HBV.sAb...Result",0.245685086215437,NA,0.530865502569325
"79","HBV.sAg...Result",0.0698814229249015,NA,0.636209010280352
"80","HBV.cAb...Result",0.981235283763216,NA,0.369041271479351
"81","study_arm",0.549716842182036,NA,0.319525095084955
