"","var","pval","phi","cramer"
"1","Age.cat",0.392710186629271,NA,0.344334493180966
"2","BMI.under.cat",0.931688804554072,NA,0.355512150128359
"3","BMI.over.cat",0.727009382065438,NA,0.279508497187474
"4","Ethnicity.cat",0.0335734213460858,NA,0.47415325849414
"5","Ethnicity2.cat",0.105776161472492,NA,0.387644955265992
"6","Yeast.ever",0.618950239918786,NA,0.317488381173943
"7","UTI.ever",0.0948756310785173,NA,0.447842758382505
"8","Trich.ever",0.376548413269492,NA,0.319333186829253
"9","Chlamydia.ever",0.209840239917925,NA,0.383322958041355
"10","Condyloma.ever",0.683212997366719,NA,0.253916687538504
"11","GenHerpes.ever",0.847411707789005,NA,0.246348194367006
"12","Gonorrhea.ever",0.0499027671058711,NA,0.47487914681699
"13","Syphillis.ever",0.48148148148147,NA,0.329379061322568
"14","Presence.Symptoms.2wks",0.692753675278902,NA,0.287015755104756
"15","Presence.Symptoms.48hrs",0.399805876192792,NA,0.349427157505382
"16","Symptom.pain",0.916607031426142,NA,0.229432503413647
"17","oralsxfrequency.cat",0.548975845903151,NA,0.330506662414764
"18","analsxfrequency.cat",0.0983522581746744,NA,0.468745370347508
"19","sextoyfrequency.cat",0.276688976784917,NA,0.372593497971341
"20","sexpartner1yr.cat",0.915892844492264,NA,0.257770347958242
"21","sexpartner2mo.cat",0.460081867346454,NA,0.348564088982935
"22","Contraception.H",0.356293904987021,NA,0.370334384564784
"23","Contraception.B.M",0.798720351592425,NA,0.249326245219038
"24","Contraception.IUD",0.999999999999984,NA,0.186431497012846
"25","Contraception.none",0.375014007156708,NA,0.336480451508325
"26","condoms.48h",0.523472494948592,NA,0.286558901966865
"27","Pregnancy.cat",0.0144931787583831,NA,0.532318687458553
"28","Feminine.products",0.404315869093185,NA,0.311385858513526
"29","Feminine.products.48hrs",0.00817072515185679,NA,0.55
"30","Tampon.Use.cat",0.554009556254329,NA,0.31535336522476
"31","Tampon.use.1mth",0.100673681046393,NA,0.443895860267736
"32","smoking.current",0.389165063738081,NA,0.345243095178532
"33","druguse",0.878411352554059,NA,0.256756336195861
"34","substanceuse",0.764397449993481,NA,0.269304776520287
"35","nugent_score_result",0.154166393432529,NA,0.40997716487649
"36","sexpartner",0.191027063946037,NA,0.385368358755392
"37","contramethnotactive___1",0.893319073365454,NA,0.243189188529431
"38","abnormaldischarge2wk",0.670999369077735,NA,0.278455730745414
"39","abnormaldischarge48",0.238250329837528,NA,0.349044923576413
"40","abnormalodor2wk",0.620938186595353,NA,0.232678435584316
"41","abnormalodor48",0.188815213232513,NA,0.31134992453862
"42","irritationdiscomfort2wk",0.765349945732485,NA,0.245822801836067
"43","irritationdiscomfort48",0.752748057194632,NA,0.242153760936986
"44","vaginalsymptomother2wk",0.666666666666667,NA,0.305505046330389
"45","rxdrug",0.48687942015643,NA,0.304659269428733
"46","antimicrodrug",0.11104109191654,NA,0.416485252684573
"47","vaginalintercourse48hr",0.222098327828369,NA,0.373036627925173
"48","t16",0.778947368421048,NA,NA
"49","t18",0.199999999999999,NA,NA
"50","t26",0.0999999999999994,NA,NA
"51","t33",0.310526315789472,NA,NA
"52","t35",0.349999999999998,NA,NA
"53","t42",0.778947368421048,NA,NA
"54","t45",0.199999999999999,NA,NA
"55","t51",0.384210526315788,NA,NA
"56","t52",1,NA,NA
"57","t53",1,NA,NA
"58","t54",0.310526315789472,NA,NA
"59","t56",0.518421052631574,NA,NA
"60","t61",0.233359133126931,NA,NA
"61","t62",0.460461816305462,NA,NA
"62","t66",0.0315789473684209,NA,NA
"63","t67",1,NA,NA
"64","t68",0.199999999999999,NA,NA
"65","t70",0.921981424148599,NA,NA
"66","t71",0.349999999999998,NA,NA
"67","t72",0.649999999999996,NA,NA
"68","t73",0.199999999999999,NA,NA
"69","t81",0.518421052631574,NA,NA
"70","t83",1,NA,NA
"71","t84",0.310526315789472,NA,NA
"72","t89",0.0999999999999994,NA,NA
"73","Is.the.patient.antiretroviral.naive.",0.999999999999998,NA,0.297559517855952
"74","HIV.Clade...Result",0.951083003952572,NA,0.353381051616135
"75","Likely.mode.of.HIV.acquisition",0.600778007831436,NA,0.439578396496764
"76","HCV.Antibody...Result",0.880914407230191,NA,0.405046293650491
"77","HCV.PCR...Result",0.965853718229542,NA,0.349851158828055
"78","HBV.sAb...Result",0.568269877921239,NA,0.462481230850387
"79","HBV.sAg...Result",0.562055335968384,NA,0.518028160048442
"80","HBV.cAb...Result",0.926116796112756,NA,0.385828506416564
"81","study_arm",0.00543443727850735,NA,0.478122932485615
