Viral_Species,Viral_Family,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106
Alphapapillomavirus,Papillomaviridae,4,0,9,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
Alphapapillomavirus,Papillomaviridae,10,1,22,17,23,10,15,21,12,12,14,13,14,15,4420,11,12,4,26,6,11
Alphapapillomavirus,Papillomaviridae,0,0,251,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Alphapapillomavirus,Papillomaviridae,3,1,7505,8,1,6,2,9,1,5,5,6,2,20,8,2,5,3,10,5,1
Alphapapillomavirus,Papillomaviridae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Alphapapillomavirus,Papillomaviridae,99,5,124,104,86,112,70,104,91,242,86,66,75,194,1080792,94,82,50,107,91,59
Alphapapillomavirus,Papillomaviridae,0,0,0,2,2,0,0,0,0,1,0,4,0,2703,0,0,0,0,1,1,1
Alphapapillomavirus,Papillomaviridae,15,2,28,21,21,17,7,28,12,23,15,10,9,181,9,9,17,4,25,24,8
Alphapapillomavirus,Papillomaviridae,1,0,2,3,0,2,4,3,0,1,0,1,3,251,53,2,1,1,0,0,3
Alphapapillomavirus,Papillomaviridae,61,1,6,0,0,0,0,0,0,0,748,0,0,0,9,0,0,0,0,0,0
Alphapapillomavirus,Papillomaviridae,56,0,49,2456,20,17,19,24,10,16,11,86,13,22,871,29,60,135,184129,22,9
Betapapillomavirus,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
Gammapapillomavirus,Papillomaviridae,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammapapillomavirus,Papillomaviridae,36,0,0,0,0,0,0,0,0,0,0,0,0,10,73,0,0,0,0,0,0
Gammapapillomavirus,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Other_Human_Papillomavirus,Papillomaviridae,1,0,2,0,0,0,6,0,0,0,7,1,0,2,1,0,0,0,5,0,0
Other_Human_Papillomavirus,Papillomaviridae,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphapapillomavirus,Papillomaviridae,0,0,0,1,1,0,0,0,0,1,1,0,0,0,631,0,0,0,7,0,0
Other_Papillomaviridae,Papillomaviridae,68,1,1081,1023,47,27,53,37,25,30,182,58,18,643,12287,37,48,95,100605,31,35
Human_Immunodeficiency_Virus_1,Retroviridae,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,3,1
Human_Herpesvirus_4,Herpesviridae,34,4,59,58,39,181,42,48,25,53,39,54,32,41,21,21,30,14,34,28,49
Human_Herpesvirus_5,Herpesviridae,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0
Human_Herpesvirus_6,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Human_Herpesvirus_6A,Herpesviridae,15,2,16,7,28,12,9,32,7,10,13,8,39,10,1,11,30,1,9,20,13
Human_Herpesvirus_6B,Herpesviridae,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human_Herpesvirus_8,Herpesviridae,0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,0,0,0,2
Lymphocryptovirus,Herpesviridae,8,1,20,10,8,39,11,19,5,25,11,7,11,19,11,4,8,8,3,6,11
