Viral_Species,Viral_Family,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
Human_Herpesvirus_4,Herpesviridae,26,129,25,22,34,39,8,16
Human_Herpesvirus_5,Herpesviridae,0,0,0,0,2,0,1,0
Human_Herpesvirus_6A,Herpesviridae,1,13,27,0,71,29,11,1
Lymphocryptovirus,Herpesviridae,4,25,4,6,13,8,1,7
Alphapapillomavirus,Papillomaviridae,16,0,0,0,1,0,0,0
Alphapapillomavirus,Papillomaviridae,1651,7,7,11,69,13,1,5
Alphapapillomavirus,Papillomaviridae,207,0,0,0,0,0,0,0
Alphapapillomavirus,Papillomaviridae,3,0,0,0,0,0,0,0
Alphapapillomavirus,Papillomaviridae,3,4,4,2,6,2,5,4
Alphapapillomavirus,Papillomaviridae,41,122,59,71,276,77,13,47
Alphapapillomavirus,Papillomaviridae,43528,12,16,18,10,13,4,8
Alphapapillomavirus,Papillomaviridae,19876,3,1,2,1,4,3,0
Alphapapillomavirus,Papillomaviridae,13485,13,6,5,12,18,2,13
Betapapillomavirus,Papillomaviridae,44,0,0,0,0,0,0,0
Betapapillomavirus,Papillomaviridae,0,0,2,0,3,1,0,0
Gammapapillomavirus,Papillomaviridae,3,0,0,0,0,0,0,0
Gammapapillomavirus,Papillomaviridae,11,0,0,0,0,0,0,0
Other_Human_Papillomavirus,Papillomaviridae,9,0,0,0,0,0,0,0
Alphapapillomavirus,Papillomaviridae,5,0,0,0,0,0,0,0
Other_Papillomaviridae,Papillomaviridae,16539,28,16,21,53,38,13,11
