Viral_Species,Viral_Family,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52
Human_Immunodeficiency_Virus_1,Retroviridae,0,1,0,0,27,0,0,4,0,0,0,1,0,0,0,0,0,10,0,2,2,0,0,2,4
Simplexvirus,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0
Simplexvirus,Herpesviridae,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Lymphocryptovirus,Herpesviridae,718,60,932047,47,86,56,59,790,56,1610,106,39,46,2220,82,15,43,6,25,34,25,38,33,27,8
Cytomegalovirus,Herpesviridae,0,2,0,0,0,2,1,1179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Roseolovirus,Herpesviridae,2,26,2,10,17,4,0,0,6,0,3,28,6,0,24,1,8,12,3,111,2,2,24,2,0
Roseolovirus,Herpesviridae,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Rhadinovirus,Herpesviridae,0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,13,0,0,6,0,0,0,0,0,0
Cytomegalovirus,Herpesviridae,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,54,0,0,1,0,0,0
Lymphocryptovirus,Herpesviridae,131,12,157496,12,16,12,12,200,12,234,17,8,18,405,19,3,11,0,16,8,3,8,14,6,0
Roseolovirus,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Alphapapillomavirus,Papillomaviridae,1,0,0,0,1,67,1,441,0,1,0,1,6778,1,0,0,0,0,1,8,6,1542,1,0,0
Alphapapillomavirus,Papillomaviridae,14,18,4,20,6,2248,31,9,7,37,15,30,120847,4677,72,16,21,7,41,63,189,181457,22,3,12
