Viral_Species,Viral_Family,Vogue1A.01.52,Vogue1A.01.59,Vogue1A.01.61,Vogue1A.01.62,Vogue1A.01.64,Vogue1A.01.65,Vogue1A.01.68,Vogue1A.01.69,Vogue1A.01.70,Vogue1A.01.71,Vogue1A.01.74,Vogue1A.01.75,Vogue1A.01.76,Vogue1A.01.77,Vogue1A.01.78,Vogue1A.01.81,Vogue1A.01.84,Vogue1A.01.85,Vogue1A.01.92,Vogue1A.01.101,Vogue1A.01.106
Alphapapillomavirus 1,Papillomaviridae,4,0,9,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
Alphapapillomavirus 10,Papillomaviridae,10,1,22,17,23,10,15,21,12,12,14,13,14,15,4420,11,12,4,26,6,11
Alphapapillomavirus 13,Papillomaviridae,0,0,251,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Alphapapillomavirus 14,Papillomaviridae,3,1,7505,8,1,6,2,9,1,5,5,6,2,20,8,2,5,3,10,5,1
Alphapapillomavirus 2,Papillomaviridae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Alphapapillomavirus 3,Papillomaviridae,99,5,124,104,86,112,70,104,91,242,86,66,75,194,1080792,94,82,50,107,91,59
Alphapapillomavirus 5,Papillomaviridae,0,0,0,2,2,0,0,0,0,1,0,4,0,2703,0,0,0,0,1,1,1
Alphapapillomavirus 6,Papillomaviridae,15,2,28,21,21,17,7,28,12,23,15,10,9,181,9,9,17,4,25,24,8
Alphapapillomavirus 7,Papillomaviridae,1,0,2,3,0,2,4,3,0,1,0,1,3,251,53,2,1,1,0,0,3
Alphapapillomavirus 8,Papillomaviridae,61,1,6,0,0,0,0,0,0,0,748,0,0,0,9,0,0,0,0,0,0
Alphapapillomavirus 9,Papillomaviridae,56,0,49,2456,20,17,19,24,10,16,11,86,13,22,871,29,60,135,184129,22,9
Betapapillomavirus 1,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
Dyoomikronpapillomavirus 1,Papillomaviridae,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,2,3
Enhydra lutris papillomavirus 1,Papillomaviridae,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gammapapillomavirus 15,Papillomaviridae,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammapapillomavirus 6,Papillomaviridae,36,0,0,0,0,0,0,0,0,0,0,0,0,10,73,0,0,0,0,0,0
Gammapapillomavirus 7,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Human papillomavirus,Papillomaviridae,1,0,2,0,0,0,6,0,0,0,7,1,0,2,1,0,0,0,5,0,0
Human papillomavirus type 179,Papillomaviridae,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omikronpapillomavirus 1,Papillomaviridae,0,1,2,1,2,0,1,0,1,0,2,0,0,1,0,0,2,0,1,5,0
Other Alphapapillomavirus,Papillomaviridae,0,0,0,1,1,0,0,0,0,1,1,0,0,0,631,0,0,0,7,0,0
Other Papillomaviridae,Papillomaviridae,68,1,1081,1023,47,27,53,37,25,30,182,58,18,643,12287,37,48,95,100605,31,35
Upsilonpapillomavirus 1,Papillomaviridae,1,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Avian sarcoma virus,Retroviridae,6,1,9,1,3,5,6,4,3,4,1,1,10,2,1,3,8,0,4,6,5
Human endogenous retrovirus K,Retroviridae,0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
Other Gammaretrovirus,Retroviridae,0,0,0,0,16,0,0,1,0,0,12,0,13,0,0,0,0,4,0,1,0
Human immunodeficiency virus 1,Retroviridae,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,3,1
Simian immunodeficiency virus,Retroviridae,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Other Lentivirus,Retroviridae,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Alcelaphine herpesvirus 2,Herpesviridae,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Canid herpesvirus 1,Herpesviridae,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caviid herpesvirus 2,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Cyprinid herpesvirus 2,Herpesviridae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
Cyprinid herpesvirus 3,Herpesviridae,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,3
Elephant endotheliotropic herpesvirus 6,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0
Elephantid herpesvirus 1,Herpesviridae,2,0,0,2,3,2,1,3,0,2,2,2,0,4,0,3,1,0,2,2,2
Equid herpesvirus 5,Herpesviridae,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Falconid herpesvirus 1,Herpesviridae,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human herpesvirus 4,Herpesviridae,34,4,59,58,39,181,42,48,25,53,39,54,32,41,21,21,30,14,34,28,49
Human herpesvirus 5,Herpesviridae,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0
Human herpesvirus 6,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Human herpesvirus 6A,Herpesviridae,15,2,16,7,28,12,9,32,7,10,13,8,39,10,1,11,30,1,9,20,13
Human herpesvirus 6B,Herpesviridae,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human herpesvirus 8,Herpesviridae,0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,0,0,0,2
Ictalurid herpesvirus 1,Herpesviridae,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Macacine herpesvirus 1,Herpesviridae,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macacine herpesvirus 3,Herpesviridae,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Macacine herpesvirus 4,Herpesviridae,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,2,1,1
Murid herpesvirus 1,Herpesviridae,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
Ovine herpesvirus 2,Herpesviridae,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Papiine herpesvirus 1,Herpesviridae,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tupaiid herpesvirus 1,Herpesviridae,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1
Other Lymphocryptovirus,Herpesviridae,8,1,20,10,8,39,11,19,5,25,11,7,11,19,11,4,8,8,3,6,11
