Viral_Species,Viral_Family,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52
Avian sarcoma virus,Retroviridae,1,5,0,2,13,1,0,2,3,0,0,2,1,0,12,0,3,1,3,6,0,2,4,0,2
Feline leukemia virus,Retroviridae,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,75,0
Murine leukemia-related retroviruses,Retroviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Murine leukemia virus,Retroviridae,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Human endogenous retrovirus K,Retroviridae,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Other Gammaretrovirus,Retroviridae,0,0,0,4,0,0,2,0,1,0,2181,1,0,1,0,5,0,6,0,0,3,1,0,0,0
Human immunodeficiency virus 1,Retroviridae,0,1,0,0,27,0,0,4,0,0,0,1,0,0,0,0,0,10,0,2,2,0,0,2,4
Simian immunodeficiency virus,Retroviridae,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Lentivirus,Retroviridae,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ateline herpesvirus 3,Herpesviridae,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bat betaherpesvirus B7D8,Herpesviridae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bovine herpesvirus 5,Herpesviridae,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callitrichine herpesvirus 3,Herpesviridae,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecine herpesvirus 2,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Cercopithecine herpesvirus 5,Herpesviridae,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,1,0,0
Cyprinid herpesvirus 2,Herpesviridae,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Cyprinid herpesvirus 3,Herpesviridae,0,2,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,1,4,6,1,0,1,0,0
Elephantid herpesvirus 1,Herpesviridae,3,3,0,1,1,1,0,0,1,0,0,7,0,1,5,0,1,0,0,7,1,0,3,0,0
Human herpesvirus 1,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0
Human herpesvirus 2,Herpesviridae,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Human herpesvirus 4,Herpesviridae,718,60,932047,47,86,56,59,790,56,1610,106,39,46,2220,82,15,43,6,25,34,25,38,33,27,8
Human herpesvirus 5,Herpesviridae,0,2,0,0,0,2,1,1179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Human herpesvirus 6A,Herpesviridae,2,26,2,10,17,4,0,0,6,0,3,28,6,0,24,1,8,12,3,111,2,2,24,2,0
Human herpesvirus 6B,Herpesviridae,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Human herpesvirus 8,Herpesviridae,0,0,0,0,8,0,0,3,0,0,0,0,0,3,0,13,0,0,6,0,0,0,0,0,0
Macacine herpesvirus 1,Herpesviridae,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macacine herpesvirus 3,Herpesviridae,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macacine herpesvirus 4,Herpesviridae,0,1,958,0,1,0,0,10,0,9,0,2,0,5,2,0,0,0,1,1,0,66,3,0,0
Macropodid herpesvirus 1,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
Murid herpesvirus 1,Herpesviridae,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Murid herpesvirus 2,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
Other Herpesviridae,Herpesviridae,0,0,116,0,3,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,1,1,0
Ovine herpesvirus 2,Herpesviridae,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
Papiine herpesvirus 1,Herpesviridae,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suid herpesvirus 1,Herpesviridae,0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Tupaiid herpesvirus 1,Herpesviridae,1,0,0,0,0,0,0,0,1,9,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0
Other Cytomegalovirus,Herpesviridae,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,54,0,0,1,0,0,0
Other Lymphocryptovirus,Herpesviridae,131,12,157496,12,16,12,12,200,12,234,17,8,18,405,19,3,11,0,16,8,3,8,14,6,0
Other Roseolovirus,Herpesviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
Alphapapillomavirus 1,Papillomaviridae,1,0,0,0,1,67,1,441,0,1,0,1,6778,1,0,0,0,0,1,8,6,1542,1,0,0
Alphapapillomavirus 10,Papillomaviridae,14,18,4,20,6,2248,31,9,7,37,15,30,120847,4677,72,16,21,7,41,63,189,181457,22,3,12
Alphapapillomavirus 11,Papillomaviridae,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphapapillomavirus 12,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,13,1,0,0
Alphapapillomavirus 13,Papillomaviridae,523,0,0,0,0,0,1,0,27,0,0,0,1,0,0,0,0,7,0,0,0,23,0,0,0
Alphapapillomavirus 14,Papillomaviridae,2,2,4,3,6,0,1,5,1,1,3,9,6,3,3,7,7,2,9,67325,5,4146,9,3,0
Alphapapillomavirus 2,Papillomaviridae,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22,0,0,0
Alphapapillomavirus 3,Papillomaviridae,36,1675,42,67,75,241,15870,706,40,94,89,148,1431,1007,331,86,404216,1911,169,3380,403,426205,634,47,2
Alphapapillomavirus 4,Papillomaviridae,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,1,427,0,0,0
Alphapapillomavirus 5,Papillomaviridae,0,0,0,0,0,0,0,0,0,3,0,0,47,0,0,0,1,2,0,0,0,0,0,0,0
