Viral_Species,Viral_Family,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
Avian sarcoma virus,Retroviridae,0,2,2,0,1,1,1,3
Other Gammaretrovirus,Retroviridae,0,0,0,0,4,0,2,0
Bovine herpesvirus 1,Herpesviridae,0,0,0,3,0,0,0,0
Cercopithecine herpesvirus 5,Herpesviridae,1,0,0,0,0,2,0,0
Cyprinid herpesvirus 3,Herpesviridae,0,2,1,0,6,2,0,0
Elephantid herpesvirus 1,Herpesviridae,0,3,4,0,4,8,1,0
Human herpesvirus 4,Herpesviridae,26,129,25,22,34,39,8,16
Human herpesvirus 5,Herpesviridae,0,0,0,0,2,0,1,0
Human herpesvirus 6A,Herpesviridae,1,13,27,0,71,29,11,1
Macacine herpesvirus 3,Herpesviridae,3,0,0,0,0,0,0,0
Saimiriine herpesvirus 2,Herpesviridae,0,0,0,0,14,0,0,0
Other Lymphocryptovirus,Herpesviridae,4,25,4,6,13,8,1,7
Alphapapillomavirus 1,Papillomaviridae,16,0,0,0,1,0,0,0
Alphapapillomavirus 10,Papillomaviridae,1651,7,7,11,69,13,1,5
Alphapapillomavirus 11,Papillomaviridae,207,0,0,0,0,0,0,0
Alphapapillomavirus 12,Papillomaviridae,3,0,0,0,0,0,0,0
Alphapapillomavirus 14,Papillomaviridae,3,4,4,2,6,2,5,4
Alphapapillomavirus 3,Papillomaviridae,41,122,59,71,276,77,13,47
Alphapapillomavirus 6,Papillomaviridae,43528,12,16,18,10,13,4,8
Alphapapillomavirus 7,Papillomaviridae,19876,3,1,2,1,4,3,0
Alphapapillomavirus 9,Papillomaviridae,13485,13,6,5,12,18,2,13
Betapapillomavirus 1,Papillomaviridae,44,0,0,0,0,0,0,0
Betapapillomavirus 2,Papillomaviridae,0,0,2,0,3,1,0,0
Gammapapillomavirus 16,Papillomaviridae,3,0,0,0,0,0,0,0
Gammapapillomavirus 9,Papillomaviridae,11,0,0,0,0,0,0,0
Human papillomavirus,Papillomaviridae,9,0,0,0,0,0,0,0
Omikronpapillomavirus 1,Papillomaviridae,0,0,0,0,2,1,2,0
Other Alphapapillomavirus,Papillomaviridae,5,0,0,0,0,0,0,0
Other Papillomaviridae,Papillomaviridae,16539,28,16,21,53,38,13,11
