"","Var1","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.52"
"1","Enterobacteria phage N15",1,0,9,3,14,0,8,2,2,1,0,4,0,20,1,7,4,5,0,0,0,0
"2","Podoviridae",1,0,9,4,12,3,25,3,13,0,0,2,3,33,5,107,27,0,4,40,0,1
"3","Autographivirinae",0,1,0,2,2,0,4,10,1,2,0,1,1,2,1,1,0,1,0,0,1,0
"4","Streptococcus phage Dp-1",0,1,0,0,0,4,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","T7likevirus",0,1,1,2,2,0,4,3,1,3,1,15,2,1,0,17,0,2,2,2,0,0
"6","Lactobacillus phage LL-H",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7","Picovirinae",0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,1,1,0,4
"8","Staphylococcus phage phiMR11",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0
"9","Myoviridae",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"10","Streptococcus phage Cp-1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"11","Bacillus phage SPP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"12","Synechococcus phage S-PM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"13","Inovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
