"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.106"
"1",542836,1,0,211,0,0,0,3,0,546,0,3,7,3317,0
"2",110456,0,1,0,0,0,0,0,27,2,1,0,0,0,0
"3",12348,0,0,1,0,4,1,0,0,0,0,0,15588,0,0
"4",10744,0,0,0,2,0,0,0,0,0,0,0,0,0,7
"5",379501,0,0,0,177,0,0,0,25,0,0,0,0,0,0
"6",31535,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"7",542835,0,0,0,0,0,0,7,0,1,1,0,1,0,0
"8",10662,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"9",10699,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"10",10239,0,0,0,0,0,0,0,49,0,0,0,90,0,0
"11",10724,0,0,0,0,0,0,0,75,0,0,0,0,0,0
"12",186764,0,0,0,0,0,0,0,185,0,0,0,0,0,0
"13",31537,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"14",33769,0,0,0,0,0,0,0,0,0,0,0,2,0,0
