"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Caudovirales",2,0,0,0,0,0,0,0
"2","Staphylococcus phage phiMR11",2,0,0,0,0,0,0,0
"3","T7likevirus",2,0,0,32,0,0,0,0
"4","Picovirinae",3,1,1,0,1,1,1,19527
"5","Lactococcus phage r1t",4,0,0,0,0,0,0,0
"6","Podoviridae",6,0,0,274,0,0,0,0
"7","Autographivirinae",7,0,0,15,0,0,0,0
"8","Bacillus phage SPP1",7,0,0,0,0,0,0,0
"9","Streptococcus phage CP-7",12,0,0,0,0,0,0,0
"10","Streptococcus phage Cp-1",170,0,0,0,0,2,0,0
"11","Haemophilus phage HP1c1",346,0,0,0,0,0,0,0
"12","Streptococcus phage Dp-1",0,0,5,0,0,0,0,0
"13","Myoviridae",0,0,0,1,0,0,0,0
"14","Lactobacillus phage mv1",0,0,0,0,0,0,1,0
"15","Lactobacillus phage LL-H",0,0,0,0,0,0,51,1
