,Var1,freq,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15
1,Other Phages,1,1,0,0,0,0,0,0,0
2,Streptococcus phage,1,1,0,0,0,0,0,0,0
3,Streptococcus phage,1,1,0,0,0,0,0,0,0
4,Chrysoviridae,1,1,0,0,0,0,0,0,0
5,Paramyxoviridae,12,1,3,3,0,0,4,1,0
6,Potyviridae,6,1,1,1,0,2,1,0,0
7,Other Phages,2,2,0,0,0,0,0,0,0
8,Streptococcus phage,2,2,0,0,0,0,0,0,0
9,Streptococcus phage,2,2,0,0,0,0,0,0,0
10,Pandoraviridae ,41,2,7,2,2,9,14,5,0
11,Vibrio phage,2,2,0,0,0,0,0,0,0
12,Other dsDNA Viruses,31,2,2,6,0,5,10,6,0
13,Bicaudaviridae,15,2,0,1,0,0,5,6,1
14,Caliciviridae,2,2,0,0,0,0,0,0,0
15,Streptococcus phage,3,3,0,0,0,0,0,0,0
16,Mimiviridae,45,3,2,5,16,4,7,1,7
17,Reoviridae,4,3,0,0,0,0,1,0,0
18,Tymoviridae,8,3,0,2,0,2,1,0,0
19,Other Phages,4,4,0,0,0,0,0,0,0
20,Pandoraviridae ,418,4,69,93,1,81,137,26,7
21,Iridoviridae,135,4,16,28,1,32,50,4,0
22,Retroviridae,121,4,11,34,1,29,25,11,6
23,Alloherpesviridae,75,5,12,10,0,9,32,5,2
24,Other Phages,8,8,0,0,0,0,0,0,0
25,Other Phages,9,8,0,0,0,1,0,0,0
26,Other Phages,10,9,0,0,0,0,1,0,0
27,Other dsDNA Viruses,35,9,2,6,0,5,6,5,2
28,Other Viruses (unclassified),19,10,0,0,0,2,4,2,1
29,Alphaflexiviridae,47,10,2,8,0,3,3,21,0
30,Caudovirales,15,11,0,1,0,1,2,0,0
31,Baculoviridae,236,11,35,32,1,51,50,50,6
32,Circoviridae,14,12,0,0,2,0,0,0,0
33,Other Phages,13,13,0,0,0,0,0,0,0
34,Other Phages,14,14,0,0,0,0,0,0,0
35,Streptococcus phage,18,18,0,0,0,0,0,0,0
36,Lipothrixviridae,37,18,0,1,8,2,0,8,0
37,Other Phages,19,19,0,0,0,0,0,0,0
38,Caudovirales,20,20,0,0,0,0,0,0,0
39,Adenoviridae,7401,20,6958,34,13,58,33,100,185
40,Polydnaviridae,1331,21,240,253,9,301,432,48,27
41,Other Phages,30,27,0,3,0,0,0,0,0
42,Lactobacillus phage,513,37,0,0,0,0,1,474,1
43,Streptococcus phage,50,50,0,0,0,0,0,0,0
44,Streptococcus phage,57,57,0,0,0,0,0,0,0
45,Herpesviridae,1680,107,412,250,107,269,321,142,72
46,Other Viruses (unclassified),245,122,1,1,1,1,1,117,1
47,Other Phages,150,150,0,0,0,0,0,0,0
48,Phycodnaviridae,3671,161,367,590,181,544,466,1226,136
49,Myoviridae,882,273,29,51,61,49,29,369,21
50,Podoviridae,6377,1267,9,20,4559,14,17,309,182
51,1,6755,4615,69,115,30,96,114,1690,26
52,Siphoviridae,10559,9420,10,57,316,18,12,715,11
53,Papillomaviridae,158677,156173,393,279,304,852,390,86,200
54,Other Viruses (unclassified),1,0,1,0,0,0,0,0,0
55,Other dsDNA Viruses,2,0,1,1,0,0,0,0,0
56,Other Phages,1,0,1,0,0,0,0,0,0
57,Anelloviridae,8,0,1,2,0,4,0,1,0
58,Polyomaviridae,187,0,1,1,185,0,0,0,0
59,Parvoviridae,5,0,2,0,0,1,2,0,0
60,Other dsDNA Viruses,11,0,3,1,0,3,0,4,0
61,Nimaviridae,31,0,3,4,0,1,4,19,0
62,Poxviridae,25,0,3,6,2,5,5,4,0
63,Fuselloviridae,10,0,5,1,0,1,3,0,0
64,Pandoraviridae ,26,0,8,3,0,7,4,4,0
65,Other dsDNA Viruses,1,0,0,1,0,0,0,0,0
66,Ascoviridae,2,0,0,1,0,0,1,0,0
67,Inoviridae,3,0,0,1,0,0,2,0,0
68,Nudiviridae,3,0,0,1,1,0,1,0,0
69,Caudovirales,2,0,0,0,2,0,0,0,0
70,Other Phages,18,0,0,0,17,0,0,1,0
71,Other Phages,1,0,0,0,0,1,0,0,0
72,Other ssRNA positive viruses,2,0,0,0,0,1,0,1,0
73,Caudovirales,1,0,0,0,0,1,0,0,0
74,Endornaviridae,1,0,0,0,0,1,0,0,0
75,Luteoviridae,2,0,0,0,0,1,0,1,0
76,Microviridae,1,0,0,0,0,1,0,0,0
77,Secoviridae,2,0,0,0,0,1,1,0,0
78,Hytrosaviridae,6,0,0,0,0,4,1,1,0
79,Other ssRNA negative viruses,1,0,0,0,0,0,1,0,0
80,Other Phages,1,0,0,0,0,0,1,0,0
81,Flaviviridae,3,0,0,0,0,0,1,2,0
82,Hepeviridae,1,0,0,0,0,0,1,0,0
83,Picornaviridae,337,0,0,0,0,0,1,0,336
84,Caudovirales,1,0,0,0,0,0,0,1,0
85,Other dsDNA Viruses,1,0,0,0,0,0,0,1,0
86,Other Phages,1,0,0,0,0,0,0,1,0
87,Vibrio phage,3,0,0,0,0,0,0,3,0
