"","Var1","freq","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"1","1",20456,295,1285,14,132,165,464,38,324,277,133,1030,65,902,2631,148,79,431,9206,36,106,532,389,231,966,577
"2","Adenoviridae",1559,19,60,16,36,192,61,19,24,62,27,45,63,18,37,86,193,88,85,9,96,40,25,106,16,136
"3","Alloherpesviridae",131,1,16,1,7,5,8,0,4,5,4,3,11,2,1,17,0,8,4,0,13,1,2,14,1,3
"4","Alphaflexiviridae",300,2,17,1,3,51,11,0,1,6,6,0,8,1,0,6,0,27,22,1,16,0,0,13,2,106
"5","Ampullaviridae",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Anelloviridae",517,4,2,1,0,17,3,0,100,3,2,0,3,18,55,1,1,29,13,2,94,91,0,53,24,1
"7","Ascoviridae",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0
"8","Asfarviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9","Astroviridae",18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"10","Baculoviridae",590,12,50,15,18,45,17,6,13,24,26,3,40,3,10,50,12,35,44,4,55,1,9,71,16,11
"11","Bicaudaviridae",35,0,2,0,0,2,1,0,1,1,2,0,1,0,0,5,3,1,1,0,3,0,1,6,1,4
"12","Caudovirales",144,0,2,0,0,7,2,14,75,9,0,0,0,1,1,0,9,4,8,2,1,4,4,1,0,0
"13","Caulimoviridae",6,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Circoviridae",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"15","Closteroviridae",3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Coronaviridae",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Endornaviridae",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Flaviviridae",4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"19","Fuselloviridae",33,1,3,0,0,1,1,0,0,0,0,5,4,2,0,2,0,6,2,0,2,0,0,4,0,0
"20","Hepeviridae",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Herpesviridae",1649126,1367,386,1633432,204,389,272,176,3131,223,3024,259,334,183,3881,402,93,271,78,47,294,77,159,328,67,49
"22","Hytrosaviridae",19,0,3,0,0,3,0,0,1,0,0,0,0,0,0,3,0,2,1,0,4,0,0,2,0,0
"23","Inoviridae",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"24","Iridoviridae",196,2,25,1,9,4,1,0,5,5,2,1,37,4,1,26,1,10,3,0,25,2,4,25,1,2
"25","Lactobacillus phage",1536,56,809,0,11,0,485,0,0,0,2,13,0,0,0,0,0,43,117,0,0,0,0,0,0,0
"26","Lipothrixviridae",102,39,0,0,0,2,0,0,0,1,0,8,0,1,0,0,0,0,1,0,2,0,45,3,0,0
"27","Luteoviridae",8,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"28","Microviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"29","Mimiviridae",586,4,5,1,6,9,4,16,11,4,1,2,3,367,27,12,1,2,6,4,4,75,10,6,5,1
"30","Mycodnaviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"31","Myoviridae",15284,557,273,7,78,141,297,128,74,31,72,4503,71,57,371,131,9,155,6872,284,136,51,70,181,87,648
"32","Nimaviridae",132,1,5,0,0,4,6,0,6,3,2,0,4,0,4,7,0,6,49,0,6,1,0,16,11,1
"33","Nodaviridae",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Nudiviridae",38,0,0,1,0,3,1,0,0,0,0,0,2,0,1,2,8,0,9,0,0,0,0,8,0,3
"35","Other dsDNA Viruses",392,29,18,22,16,30,21,5,4,21,3,2,21,6,19,37,2,13,12,2,40,2,28,32,4,3
"36","Other Phages",447,34,0,0,0,1,0,4,8,73,45,7,2,35,8,2,3,4,128,3,1,4,70,0,15,0
"37","Other ssDNA viruses",9,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
