"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","Potyviridae",1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"2","Poxviridae",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"3","1",2,2,1,4,4,2,3,0,0,7,0,1,50,0,4,1,1,0,3,5,5
"4","Mimiviridae",2,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0
"5","Paramyxoviridae",2,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1
"6","Baculoviridae",3,1,1,0,0,1,1,0,1,3,0,1,24,0,0,1,1,0,0,1,1
"7","Herpesviridae",3,2,6,5,8,8,0,1,5,7,6,8,42,3,0,0,5,0,1,2,18
"8","Picornaviridae",7,22,126,9,7,7,6,3,9,17,9,11,0,6,1,0,12,8,6571,6,3
"9","Reoviridae",7,7,1,9,0,39,1,7,6,4,0,3,0,3,0,0,1,0,0,3,1
"10","755273",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","1349410",0,2,7,5,3,2,2,0,0,4,0,1,51,1,1,0,1,0,1,1,16
"12","Myoviridae",0,2,0,0,0,1,0,0,0,5,0,0,11,1,0,0,0,0,0,0,5
"13","Phycodnaviridae",0,2,2,1,4,8,0,0,6,1,3,1,71,1,91,0,0,0,1,0,3
"14","186617",0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
"15","Polydnaviridae",0,8,243,1,6,10,2,2,3,15,5,5,145,1,1,0,2,0,10,4,112
"16","Retroviridae",0,0,2,1,20,0,0,0,5,4,15,0,13,1,0,0,4,4,1,1,0
"17","Adenoviridae",0,0,3,0,0,0,0,0,8,1,0,0,1,0,3,0,0,0,5,0,15
"18","Siphoviridae",0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,3,0,0
"19","340016",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Podoviridae",0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,1,0,0
"21","1605721",0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"22","Papillomaviridae",0,0,0,9,1,0,0,0,0,1,0,0,1,0,77,0,0,3,6,0,0
"23","12333",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","1425359",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Alloherpesviridae",0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,14
"26","Virgaviridae",0,0,0,0,0,87,0,0,0,0,0,2,0,0,0,3,2,0,0,0,1
"27","35237",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"28","Iridoviridae",0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,7
"29","1349409",0,0,0,0,0,0,0,0,1,0,1,0,17,0,2,0,5,0,0,2,1
"30","Flaviviridae",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"31","10239",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"32","997821",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33","51368",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"34","754068",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"35","Ascoviridae",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"36","Nimaviridae",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
"37","Hytrosaviridae",0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
"38","Lipothrixviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
"39","Tombusviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"40","1450746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"41","Nudiviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"42","156614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"43","Circoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
