"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","1",1,12,5,0,224,0,2,1
"2","186617",1,0,0,0,1,0,0,1
"3","Adenoviridae",1,0,1,0,1,0,705,0
"4","Flaviviridae",1,0,0,0,0,0,0,0
"5","Luteoviridae",1,0,0,0,0,0,0,0
"6","Nimaviridae",1,0,1,0,1,0,0,0
"7","Phycodnaviridae",1,15,3,0,577,3,1,0
"8","Potyviridae",1,0,0,0,0,1,1,0
"9","Myoviridae",2,29,0,0,69,1,0,0
"10","Baculoviridae",3,7,0,0,416,0,1,0
"11","Herpesviridae",3,20,9,2,417,2,3,2
"12","Reoviridae",4,0,0,1,0,2,0,3
"13","Polydnaviridae",11,18,4,0,88,1,3,4
"14","Picornaviridae",104,20,0,2,0,9,45,5
"15","1349409",0,1,0,0,61,1,0,0
"16","Iridoviridae",0,1,0,0,10,0,0,0
"17","Papillomaviridae",0,1,0,0,3,1,0,0
"18","Siphoviridae",0,1,0,0,4,0,1,0
"19","Alloherpesviridae",0,5,0,0,12,0,0,0
"20","Retroviridae",0,5,1,1,32,2,3,1
"21","1349410",0,8,2,0,64,2,0,0
"22","Closteroviridae",0,0,1,0,0,0,0,0
"23","51368",0,0,0,1,0,0,0,0
"24","10239",0,0,0,0,1,0,0,0
"25","218667",0,0,0,0,1,0,0,0
"26","28883",0,0,0,0,1,0,0,0
"27","755273",0,0,0,0,1,0,0,0
"28","Ascoviridae",0,0,0,0,1,0,0,0
"29","Hytrosaviridae",0,0,0,0,1,0,0,0
"30","Nudiviridae",0,0,0,0,1,0,0,0
"31","Anelloviridae",0,0,0,0,2,0,0,0
"32","Mimiviridae",0,0,0,0,4,2,0,0
"33","35237",0,0,0,0,6,0,0,1
"34","1605721",0,0,0,0,11,0,0,0
"35","754068",0,0,0,0,13,0,0,0
"36","1450746",0,0,0,0,81,0,0,0
"37","Podoviridae",0,0,0,0,0,2,0,0
"38","340016",0,0,0,0,0,0,4,0
"39","Poxviridae",0,0,0,0,0,0,0,1
