,Var1,freq,Vogue1B.01.01,Vogue1B.01.03,Vogue1B.01.04,Vogue1B.01.05,Vogue1B.01.06,Vogue1B.01.08,Vogue1B.01.09,Vogue1B.01.11,Vogue1B.01.12,Vogue1B.01.13,Vogue1B.01.15,Vogue1B.01.17,Vogue1B.01.21,Vogue1B.01.26,Vogue1B.01.27,Vogue1B.01.32,Vogue1B.01.34,Vogue1B.01.36,Vogue1B.01.37,Vogue1B.01.38,Vogue1B.01.40,Vogue1B.01.43,Vogue1B.01.48,Vogue1B.01.51,Vogue1B.01.52
1,Pandoraviridae ,8,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2,Myoviridae,10,1,0,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0
3,Poxviridae,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
4,Siphoviridae,24,1,1,0,2,0,0,0,0,0,0,10,4,0,0,0,1,0,3,0,0,0,1,0,1,0
5,Other Viruses (unclassified),54,2,0,0,2,0,0,1,0,0,0,1,5,39,0,0,0,2,1,0,0,0,0,0,1,0
6,Baculoviridae,28,2,2,0,3,3,0,0,1,1,0,0,2,0,1,1,0,3,4,1,0,0,0,2,1,1
7,Phycodnaviridae,55,2,10,2,5,3,0,2,2,1,1,1,3,1,2,2,0,0,4,0,1,0,4,3,6,0
8,Herpesviridae,24359,10,7,24240,3,4,3,3,5,5,2,33,9,3,0,6,3,6,3,2,0,0,2,3,6,1
9,Picornaviridae,1483,12,16,1269,11,15,8,10,6,15,14,0,12,7,8,13,8,7,8,5,4,4,12,5,9,5
10,Ampullaviridae,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Reoviridae,153,0,1,0,5,19,4,1,2,1,0,0,4,1,2,2,0,1,2,3,17,0,2,84,0,2
12,Pandoraviridae ,32,0,3,0,0,0,0,3,2,1,1,4,1,2,1,1,5,0,1,1,0,1,2,3,0,0
13,1,246,0,5,3,0,2,0,3,2,0,0,1,5,1,1,2,213,0,1,0,3,0,2,1,1,0
14,Polydnaviridae,93,0,7,5,5,4,4,3,2,5,3,8,4,1,0,6,10,0,1,1,6,1,14,1,1,1
15,Lipothrixviridae,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Adenoviridae,18,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
