"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1",10258,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",10366,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"4",10454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5",10455,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0
"6",10566,1,0,2,0,0,0,6,0,0,0,7,1,0,2,1,0,0,0,5,0,0,1,121,0,0,0,2,0,32,16,0,1,1,169,0,2,2,40,36,0,17,2,564,1,0,0,9,0,0,0,0,0,0,0
"7",10593,1,0,0,3,0,2,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,17,1,4,2,5,1,1,2,38,0,1,0,0,1,0,0,19855,3,1,1,0,1,3,0
"8",10699,1,0,3,2,2,0,0,2,1,1,2,75,1079,0,7,31,25,6,15,0,1,0,0,0,13,0,0,0,138,0,10,2,1,1,15,15,0,2,654,12,1,64,0,0,0,0,1026,0,1,89,0,0,4,1
"9",10744,1,0,1,1,0,0,1,1,0,1,1,1,90,1,0,9,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,8,2,0,3,0,0,3,0,0,0,1,0,0,0,0
"10",1128140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,289,6,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,0,0,0,0
"11",1165908,1,0,1,2,2,2,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,1,6,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"12",120381,1,0,1,1,1,2,0,4,1,2,2,1,1,12,1,1,0,0,0,1,1,0,7,0,1,2,0,0,0,0,1,2,1,5,74,6,1,27982,1,7,1,4,37,6,0,0,0,7,0,1,0,6,0,1
"13",1273087,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"14",1279083,1,0,14,9,4,0,3,19,0,3,0,110,283,0,10,570,6,4,10,0,16,5,1,0,0,13,8,3,24,9,3,2,1,0,6,1,125,0,17,147,3,0,49,2,1,119,16,2,1,133,1,1,2,0
"15",130308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
