"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1",10258,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2",10310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",10366,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
"4",10454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",10455,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,0,1,1,0
"6",10566,1,0,2,0,0,0,6,0,0,0,7,1,0,2,1,0,0,0,5,0,0
"7",10593,1,0,0,3,0,2,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2
"8",10699,1,0,3,2,2,0,0,2,1,1,2,75,1079,0,7,31,25,6,15,0,1
"9",10744,1,0,1,1,0,0,1,1,0,1,1,1,90,1,0,9,0,0,2,0,0
"10",1128140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1165908,1,0,1,2,2,2,0,1,0,0,1,0,0,0,0,3,3,0,0,0,0
"12",120381,1,0,1,1,1,2,0,4,1,2,2,1,1,12,1,1,0,0,0,1,1
"13",1273087,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"14",1279083,1,0,14,9,4,0,3,19,0,3,0,110,283,0,10,570,6,4,10,0,16
"15",130308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1349409,1,0,3,0,1,1,1,1,1,0,1,0,1,1,0,3,2,0,0,0,0
"17",136966,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"18",1450746,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
"19",1518022,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"20",1636270,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1636271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",31552,1,0,7,6,5,3,6,9,3,2,5,3,4,4,5,6,5,2,10,1,3
"23",329157,1,1,3,3,1,1,1,3,0,0,1,2,85,0,7,2,1,0,3,1,4
"24",333767,1,1,3,2,0,2,1,4,2,3,2,0,4,11,295,4,3,5,4,6,2
