"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Acanthamoeba polyphaga mimivirus",1,0,0,0,0,0,0,0
"2","Acanthocystis turfacea Chlorella virus 1",1,1,1,1,0,6,3,1
"3","Alphapapillomavirus 3",1,9,4,5,4,0,0,2
"4","Burkholderia phage phiE255",1,0,0,0,0,0,0,0
"5","Cercopithecine herpesvirus 5",1,0,0,0,0,2,0,0
"6","Choristoneura rosaceana alphabaculovirus",1,0,0,0,0,0,2,0
"7","Citrus vein enation virus",1,0,0,0,0,0,0,0
"8","Cyprinid herpesvirus 2",1,0,0,0,1,0,0,0
"9","Enterococcus phage IME-EFm1",1,0,0,0,0,0,0,0
"10","Escherichia phage phAPEC8",1,0,0,0,0,0,0,0
"11","Glypta fumiferanae ichnovirus",1,21,35,0,35,47,2,5
"12","Haemophilus phage Aaphi23",1,0,0,0,0,0,0,0
"13","Human herpesvirus 6 (strain Uganda-1102)",1,13,26,0,9,29,11,1
"14","Human papillomavirus type 121",1,0,0,0,0,0,0,0
"15","Human papillomavirus type 28",1,0,0,0,0,0,0,0
"16","Human papillomavirus type 48",1,0,0,0,0,0,0,0
"17","Human papillomavirus type 61",1,1,0,2,9,1,1,1
"18","Human papillomavirus type 72",1,0,11,6,57,9,1,4
"19","Human papillomavirus type 83",1,0,0,3,6,2,0,2
"20","Human papillomavirus type 86",1,0,0,0,0,0,0,0
"21","Lactobacillus phage LfeSau",1,0,0,0,0,0,113,0
"22","Lactococcus phage BM13",1,0,0,0,0,0,0,0
"23","Mycobacterium phage QuinnKiro",1,0,0,0,0,0,0,0
"24","Pandoravirus inopinatum",1,1,1,1,1,4,0,2
"25","Pandoravirus salinus",1,12,15,1,13,24,3,2
"26","Paramecium bursaria Chlorella virus Can18-4",1,0,0,0,0,0,0,0
"27","Pseudomonas phage Pf-10",1,0,0,0,0,0,0,0
"28","Pseudomonas phage PhiPA3",1,0,0,22,0,0,0,0
"29","Rhinolophus ferrumequinum papillomavirus type 1",1,0,0,0,0,0,0,0
"30","Rice ragged stunt virus",1,0,0,0,0,0,0,0
"31","Saimiriine herpesvirus 4",1,0,0,0,0,0,0,0
"32","Spodoptera frugiperda granulovirus",1,0,0,0,0,0,0,0
"33","Staphylococcus phage 187",1,0,0,0,0,0,0,0
"34","Staphylococcus phage IME-SA2",1,2,8,1,4,5,1,0
"35","Staphylococcus phage StB27",1,0,0,0,0,0,0,0
"36","Streptococcus phage 2167",1,0,0,0,0,0,0,0
"37","Streptococcus phage MM1",1,0,0,0,0,0,0,0
"38","Streptococcus phage PH10",1,0,0,0,0,0,0,0
"39","Streptococcus phage Sfi11",1,0,0,0,0,0,0,0
"40","Streptococcus phage Sfi19",1,0,0,0,0,0,0,0
"41","Streptococcus phage Sfi21",1,0,0,0,0,0,0,0
"42","Tursiops truncatus papillomavirus 1",1,0,0,0,0,0,0,0
"43","uncultured marine virus",1,0,0,0,0,0,0,0
"44","uncultured phage",1,0,0,0,0,0,0,0
"45","Verticillium dahliae chrysovirus 1",1,0,0,0,0,0,0,0
"46","Vulpes vulpes papillomavirus 1",1,0,0,0,0,0,0,0
"47","Aureococcus anophagefferens virus",2,0,0,0,0,0,0,0
"48","Brochothrix phage BL3",2,0,0,0,1,0,0,0
"49","Colwellia phage 9A",2,0,0,0,0,0,0,0
"50","Croceibacter phage P2559Y",2,0,0,0,0,0,0,0
"51","Enterobacteria phage phiEcoM-GJ1",2,0,0,0,0,0,0,0
"52","Eptesicus serotinus papillomavirus type 3",2,0,0,0,0,0,0,0
"53","Human papillomavirus type 129",2,0,0,0,0,0,0,0
"54","Human papillomavirus type 143",2,0,0,0,0,0,0,0
"55","Human papillomavirus type 70",2,0,0,1,1,3,0,1
"56","Human papillomavirus type 93",2,0,0,0,0,0,0,0
"57","Moumouvirus",2,0,0,0,0,0,1,0
"58","Mycobacterium phage 32HC",2,0,0,0,0,0,0,0
"59","Orgyia leucostigma NPV",2,1,0,0,1,0,0,0
"60","Paramecium bursaria Chlorella virus A1",2,0,1,0,0,0,0,0
"61","Phaeocystis globosa virus",2,0,3,0,4,2,3,1
"62","Porcine circovirus 2",2,0,0,0,0,0,0,0
"63","Rhodococcus phage ReqiPoco6",2,0,0,0,0,0,0,0
"64","Salmonella phage SPN3US",2,0,0,0,0,0,0,0
"65","Staphylococcus phage 37",2,0,0,0,0,0,0,0
"66","Streptococcus phage YMC-2011",2,0,0,0,0,0,0,0
"67","T4likevirus",2,0,0,0,0,0,0,0
"68","Chlorovirus",3,0,0,0,0,0,0,0
"69","Corynebacterium phage BFK20",3,0,0,0,0,0,0,0
"70","Erwinia phage Ea35-70",3,0,0,0,0,0,0,0
"71","Gordonia phage Gsput1",3,0,0,0,0,0,0,0
"72","Human papillomavirus type 137",3,0,0,0,0,0,0,0
"73","Lymantria dispar multiple nucleopolyhedrovirus",3,0,0,0,0,0,1,0
"74","Macaca fascicularis papillomavirus type 7",3,0,0,0,0,0,0,0
"75","Macacine herpesvirus 3",3,0,0,0,0,0,0,0
"76","Pasteurella phage F108",3,0,0,0,0,0,0,0
"77","Staphylococcus phage StB20",3,0,0,0,0,0,0,0
"78","Streptococcus phage 7201",3,0,0,0,0,0,0,0
"79","Streptococcus phage TP-778L",3,0,0,0,0,0,0,0
"80","Streptomyces phage SV1",3,0,0,0,0,0,0,0
"81","unclassified phages",3,0,0,0,0,0,0,0
"82","Enterococcus phage EFDG1",4,0,0,0,0,0,0,0
"83","Human papillomavirus type 71",4,4,3,1,2,2,5,4
"84","Lymphocryptovirus",4,25,5,6,14,8,1,9
"85","Phage 21",4,0,0,0,0,0,0,0
"86","Ralstonia phage RSL1",4,0,0,0,0,0,0,0
"87","Streptococcus phage phi3396",4,0,0,0,0,0,0,0
"88","Streptococcus phage V22",4,0,0,0,0,0,0,0
"89","Alphapapillomavirus",5,0,0,0,0,0,0,0
"90","Environmental Halophage eHP-40",5,0,0,0,0,0,0,0
"91","Lactobacillus phage KC5a",5,0,2,15,0,1,331,0
"92","Lactobacillus phage Lrm1",5,0,3,0,0,0,1,0
"93","Mastadenovirus",5,315,3,2,5,0,0,9
"94","Mycobacterium phage Gaia",5,0,0,0,0,0,0,0
"95","Mycobacterium phage Thibault",5,0,0,0,0,0,0,0
"96","Streptococcus phage Str-PAP-1",5,0,0,0,1,0,0,0
"97","unidentified phage",5,0,0,0,0,0,0,0
"98","Deep-sea thermophilic phage D6E",6,0,1,0,0,0,0,0
"99","Hepatitis C virus",6,0,0,0,0,0,0,0
"100","Rhodococcus phage REQ2",6,0,0,0,0,0,0,0
"101","Dromedary stool-associated circular ssDNA virus",7,0,0,0,0,0,0,0
"102","Human papillomavirus type 31",7,4,3,4,8,15,1,9
"103","Staphylococcus phage 77",7,0,0,0,0,0,0,0
"104","Streptococcus phage phi20c",7,0,0,0,0,0,0,0
"105"," no RNA stage",8,0,0,0,1,1,0,0
"106","dsDNA viruses",8,0,0,0,1,1,0,0
"107","Fusobacterium phage Funu2",8,0,0,0,0,0,0,0
"108","Human mastadenovirus D",8,3174,6,2,9,8,7,84
"109","Human papillomavirus type 13",8,1,1,0,0,0,0,0
"110","Human papillomavirus type 72b",8,11,7,13,113,16,5,11
"111","Pseudomonas phage phiIBB-PF7A",8,0,0,89,0,0,0,0
"112","unclassified Coccolithovirus",8,24,55,149,56,18,115,16
"113","Human papillomavirus",9,0,0,0,0,0,0,0
"114","Human papillomavirus type 62",9,61,8,30,22,20,3,11
"115","Sfi1unalikevirus",9,0,0,0,0,0,0,0
"116","Burkholderia phage Bcep22",10,0,0,0,0,0,0,0
"117","Picovirinae",10,0,0,0,1,0,0,0
"118","Streptococcus phage Abc2",10,0,0,0,0,0,0,0
"119","Coccolithovirus",11,18,36,0,23,15,76,9
"120","Human papillomavirus 116",11,0,0,0,0,0,0,0
"121","Human papillomavirus type 124",11,0,0,0,0,0,0,0
"122","Staphylococcus phage IME-SA4",11,0,0,0,0,0,0,0
"123","Cronobacter phage CR5",12,0,0,0,0,0,0,0
"124","Staphylococcus phage Ipla5",12,0,0,0,0,0,0,0
"125","Thermoproteus tenax virus 1",12,0,0,1,0,0,1,0
"126","Human papillomavirus type 34",15,0,0,0,0,0,0,0
"127","Alphapapillomavirus 10",16,4,3,3,17,6,0,1
"128","Brochothrix phage A9",16,0,0,0,0,0,0,0
"129","Human papillomavirus type 152",16,0,0,0,0,0,0,0
"130","Human papillomavirus type 42",16,0,0,0,1,0,0,0
"131","Rhodococcus phage REQ3",16,0,0,0,0,0,1,0
"132","Betapapillomavirus 1",17,0,0,0,0,0,0,0
"133","Caudovirales",17,0,0,0,0,0,1,0
"134","Cellulophaga phage phi39:1",17,0,0,0,0,0,0,0
"135","Podoviridae",17,0,1,191,1,0,0,0
"136","Streptococcus phage phiS10",18,0,0,0,0,0,0,0
"137","Alphapapillomavirus 7",19,0,0,0,0,0,0,0
"138","Vibrio phage VP882",19,0,0,0,0,0,0,0
"139","Staphylococcus phage StB12",21,0,0,0,0,0,0,0
"140","Aggregatibacter phage Aabphi01",22,0,0,0,0,0,0,0
"141","Lactobacillus prophage Lj771",23,0,0,0,0,0,407,3
"142","Actinomyces phage Av-1",25,0,0,0,0,0,0,0
"143","Streptococcus phage SM1",25,0,0,0,0,0,0,0
"144","unclassified T7-like viruses",26,0,1,201,0,2,15,0
"145","Streptococcus phage 34117",27,0,0,0,0,0,0,0
"146","Sfi21dtunalikevirus",28,0,0,0,0,0,0,0
"147","Human herpesvirus 4",30,131,27,27,36,44,6,18
"148","Phage Gifsy-1",31,0,0,0,0,0,0,0
"149","Human papillomavirus type 89",32,47,37,22,124,41,3,20
"150","Streptococcus phage SMP",35,0,0,0,0,0,0,0
"151","Human papillomavirus type 6",36,4,4,6,44,1,1,2
"152","Phijlunalikevirus",38,0,0,0,0,0,23,0
"153","Streptococcus phage SpSL1",40,0,0,0,0,0,0,0
"154","Viruses",44,0,1,0,0,1,153,2
"155","unclassified Twortlikevirus",48,0,0,0,0,0,0,0
"156","Pseudomonas phage phi15",51,1,2,837,0,0,71,1
"157","Lactobacillus phage phijl1",52,0,0,0,0,0,0,0
"158","Streptococcus phage 5093",52,0,0,2,4,0,0,0
"159","Streptococcus phage EJ-1",71,0,0,0,0,0,0,0
"160","Streptococcus phage 700P1",77,0,0,0,0,0,0,0
"161","Streptococcus phage M102",85,0,0,0,0,0,0,0
"162","Streptococcus phage DT1",97,0,0,0,0,0,40,0
"163","unclassified Siphoviridae",157,3,38,0,1,1,51,1
"164","Alphapapillomavirus 9",182,0,0,0,0,0,0,0
"165","Lactobacillus phage Lb338-1",185,0,0,0,0,0,0,0
"166","Human papillomavirus type 73",192,0,0,0,0,0,0,0
"167","Pseudomonas phage PPpW-4",225,5,3,3423,1,3,71,2
"168","Human papillomavirus type 16",256,0,0,0,0,0,0,0
"169","Phage SK137",262,0,0,0,0,0,0,0
"170","Human papillomavirus type 66",267,0,0,0,0,0,0,0
"171","Streptomyces phage phiCAM",368,0,0,0,0,0,0,0
"172","Streptococcus phage 20617",400,0,0,0,0,0,0,0
"173","Bacillus phage BCJA1c",482,1,0,0,0,0,0,0
"174","Streptococcus phage phi30c",736,0,0,0,0,0,0,0
"175","Human papillomavirus type 30",825,0,0,0,0,0,0,0
"176","Streptococcus phage PH15",988,0,0,0,0,0,0,0
"177","Siphoviridae",1026,0,1,89,0,0,4,1
"178","Human papillomavirus type 74",1723,2,3,6,8,7,0,3
"179","Streptococcus phage phiNJ2",2932,1,0,0,0,0,0,0
"180","root",5324,1,40,110,6,2,1801,12
"181","Alphapapillomavirus 6",6386,2,8,1,3,2,0,4
"182","Human papillomavirus type 53",9778,2,0,3,0,2,1,0
"183","Human papillomavirus type 52",13823,11,3,2,6,8,1,5
"184","Papillomaviridae",16994,33,19,24,56,40,14,16
"185","Human papillomavirus type 45",19855,3,1,1,0,1,3,0
"186","Human papillomavirus type 56",28590,8,10,16,10,10,3,7
"187","Avian sarcoma virus 31",0,1,2,0,1,1,1,3
"188","Canarypox virus",0,1,0,0,0,0,0,0
"189","Emiliania huxleyi virus 145",0,1,3,0,3,2,8,0
"190","Emiliania huxleyi virus 18",0,1,0,0,0,0,0,0
"191","Equine adenovirus 1",0,1,0,1,0,0,0,0
"192","Hemileuca sp. nucleopolyhedrovirus",0,1,0,0,0,0,0,0
"193","Human adenovirus 15",0,1,0,0,0,0,0,0
"194","Human papillomavirus type 51",0,1,0,0,0,0,0,0
"195","Indian citrus ringspot virus",0,1,2,0,1,1,2,0
"196","Klebsiella phage NTUH-K2044-K1-1",0,1,0,0,2,0,17,1
"197","Murid herpesvirus 1",0,1,0,0,0,1,0,0
"198","Pygmy chimpanzee papillomavirus type 1",0,1,0,0,0,0,0,0
"199","Saimiri sciureus papillomavirus 2",0,1,0,0,0,0,0,0
"200","Simian mastadenovirus A",0,1,0,0,0,0,0,0
"201","Andrias davidianus ranavirus",0,2,2,0,1,8,0,0
"202","Cyprinid herpesvirus 3",0,2,1,0,1,2,0,0
"203","Epstein-barr virus strain ag876",0,2,1,0,0,1,2,0
"204","Elephantid herpesvirus 1",0,3,4,0,4,8,1,0
"205","Emiliania huxleyi virus 156",0,3,2,0,1,3,39,0
"206","Human adenovirus D9",0,3,0,0,0,0,0,0
"207","Human adenovirus 27",0,4,0,0,0,0,0,0
"208","Human adenovirus 8E",0,7,0,0,0,0,1,0
"209","Human papillomavirus type 87",0,7,0,1,0,6,0,1
"210","Human adenovirus 43",0,8,0,0,0,0,0,1
"211","Human mastadenovirus B",0,9,0,0,0,1,0,0
"212","Human adenovirus D8",0,16,0,0,1,0,0,0
"213","Adenoviridae",0,46,0,0,0,0,0,0
"214","Human adenovirus 19",0,234,0,0,0,1,0,5
"215","Human adenovirus 22",0,315,1,2,2,0,0,14
"216","Alphapapillomavirus 14",0,0,1,0,1,1,0,0
"217","Bacillus phage G",0,0,1,8,0,0,0,0
"218","Brevibacillus phage Emery",0,0,1,0,0,0,0,0
"219","Carollia perspicillata polyomavirus 1",0,0,1,0,0,0,0,0
"220","Corynebacterium phage P1201",0,0,1,0,1,0,0,0
"221","Environmental Halophage eHP-10",0,0,1,0,0,0,0,0
"222","Human herpesvirus 6B",0,0,1,0,0,0,0,0
"223","Human papillomavirus type 55",0,0,1,0,0,0,0,0
"224","Human papillomavirus type 90",0,0,1,1,7,0,0,0
"225","Lactobacillus phage phiJB",0,0,1,156,0,0,30,3
"226","Lambdina fiscellaria nucleopolyhedrovirus",0,0,1,0,0,0,0,0
"227","Leucania separata nucleopolyhedrovirus",0,0,1,0,0,0,0,0
