"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.76","Vogue1A.01.75","Vogue1A.01.77","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.101","Vogue1A.01.106","Vogue1A.01.78","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Alcelaphine herpesvirus 2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"2","Coccolithovirus",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,2,1,0,0
"3","Feline sarcoma virus (STRAIN GARDNER-RASHEED)",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,75,0,0,7,3,0,0,0,0,0
"4","Glypta fumiferanae ichnovirus",1,3,0,0,1,2,1,1,1,3,0,172,1,0,0,7,2,0,1,27,2,0,0,7,0,0,0,0,0,3,1,19,0,0,0,1,12,0,0,1,0,0,1,0,0,2,3,34,11,1,6,0,1,1
"5","Propionibacterium phage P105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","root",1,0,2,0,0,0,0,0,0,10,0,44,0,1,1,3,108,0,4,0,0,0,3,0,0,0,0,3,0,1,0,0,2,0,0,0,177,0,0,1,0,1,0,0,1,0,1,0,0,7,230,0,0,0
"7","Coxsackievirus A9",2,2,18,0,1,1,0,2,0,1,1,0,0,1,0,1124,0,0,0,0,0,0,1,115,1,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,0,0,14,10,1,0,1,0,0,4,2
"8","Shewanella sp. phage 1/44",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9","Enterovirus",4,7,37,5,10,5,2,1,1,2,2,1,7,2,1,2864,1,6,1,1,0,2,7,385,7,5,1,3,3,7,6,0,10,6,2,4,4,9,5,1,3,8,7,0,1,30,33,9,0,3,0,4,11,3
"10","Baku virus",36,1,0,9,1,7,0,2,2,1,0,0,0,0,1,139,0,0,0,0,11,1,0,19,1,3,1,0,0,0,0,0,0,3,0,2,1,1,0,0,4,0,0,1,0,0,0,19,23,0,0,1,1,0
