"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","Alcelaphine herpesvirus 2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Coccolithovirus",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3","Feline sarcoma virus (STRAIN GARDNER-RASHEED)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","root",1,0,2,0,0,0,0,0,0,10,0,0,44,1,0,108,0,1,3,4,0
"5","Coxsackievirus A9",2,2,18,0,1,1,0,2,0,1,1,0,0,1,0,0,0,0,408,0,0
"6","Baku virus",3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"7","Enterovirus",3,6,33,3,7,4,2,1,1,2,2,5,1,1,0,0,5,1,1586,0,1
"8","Enterovirus B",0,2,19,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,675,1,0
"9","Emiliania huxleyi virus 156",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10","Human mastadenovirus D",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Podoviridae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","uncultured virus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Echovirus E25",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"14","Human herpesvirus 6 (strain Uganda-1102)",0,0,2,0,1,0,0,0,0,0,0,1,36,0,0,1,0,0,1,0,1
"15","Lactobacillus phage phiadh",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"16","Pseudomonas phage PPpW-4",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Pandoravirus salinus",0,0,4,0,0,0,0,1,0,1,0,0,36,0,0,1,0,0,0,0,4
"18","Podovirus GOM",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Papillomaviridae",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"20","Coxsackievirus B1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"21","Ectocarpus siliculosus virus 1 (isolate Kaikoura)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Elephantid herpesvirus 1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Emiliania huxleyi virus PS401",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Spodoptera frugiperda ascovirus 1a",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Gammaretrovirus",0,0,0,0,16,0,0,1,0,0,12,0,13,0,0,0,0,4,0,1,0
"26","Glypta fumiferanae ichnovirus",0,0,0,0,0,1,1,1,1,2,0,0,167,0,0,0,0,0,6,1,26
"27","Human herpesvirus 4",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
"28","Tobacco mild green mosaic virus",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Tomato mottle mosaic virus",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Bell pepper mottle virus",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Tobamovirus",0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,58,0,0,0,0,0
"32","Tomato mosaic virus",0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Ovine herpesvirus 2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Canid herpesvirus 1",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Macacine herpesvirus 3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Pigeon adenovirus 1",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"37","Enterococcus phage EFLK1",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"38","Lymantria dispar multiple nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"39","Avian sarcoma virus 31",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"40","Cyprinid herpesvirus 3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"41","Human endogenous retrovirus K",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"42","Spodoptera litura granulovirus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"43","Xestia c-nigrum granulovirus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"44","Bacillus phage G",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"45","Pandoravirus dulcis",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0
"46","unclassified Coccolithovirus",0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
"47","Streptococcus phage 5093",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
"48","Musca domestica salivary gland hypertrophy virus",0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0
"49","Pseudomonas phage Lu11",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"50","Enterovirus B86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,0,0
"51","Human mastadenovirus C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,13
"52","L5likevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"53","Human papillomavirus type 89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
"54","Caudovirales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"55","Tobacco mosaic virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"56","Thin paspalum asymptomatic virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"57","uncultured marine virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"58","Echovirus E6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0
"59","Pepper mild mottle virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"60","Human papillomavirus type 71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0
"61","Andrias davidianus ranavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"62","Echovirus E19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"63","Echovirus E30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"64","Enterovirus B81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"65","Enterovirus B83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"66","Erwinia phage ENT90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"67","Mycobacterium phage Sparky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"68","Phage 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"69","Viruses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"70","Echovirus E2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"71","Hyposoter fugitivus ichnovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"72","Cafeteria roenbergensis virus BV-PW1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"73","Cotesia congregata bracovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"74","Orthopoxvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"75","Thermoproteus tenax virus 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
