"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Bacillus phage SP-10",1,1,0,0,0,0,0,0
"2","Elephantid herpesvirus 1",1,0,0,0,3,0,0,0
"3","Human mastadenovirus D",1,0,0,0,0,0,567,0
"4","Luffa aphid-borne yellows virus",1,0,0,0,0,0,0,0
"5","Paramecium bursaria Chlorella virus FR483",1,0,0,0,0,0,0,0
"6","Pestivirus",1,0,0,0,0,0,0,0
"7","root",1,12,5,0,224,0,2,1
"8","Squash chlorosis mottling virus",1,0,0,0,0,1,1,0
"9","Staphylococcus phage IME-SA2",1,28,0,0,0,1,0,0
"10","uncultured marine virus",1,0,0,0,1,0,0,1
"11","White spot syndrome virus",1,0,1,0,1,0,0,0
"12","Human herpesvirus 4",2,0,0,1,0,1,2,0
"13","Xestia c-nigrum granulovirus",3,1,0,0,0,0,0,0
"14","Baku virus",4,0,0,1,0,2,0,3
"15","Glypta fumiferanae ichnovirus",11,16,4,0,83,1,3,4
"16","Coxsackievirus A9",15,1,0,0,0,1,6,0
"17","Enterovirus B",20,3,0,0,0,0,15,1
"18","Enterovirus",69,15,0,2,0,8,23,4
"19","Alphabaculovirus",0,1,0,0,403,0,0,0
"20","Andrias davidianus ranavirus",0,1,0,0,9,0,0,0
"21","Bathycoccus sp. RCC1105 virus BpV1",0,1,0,0,0,0,0,0
"22","Coxsackievirus B3",0,1,0,0,0,0,0,0
"23","Ectropis obliqua nucleopolyhedrovirus",0,1,0,0,0,0,0,0
"24","Emiliania huxleyi virus 145",0,1,1,0,0,0,0,0
"25","Emiliania huxleyi virus 156",0,1,0,0,0,0,0,0
"26","Euproctis pseudoconspersa nucleopolyhedrovirus",0,1,0,0,0,0,0,0
"27","Lymantria xylina MNPV",0,1,0,0,0,0,0,0
"28","Mycobacterium phage Barnyard",0,1,0,0,0,0,0,0
"29","Pandoravirus dulcis",0,1,0,0,61,1,0,0
"30","Plutella xylostella granulovirus",0,1,0,0,1,0,0,0
"31","Spodoptera litura granulovirus",0,1,0,0,0,0,0,0
"32","Tursiops truncatus papillomavirus 5",0,1,0,0,0,0,0,0
"33","Coccolithovirus",0,2,1,0,20,2,0,0
"34","Hyposoter fugitivus ichnovirus",0,2,0,0,5,0,0,0
"35","Avian sarcoma virus 31",0,5,0,0,1,0,0,0
"36","Cyprinid herpesvirus 3",0,5,0,0,12,0,0,0
"37","Pandoravirus salinus",0,8,2,0,64,2,0,0
"38","Human herpesvirus 6 (strain Uganda-1102)",0,9,9,1,325,1,0,2
"39","unclassified Coccolithovirus",0,10,1,0,5,1,0,0
"40","Suid herpesvirus 1",0,11,0,0,0,0,0,0
"41","Blueberry virus A",0,0,1,0,0,0,0,0
"42","Human T-lymphotropic virus 1",0,0,1,0,0,0,0,0
"43","Simian adenovirus B",0,0,1,0,0,0,0,0
"44","unclassified dsDNA viruses",0,0,0,1,0,0,0,0
"45","Y73 sarcoma virus",0,0,0,1,0,0,0,0
"46","Bat adenovirus 2",0,0,0,0,1,0,0,0
"47","Caudovirales",0,0,0,0,1,0,0,0
"48","Chlorovirus",0,0,0,0,1,0,0,0
"49","Choristoneura rosaceana alphabaculovirus",0,0,0,0,1,0,0,0
"50","Human herpesvirus 1",0,0,0,0,1,0,0,0
"51","Human herpesvirus 5",0,0,0,0,1,0,0,0
"52","Human herpesvirus 8",0,0,0,0,1,0,0,0
"53","Human papillomavirus type 107",0,0,0,0,1,0,0,0
"54","Hyphantria cunea nucleopolyhedrovirus",0,0,0,0,1,0,0,0
"55","Invertebrate iridescent virus 6",0,0,0,0,1,0,0,0
"56","Kallithea virus",0,0,0,0,1,0,0,0
"57","Macacine herpesvirus 3",0,0,0,0,1,0,0,0
"58","Macacine herpesvirus 4",0,0,0,0,1,0,0,0
"59","Moloney murine leukemia virus",0,0,0,0,1,0,0,0
"60","Musca domestica salivary gland hypertrophy virus",0,0,0,0,1,0,0,0
"61","Oyster mushroom spherical virus",0,0,0,0,1,0,0,0
"62","Phaeocystis globosa virus 12T",0,0,0,0,1,0,0,0
"63","Spodoptera frugiperda granulovirus",0,0,0,0,1,0,0,0
"64","Synechococcus phage S-RSM4",0,0,0,0,1,0,0,0
"65","Thysanoplusia orichalcea nucleopolyhedrovirus",0,0,0,0,1,0,0,0
"66","Torque teno virus",0,0,0,0,1,0,0,0
"67","Torque teno virus 26",0,0,0,0,1,0,0,0
"68","Trichoplusia ni ascovirus 2c",0,0,0,0,1,0,0,0
"69","unclassified Myoviridae",0,0,0,0,1,0,0,0
"70","Viruses",0,0,0,0,1,0,0,0
"71","Acanthocystis turfacea Chlorella virus 1",0,0,0,0,2,0,1,0
"72","Agrotis segetum granulovirus",0,0,0,0,2,0,0,0
"73","Emiliania huxleyi virus 99B1",0,0,0,0,2,0,0,0
"74","Macaca fascicularis papillomavirus 2",0,0,0,0,2,0,0,0
"75","Mimiviridae",0,0,0,0,2,0,0,0
"76","Mycobacterium phage MOOREtheMARYer",0,0,0,0,2,0,0,0
"77","Phaeocystis globosa virus",0,0,0,0,2,0,0,0
"78","Siphoviridae",0,0,0,0,2,0,0,0
"79","unclassified Mimiviridae",0,0,0,0,2,0,0,0
"80","Yersinia phage phiR1-37",0,0,0,0,2,0,0,0
"81","Ectocarpus siliculosus virus 1 (isolate Kaikoura)",0,0,0,0,3,0,0,0
"82","Lymantria dispar multiple nucleopolyhedrovirus",0,0,0,0,3,0,0,0
"83","Organic Lake phycodnavirus 2",0,0,0,0,3,0,0,0
"84","Trichoplusia ni single nucleopolyhedrovirus",0,0,0,0,3,0,0,0
"85"," no RNA stage",0,0,0,0,6,0,0,1
"86","dsDNA viruses",0,0,0,0,6,0,0,1
"87","Aureococcus anophagefferens virus",0,0,0,0,8,0,0,0
"88","Pandoravirus inopinatum",0,0,0,0,11,0,0,0
"89","Emiliania huxleyi virus PS401",0,0,0,0,13,0,0,0
"90","Gammaretrovirus",0,0,0,0,30,0,2,0
"91","Pseudomonas phage PaBG",0,0,0,0,65,0,0,0
"92","Pithovirus sibericum",0,0,0,0,81,0,0,0
"93","Bovine herpesvirus type 1.2",0,0,0,0,84,0,0,0
"94","Acanthocystis turfacea Chlorella virus Canal-1",0,0,0,0,531,0,0,0
"95","Human papillomavirus type 71",0,0,0,0,0,1,0,0
"96","Podoviridae",0,0,0,0,0,1,0,0
"97","Pseudomonas phage PPpW-4",0,0,0,0,0,1,0,0
"98","Cafeteria roenbergensis virus BV-PW1",0,0,0,0,0,2,0,0
"99","Feline sarcoma virus (STRAIN GARDNER-RASHEED)",0,0,0,0,0,2,1,1
"100","Choristoneura occidentalis granulovirus",0,0,0,0,0,0,1,0
"101","Echovirus E6",0,0,0,0,0,0,1,0
"102","Human adenovirus 27",0,0,0,0,0,0,1,0
"103","Human mastadenovirus B",0,0,0,0,0,0,1,0
"104","Human mastadenovirus C",0,0,0,0,0,0,1,0
"105","Panine herpesvirus 2",0,0,0,0,0,0,1,0
"106","Staphylococcus phage 37",0,0,0,0,0,0,1,0
"107","Human adenovirus D8",0,0,0,0,0,0,3,0
"108","Human adenovirus 8E",0,0,0,0,0,0,4,0
"109","uncultured virus",0,0,0,0,0,0,4,0
"110","Adenoviridae",0,0,0,0,0,0,22,0
"111","Human adenovirus 22",0,0,0,0,0,0,27,0
"112","Human adenovirus 19",0,0,0,0,0,0,28,0
"113","Mastadenovirus",0,0,0,0,0,0,51,0
"114","Orf virus",0,0,0,0,0,0,0,1
