"","bacterial","C","HS24_112.8.1101.1902.1984.1","X2","X1255079","X3","X1","X232.899002","X0.713504","X125","X16","X257"
"944","viral","C","HS24_112:8:1101:7691:4163/1",10370,5252,9,1,117.214935,0.526814,125,22,1
"66031","viral","C","HS24_112:8:1102:10411:57411/1",419435,221525,6,1,95.497948,0.570136,125,13,0
"104468","viral","C","HS24_112:8:1103:16912:47729/1",138949,120937,8,2,129.45636,0.574037,125,24,1
"590811","viral","C","HS24_112:8:1114:9056:67419/1",12059,3899,7,14,86.552513,0.549815,125,12,8
"644265","viral","C","HS24_112:8:1115:13392:86303/1",12059,3881,7,69,37.780579,0.60009,125,6,8
"809988","viral","C","HS24_112:8:1203:14048:61597/1",419435,221525,6,1,143.425385,0.511189,125,33,1
"887451","viral","C","HS24_112:8:1205:11098:43360/1",12059,3881,7,2,116.485268,0.54622,125,26,1
"900556","viral","C","HS24_112:8:1205:15753:73233/1",1,4115,1,10,491.256744,0.700899,125,32,0
"1580451","viral","C","HS24_112:8:1305:11191:38081/1",12067,190724,9,1,147.699814,0.665466,125,22,8
"1900566","viral","C","HS24_112:8:1312:18214:92134/1",1,205034,1,2,95.439171,0.583592,125,14,0
"1947661","viral","C","HS24_112:8:1313:21245:101036/1",1349409,117136,5,1,104.113579,0.506458,125,30,1
"2082464","viral","C","HS24_112:8:2101:13588:17357/1",1484571,221514,8,1,84.399895,0.529609,125,21,1
"2244113","viral","C","HS24_112:8:2104:18323:99249/1",12059,3881,7,44,87.011604,0.538065,125,15,8
"2305652","viral","C","HS24_112:8:2106:3742:42157/1",419435,221525,6,1,88.038231,0.5922,125,22,0
"2414684","viral","C","HS24_112:8:2108:7569:92798/1",11234,151353,9,1,100.688766,0.507594,125,43,1
"2605428","viral","C","HS24_112:8:2113:4352:23601/1",1,4115,1,10,491.256744,0.700899,125,32,0
"2720341","viral","C","HS24_112:8:2115:5094:79133/1",1484571,221514,8,1,84.399895,0.603392,125,12,1
"2845801","viral","C","HS24_112:8:2202:13952:64685/1",1,4115,1,10,491.256744,0.700899,125,32,0
"2969727","viral","C","HS24_112:8:2205:3975:52140/1",419435,221525,6,1,204.588104,0.536041,125,45,1
"3007424","viral","C","HS24_112:8:2206:20807:37737/1",1349409,116443,5,1,84.399895,0.604371,125,25,1
"3023425","viral","C","HS24_112:8:2206:8075:74167/1",1379715,218463,6,1,98.835457,0.568679,125,26,1
"3094218","viral","C","HS24_112:8:2208:8596:34007/1",11099,131611,7,1,126.599846,0.5704,125,25,1
"3199095","viral","C","HS24_112:8:2210:19485:70007/1",10370,5252,9,1,365.063385,0.500844,125,64,1
"3586009","viral","C","HS24_112:8:2303:16443:39289/1",51677,149221,6,1,83.013603,0.52017,125,25,1
"3639977","viral","C","HS24_112:8:2304:15346:70509/1",1,4115,1,10,491.256744,0.700899,125,32,0
"3735370","viral","C","HS24_112:8:2306:17653:96169/1",153135,4117,6,4,526.658813,0.508854,125,32,0
"4073886","viral","C","HS24_112:8:2314:17807:71332/1",1484571,221514,8,1,84.399895,0.529609,125,20,1
"4082538","viral","C","HS24_112:8:2314:20031:91090/1",1349410,161091,5,1,107.766914,0.52345,125,39,1
"4104016","viral","C","HS24_112:8:2315:9086:39579/1",186617,169833,4,1,42.199947,0.513365,125,15,1
