"","bacterial","C","HS24_112.8.1101.1797.1883.1","X1270","X2592541","X9","X1","X118.775787","X0.546487","X125","X22","X1.1"
"126048","viral","C","HS24_112:8:1105:3440:13642/1",12067,190724,9,1,147.699814,0.598552,125,20,8
"212927","viral","C","HS24_112:8:1107:9337:91747/1",10375,2688,7,1,673.001953,0.97268,125,32,8
"327659","viral","C","HS24_112:8:1111:2565:50621/1",10258,220130,7,1,253.199692,1,125,12,0
"356936","viral","C","HS24_112:8:1112:20713:40545/1",364745,188050,7,1,99.954681,0.551822,125,28,1
"522036","viral","C","HS24_112:8:1201:16221:39036/1",10376,1995,8,7,430.203949,1,125,25,8
"556055","viral","C","HS24_112:8:1202:12135:48149/1",138949,120937,8,2,132.865845,0.527996,125,30,1
"1034281","viral","C","HS24_112:8:1301:4655:54281/1",138949,119092,8,2,113.20108,0.533305,125,26,8
"1049389","viral","C","HS24_112:8:1302:15869:3802/1",138949,229551,8,1,147.699814,0.598552,125,26,1
"1123040","viral","C","HS24_112:8:1304:3192:46809/1",1278246,215532,7,1,317.620056,0.503955,125,54,1
"1167644","viral","C","HS24_112:8:1305:21265:91743/1",186617,169833,4,1,42.199947,0.666667,125,9,0
"1195362","viral","C","HS24_112:8:1306:13560:81171/1",10376,623,8,1,358.699554,1,125,17,8
"1297942","viral","C","HS24_112:8:1310:10256:8390/1",138949,190327,8,6,312.689972,0.529395,125,22,8
"1539501","viral","C","HS24_112:8:2101:19317:68111/1",12059,3883,7,6,98.985138,0.502189,125,27,1
"1568680","viral","C","HS24_112:8:2102:14045:63522/1",10376,1381,8,4,586.476501,1,125,32,8
"1619247","viral","C","HS24_112:8:2104:5360:31305/1",10376,5482,8,1,548.599304,1,125,26,8
"1660028","viral","C","HS24_112:8:2105:3006:64550/1",10376,1389,8,3,539.315247,1,125,32,8
"1962393","viral","C","HS24_112:8:2115:8808:12976/1",10376,1814,8,2,216.850479,0.681509,125,16,8
"2037977","viral","C","HS24_112:8:2201:15262:44229/1",12059,3881,7,4,99.29586,0.500589,125,27,8
"2062816","viral","C","HS24_112:8:2202:1498:25613/1",1278246,215532,7,1,317.620056,0.503955,125,55,1
"2075433","viral","C","HS24_112:8:2202:10528:66411/1",10376,623,8,1,675.199158,1,125,32,8
"2087853","viral","C","HS24_112:8:2203:19268:7887/1",1458862,30268,7,1,42.199947,0.516983,125,6,256
"2172699","viral","C","HS24_112:8:2205:2022:82034/1",10376,2765,8,2,630.83783,0.967635,125,33,8
"2303282","viral","C","HS24_112:8:2209:8736:98539/1",12067,190724,9,1,105.49987,0.528919,125,26,1
"2382771","viral","C","HS24_112:8:2212:3754:48590/1",12067,190626,9,2,137.995743,0.582118,125,29,1
"2478741","viral","C","HS24_112:8:2215:20556:40312/1",51677,149221,6,1,59.141037,0.606891,125,12,0
"2484296","viral","C","HS24_112:8:2215:17778:57493/1",1349409,116443,5,1,42.199947,0.513365,125,8,0
"2539294","viral","C","HS24_112:8:2301:14928:26120/1",138949,120937,8,2,413.85553,0.525008,125,29,8
"2705320","viral","C","HS24_112:8:2306:19338:71984/1",12059,3881,7,4,128.291687,0.564282,125,27,8
"2757101","viral","C","HS24_112:8:2308:13023:39370/1",1589274,38677,7,1,67.616966,0.555187,125,31,257
"2874761","viral","C","HS24_112:8:2312:18214:15926/1",12059,128443,7,21,86.714844,0.529598,125,26,8
"2979632","viral","C","HS24_112:8:2315:5648:43467/1",186617,169833,4,1,63.299919,0.524839,125,14,1
"3000142","viral","C","HS24_112:8:2316:5559:6814/1",10376,2765,8,2,630.026917,0.970871,125,32,8
