,Total,Vogue 1B 01-001,Vogue 1B 01-002,Vogue 1B 01-003,Vogue 1B 01-004,Vogue 1B 01-005,Vogue 1B 01-006,Vogue 1B 01-007,Vogue 1B 01-008,Vogue 1B 01-009,Vogue 1B 01-010,Vogue 1B 01-011,Vogue 1B 01-012,Vogue 1B 01-013,Vogue 1B 01-014,Vogue 1B 01-015,Vogue 1B 01-016,Vogue 1B 01-017,Vogue 1B 01-018,Vogue 1B 01-019,Vogue 1B 01-020,Vogue 1B 01-021,Vogue 1B 01-022,Vogue 1B 01-023,Vogue 1B 01-024,Vogue 1B 01-025,Vogue 1B 01-026,Vogue 1B 01-027,Vogue 1B 01-028,Vogue 1B 01-029,Vogue 1B 01-030,Vogue 1B 01-031,Vogue 1B 01-032,Vogue 1B 01-033,Vogue 1B 01-034,Vogue 1B 01-035,Vogue 1B 01-036,Vogue 1B 01-037,Vogue 1B 01-038,Vogue 1B 01-039,Vogue 1B 01-040,Vogue 1B 01-041,Vogue 1B 01-042,Vogue 1B 01-043,Vogue 1B 01-044,Vogue 1B 01-045,Vogue 1B 01-046,Vogue 1B 01-047,Vogue 1B 01-048,Vogue 1B 01-049,Vogue 1B 01-050,Vogue 1B 01-051,Vogue 1B 01-052,Vogue 1B 01-053,Vogue 1B 01-054
Lactobacillus crispatus CECT4840,374389,4,233,17,25,85051,96517,963,548,19,22157,6,6,1646,5538,525,721,254,93,1,7303,0,3,109,1,8,1,2401,0,1,6,0,16,12,12579,99,221,266,336,13140,284,6418,19201,418,309,66,16,690,412,4,10,10,86563,9159,3
Gardnerella vaginalis 409-05 (A),163015,4104,5,2,1213,2,3,0,13,86,4,25,8560,438,0,9,1,5153,4662,4,7,434,737,101,7,35,14168,0,2082,56,7111,32629,14,46094,58,8378,5862,7497,0,1,5822,171,219,243,85,67,60,1457,10,11,5144,154,8,2,7
Lactobacillus iners DSM,136806,10,6,1612,7,157,256,207,24785,6,49,461,11211,11190,14,5,3,125,47,1672,28,25,75,30000,92,18770,14,2,670,39,3633,3,3,207,1558,1,35,4185,0,0,144,20,99,35,102,20225,12,165,253,375,6,276,125,7,3799
Gardnerella vaginalis ATCC ( C ) ,93343,54,12,59939,5677,3,1,0,18,353,8,24,55,15,0,9928,187,672,84,22,0,6,271,88,1497,12,30,0,1344,1654,2742,926,119,2119,9,6,356,1495,0,0,750,8,27,1627,157,19,4,20,0,2,986,3,0,14,0
Bifidobacterium breve JCM1192,75686,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,1498,0,6,0,0,10,9,23,33,1,1,0,1,3,5,1,41963,4,0,0,0,5,5002,4,23,1,1,0,13,0,19,0,2,17,1,11,6,27013,0
Actinobacteria sp. N153 (B),40486,336,166,3,1,18,5,0,2,2,1,15,14883,265,0,1,0,15,455,892,0,214,0,12,876,11,139,0,13,540,723,21,39,8,504,9535,80,16,0,0,7979,0,4,16,103,4,66,1936,1,1,517,64,2,2,0
Lactobacillus gasseri ATCC,37471,3,9329,38,1698,1080,0,20156,22,279,6,0,12,11,0,46,21,10,9,0,0,0,0,1,0,2,0,0,4,0,483,0,0,0,282,4,6,28,252,1,0,2,1639,36,0,0,0,0,2,1363,2,2,7,635,0
Prevotella timonensis JCM,35683,7,5,4,836,1,3,0,26,1315,3,4624,29,199,0,4454,107,508,631,13,0,219,1,29,1311,13,34,0,1,1265,47,79,105,7,0,1,18,943,197,68,2189,0,35,0,1771,1,56,7,1,1,6797,7712,4,6,0
Lactobacillus jensenii ATCC,34754,1,13,1559,1,3520,0,71,9606,2,819,1,0,48,138,7,1,6,1,106,1,0,0,11852,4,2,2,0,1,5,0,0,4,95,418,1,4,1,0,0,1275,2,0,0,3,2,1352,8,373,0,6,40,3399,4,0
Clostridium genomosp. BVAB3,32930,300,2,0,1,0,4,1,0,670,1,2861,3,59,0,8,0,1,3904,11,0,152,3,10,2709,4,1038,0,0,0,146,2,1,12,0,0,0,0,0,0,3978,0,0,113,641,2,30,0,0,1,16242,13,7,0,0
Megasphaera sp. UPII,26056,626,6,0,0,0,1,0,1,768,2,1402,0,37,0,9,1,2263,3993,6,0,8,27,20,692,6,1265,0,0,982,3,2246,131,4,0,2,0,0,0,0,7476,0,0,118,1270,0,65,0,1,1,2544,76,2,2,0
Dialister micraerophilus DSM,17196,65,2,1202,158,0,0,0,21,465,3,493,281,6,1,822,23,316,1547,2,1,42,38,20,139,3,232,0,2,74,522,79,9,251,0,2,4,502,106,0,373,0,20,12,232,0,113,3,0,2,1215,7473,0,320,0
Finegoldia magna ATCC,16125,406,0,0,49,0,0,0,0,165,0,743,6,10,0,20,1,0,811,27,0,46,1,3,1093,5,294,0,0,0,51,0,1,0,0,0,0,0,2,0,3203,0,1,54,300,7,20,0,1,0,8799,4,1,1,0
Atopobium vaginae DSM,14717,19,0,1,0,0,1,0,1,63,0,227,1469,30,0,2,2,14,222,38,0,30,34,5,3218,13,1965,0,127,1331,168,115,94,3976,2,52,1,17,0,0,467,19,448,12,18,0,35,0,2,0,375,101,3,0,0
Lactobacillus ultunensis DSM,13323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,3,13301,3,0,0,1,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella bergensis JCM,11338,0,0,0,0,2,0,0,0,319,0,44,0,102,0,494,19,355,778,0,0,5,0,3,1,1,0,0,0,11,9,0,1,0,0,0,0,14,0,0,1248,1,2,0,38,0,10,0,0,5,7735,136,5,0,0
Porphyromonas uenonis JCM,10897,2,0,0,0,0,0,0,0,61,1,52,0,0,0,43,0,0,334,0,0,1,0,0,84,0,751,0,0,0,242,118,1,2,0,0,0,2150,0,0,88,0,28,0,4,0,33,5,0,5,4224,2665,0,1,2
Prevotella amnii JCM,10575,589,5,1,0,1,0,0,1,380,0,2,100,3,0,2,2,0,612,0,0,107,0,0,238,5,1868,0,1,1,1413,1713,1,0,1,1,0,0,0,0,1319,1,1,4,14,0,10,0,0,1,2176,2,0,0,0
Gardnerella vaginalis 101 (D),10132,1,0,1,3859,1,0,1,0,241,0,3,11,91,0,2,3,44,1043,10,0,0,6,0,871,1,1,0,1,125,43,52,10,127,0,2,3,15,0,0,660,2,0,6,486,7,10,4,0,0,2199,188,0,0,2
Prevotella oris JCM,9045,0,0,0,1163,1,0,0,0,0,0,2,0,1,0,240,2,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,9,0,0,0,4,0,93,0,0,1,7,7496,0,0,0
Anaeroglobus geminatus F0357,6950,266,0,0,0,0,1,0,0,125,0,398,6,10,0,20,1,424,611,11,0,0,7,7,380,0,391,0,0,370,0,778,0,2,0,0,0,0,0,0,2707,0,1,53,313,1,26,0,2,0,10,28,1,0,0
"Campylobacter lari NCTC11352,",6378,290,0,0,0,0,2,0,0,111,0,462,3,9,0,0,0,2,533,15,0,27,1,1,566,0,186,0,0,0,27,0,0,3,0,0,0,0,0,0,470,0,0,25,159,2,4,0,0,0,3478,1,0,1,0
Prevotella buccalis ATCC,5957,324,0,0,25,0,0,0,2,16,0,247,3,180,0,33,1,3,3026,1,0,3,0,2,80,0,13,0,0,5,1,8,0,0,0,0,0,0,0,2,141,0,0,21,124,0,22,0,0,3,597,1074,0,0,0
Prevotella corporis ATCC,4404,0,0,0,0,0,0,0,2,86,4,0,15,10,0,27,0,0,188,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,1,963,5,418,0,0,0,3,0,1,2,6,0,2618,34,0,0,0
Eubacterium rectale ATCC,3858,12,0,0,0,0,0,0,0,74,0,279,0,3,0,1,0,0,309,0,0,12,0,2,282,2,121,0,0,0,24,0,1,2,0,0,0,13,0,0,430,0,0,16,74,2,6,0,0,0,2172,20,1,0,0
Bacteroides ureolyticus LMG,3670,13,0,0,0,0,0,0,1,52,0,218,1,7,0,0,0,0,286,0,0,23,0,2,355,1,111,0,0,0,13,0,0,0,0,0,0,0,0,0,403,0,0,18,124,0,9,0,0,0,2031,0,1,1,0
Pediococcus damnosus ATCC,3337,1,0,0,0,0,1,0,0,54,0,193,0,7,0,4,0,0,247,0,0,14,0,1,196,1,37,0,0,0,3,0,0,1,0,0,0,0,0,0,397,2,0,13,11,0,6,0,0,0,2146,1,1,0,0
Scardovia inopinata DSM10107,3236,0,0,7,3224,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella multisaccharivorax DSM,2950,0,0,0,0,0,0,0,0,102,0,0,0,22,0,1,1,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,3,0,2,0,0,1,2326,46,1,0,0
Mobiluncus mulieris ATCC,2887,70,0,0,0,0,1,0,3,204,1,0,0,22,0,0,4,0,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,988,0,0,0,581,0,6,0,0,0,187,0,0,0,0
Clostridium sphenoides ATCC,2239,2,0,0,0,0,1,0,0,35,0,173,0,1,0,0,0,0,175,0,0,11,0,0,106,0,50,0,0,0,4,0,0,0,0,0,0,0,0,0,261,0,0,9,26,0,1,0,0,0,1381,2,1,0,0
Prevotella bivia ATCC,2213,0,0,0,0,0,0,0,0,31,0,6,6,6,0,247,1,77,0,0,0,0,0,0,2,0,25,0,0,1,5,1,313,0,1,0,0,0,0,0,6,0,0,0,17,14,18,0,0,0,10,1423,3,0,0
Lactobacillus johnsonii ATCC,2156,0,0,0,102,0,0,1210,1,24,1,0,0,0,0,2,787,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus lugdunensis ATCC,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella denticola JCM,1761,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1694,55,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium parvulum DSM,1481,0,0,1,829,1,0,0,0,1,0,0,0,1,0,535,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,77,0,2,0,1,0,0,0,0,0,0,0,3,0,0,3,0
Lactobacillus taiwanensis CIP,1420,0,0,0,115,0,0,1195,1,14,1,0,0,0,1,1,57,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brachyspira innocens ATCC,1374,36,1,0,0,0,0,0,0,6,0,53,0,1,0,0,0,0,76,4,0,10,0,1,179,0,50,0,0,0,11,0,0,0,0,0,0,0,0,0,66,0,0,16,37,2,0,0,0,0,823,2,0,0,0
Mycobacterium ulcerans Agy99,1330,0,0,0,305,0,0,0,0,0,0,0,0,0,0,571,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,394,0,0,2,1,0,2,0,0,0,0,0,0,0,0,5,0
Mobiluncus curtisii subsp.,1277,2,0,0,0,0,0,0,8,3,0,564,1,0,0,285,15,0,19,2,0,17,0,10,186,1,0,0,0,0,2,5,0,1,0,4,7,0,51,0,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Megasphaera cerevisiae ATCC,1111,37,0,1,1,0,0,0,0,38,0,45,3,1,0,24,1,27,69,0,0,0,1,2,54,0,87,0,0,53,21,107,0,1,0,0,0,1,0,0,314,0,2,8,66,0,3,0,0,0,115,28,0,1,0
Eubacterium dolichum ATCC,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,16,0,0,1,0,1004,0,0,0
