,Vogue 1B 01-001,Vogue 1B 01-002,Vogue 1B 01-003,Vogue 1B 01-004,Vogue 1B 01-005,Vogue 1B 01-006,Vogue 1B 01-007,Vogue 1B 01-008,Vogue 1B 01-009,Vogue 1B 01-010,Vogue 1B 01-011,Vogue 1B 01-012,Vogue 1B 01-013,Vogue 1B 01-014,Vogue 1B 01-015,Vogue 1B 01-016,Vogue 1B 01-017,Vogue 1B 01-018,Vogue 1B 01-019,Vogue 1B 01-020,Vogue 1B 01-021,Vogue 1B 01-022,Vogue 1B 01-023,Vogue 1B 01-024,Vogue 1B 01-025,Vogue 1B 01-026,Vogue 1B 01-027,Vogue 1B 01-028,Vogue 1B 01-029,Vogue 1B 01-030,Vogue 1B 01-031,Vogue 1B 01-032,Vogue 1B 01-033,Vogue 1B 01-034,Vogue 1B 01-035,Vogue 1B 01-036,Vogue 1B 01-037,Vogue 1B 01-038,Vogue 1B 01-039,Vogue 1B 01-040,Vogue 1B 01-041,Vogue 1B 01-042,Vogue 1B 01-043,Vogue 1B 01-044,Vogue 1B 01-045,Vogue 1B 01-046,Vogue 1B 01-047,Vogue 1B 01-048,Vogue 1B 01-049,Vogue 1B 01-050,Vogue 1B 01-051,Vogue 1B 01-052,Vogue 1B 01-053,Vogue 1B 01-054
Anaeroglobus geminatus F0357,266,0,0,0,0,1,0,0,125,0,398,6,10,0,20,1,424,611,11,0,0,7,7,380,0,391,0,0,370,0,778,0,2,0,0,0,0,0,0,2707,0,1,53,313,1,26,0,2,0,10,28,1,0,0
Bifidobacterium,0,0,1,1541,0,1,0,1,0,0,2,1,0,8,0,1498,0,6,0,0,10,9,23,33,1,1,0,3,3,5,1,42031,4,0,0,1,5,5044,4,23,1,1,0,13,0,19,0,2,17,1,11,6,27048,0
Campylobacter,290,0,0,0,0,2,0,0,111,0,462,3,9,0,0,0,2,533,15,0,27,1,1,566,0,186,0,0,0,27,0,0,3,0,1,0,122,0,0,473,0,0,25,159,2,13,0,2,0,3479,655,0,1,0
Clostridium,333,2,0,1,0,5,1,1,709,1,3057,3,61,0,25,1,1,4125,13,0,163,3,10,2832,5,1093,0,0,0,223,2,1,12,0,0,0,2,0,0,4272,1,1,123,674,2,31,0,0,1,17775,41,23,0,0
Dialister,80,2,1202,158,0,0,0,23,512,3,540,281,6,1,881,23,316,1714,3,1,44,38,21,146,3,254,0,2,87,556,81,9,251,0,2,4,528,106,0,465,0,22,15,266,0,115,4,0,2,1326,7512,0,320,0
Finegoldia magna ATCC,406,0,0,49,0,0,0,0,165,0,743,6,10,0,20,1,0,811,27,0,46,1,3,1093,5,294,0,0,0,51,0,1,0,0,0,0,0,2,0,3203,0,1,54,300,7,20,0,1,0,8799,4,1,1,0
Gardnerella,4495,183,59945,10750,24,9,1,33,682,13,67,23509,809,0,9940,191,5884,6244,928,7,654,1014,201,3251,59,14338,0,3440,2375,10619,33628,182,48348,571,17921,6301,9023,0,1,15211,181,250,1892,831,97,140,3417,11,14,8846,409,10,18,9
Lactobacillus,25,9605,3275,1948,89808,97345,23824,34967,346,23067,468,11231,12896,5706,593,1591,396,159,1779,7332,26,79,42085,98,18789,17,2403,676,48,17455,6,23,314,14949,111,271,4481,639,13141,1706,6472,20945,489,415,20293,1380,868,1042,1746,34,328,90147,9883,3804
Megasphaera,669,6,1,1,0,1,0,1,815,2,1464,3,39,0,37,2,2318,4360,6,0,8,30,23,769,6,1371,0,0,1044,25,2391,137,5,0,2,0,1,0,1,7898,0,2,128,1350,0,69,0,1,1,2668,106,2,3,0
Mobiluncus,72,0,0,0,0,1,0,14,208,1,795,2,22,0,375,24,0,847,2,0,21,0,16,243,1,0,0,0,0,12,9,0,2,0,5,8,0,103,0,1106,0,0,0,581,0,6,0,0,0,188,0,0,0,0
Porphyromonas,2,0,0,4,1,0,0,0,74,1,58,0,0,0,84,0,32,381,0,0,3,0,0,92,0,754,0,0,0,246,118,2,2,0,0,0,2151,0,0,102,0,35,0,4,0,33,5,0,5,4279,2680,0,1,2
Prevotella,921,10,5,2026,5,4,0,34,2256,9,4961,153,527,0,7608,194,1152,5411,14,0,346,1,52,1647,20,1951,0,2,1317,1495,1801,422,7,2,2,18,2252,1160,75,5665,2,69,25,2002,15,253,12,7,12,22452,20357,13,6,0
Scardovia inopinata DSM10107,0,0,7,3224,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shigella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,507
Staphylococcus,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2120,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
Other Bacteria,123,7,5,1858,10,12,20,101,537,7,1201,2034,317,1,4438,95,41,2082,45,0,125,43,184,4519,90,2442,0,163,1340,487,194,123,3983,14,126,325,1712,1189,3,4345,40,726,91,341,68,122,10,13,2,10547,2324,14,50,98
