Group,Total.Frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64,Vogue1B2.01.01,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.11,Vogue1B2.01.12,Vogue1B2.01.15,Vogue1B2.01.19,Vogue1B2.01.21,Vogue1B2.01.23,Vogue1B2.01.28,Vogue1B2.01.29
Actinobacteria sp.,11574,35,7,1,4,221,9435,155,18,5,127,10,1531,0,15,0,0,0,0,0,0,0,0,0,0,0,1
Atopobium vaginae,1106,204,27,17,18,32,48,6,10,8,56,15,425,1,0,2,80,0,134,0,0,0,0,4,0,3,10
Clostridia sp. BVAB2,1428,81,66,0,1,7,11,495,4,37,205,2,273,1,34,1,16,3,2,23,31,3,12,15,2,16,32
Clostridium genomosp. BVAB3,643,196,3,0,0,0,0,0,10,0,397,0,7,0,0,1,4,0,0,0,0,0,0,0,0,5,5
Escherichia coli,2531,0,0,1,1738,0,0,0,1,0,0,0,0,0,775,0,2,3,7,0,0,0,0,1,0,0,0
Eukaryote,69,1,0,0,0,0,0,0,0,0,3,0,0,1,0,6,0,1,0,0,1,0,2,3,5,1,0
Gardnerella vaginalis Group A,18737,1493,1870,3449,8,775,4,53,105,9,5843,4,19,3,777,8,553,16,59,2067,52,8,4,63,3,9,1187
Gardnerella vaginalis Group B,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,86,0,0,22,0,1,0
Gardnerella vaginalis Group C,14132,174,408,96,5,18,9,497,28,3577,114,6,8,8,42,6,637,4,1194,100,205,0,2,657,195,129,111
Gardnerella vaginalis Group D,82,0,0,0,0,0,0,64,0,1,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,1
Klebsiella pneumoniae,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,469,0,0,0,0
Lactobacillus crispatus,27007,1,3,7,15,10,22,40,3807,2,10,4880,18,64,2,7,116,26,69,79,647,1162,9,160,25,502,63
Lactobacillus gasseri,6073,0,2,8,209,51,2599,17,11,21,7,2,2,1899,4,23,3,3,23,45,7,3,1,48,3,8,0
Lactobacillus iners,43313,14,7,1666,190,9179,1,17,2817,1,89,9,216,11,11,1321,4871,5187,253,26,518,25,50,5127,6473,236,309
Lactobacillus jensenii,6728,21,11,9,19,11,23,4,8,2,8,141,2,6,5,1,117,16,11,13,204,20,13,19,2,15,9
Megasphaera sp. genomosp. type 1,11640,602,0,0,0,1,2,0,1,0,0,0,1,0,0,0,10957,4,0,0,8,0,0,17,1,21,16
Other Actinobacteria,372,19,0,2,1,2,14,99,5,4,0,0,3,0,103,0,16,1,2,17,36,0,1,15,0,4,2
Other Bacteria,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Other Bacteroidetes,190,0,0,0,14,0,0,3,0,0,1,0,2,0,0,2,3,0,1,12,6,1,0,0,0,1,51
Other Clostridium,336,21,1,17,73,44,18,44,15,24,32,10,28,0,0,0,0,0,0,0,0,0,0,3,0,0,1
Other Firmicutes,905,96,22,4,51,9,8,22,21,0,553,11,2,0,17,0,10,2,32,0,8,4,0,1,1,2,14
Other Lactobacillus,295,1,8,17,13,57,19,5,31,2,12,39,5,5,0,0,3,56,0,0,2,0,0,0,0,2,0
Other Prevotella,1321,83,2,0,1,1,30,957,0,26,36,1,17,0,1,0,6,0,0,1,69,0,0,8,0,2,29
Other Proteobacteria,158,5,1,5,3,7,13,3,2,0,13,2,19,2,15,0,1,15,0,0,0,7,0,2,0,2,2
Other Streptococcus,415,0,0,0,294,0,1,2,0,0,0,0,1,0,66,0,26,2,1,0,2,0,0,0,1,0,0
Prevotella amnii,3651,2,0,1,2,1,1,0,0,0,0,1,3602,1,0,3,0,0,0,0,0,4,0,18,0,0,8
Prevotella timonensis,3487,681,0,0,0,4,8,2330,2,37,7,0,1,1,1,2,123,4,1,7,2,1,0,23,0,15,94
Streptococcus devriesei,325,2,8,23,35,51,41,15,35,21,39,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
