"","variable","glm.eBH","kw.eBH","signif"
"1","CST",0.462246293286015,0.603087862776878,FALSE
"2","age",5.79361833858341e-14,0.683824119481237,FALSE
"3","bmi",2.39528135191744e-18,0.676927275808722,FALSE
"4","Age.cat",0.755352346113081,0.555133994111436,FALSE
"5","BMI.under.cat",0.8077925066932,0.753727165669631,FALSE
"6","BMI.over.cat",0.768490431423259,0.666878480049857,FALSE
"7","Ethnicity.cat",0.342448399598597,0.431529996744151,FALSE
"8","Ethnicity2.cat",0.526414909768817,0.615567156541837,FALSE
"9","bv_life",0.405715212419598,0.641919509098722,FALSE
"10","bv_infecttotal_1yr",0.399264725613642,0.70464969822745,FALSE
"11","bv_infecttotal_2mo",0.11030938099268,0.403786849162179,FALSE
"12","BV.ever",0.124784194141315,0.129312847026531,FALSE
"13","Yeast.ever",0.582555202729675,0.582135138611093,FALSE
"14","UTI.ever",0.485890844493838,0.638863353561794,FALSE
"15","Trich.ever",0.724910615377054,0.796304990218967,FALSE
"16","Condyloma.ever",0.108612452584007,0.236136315695577,FALSE
"17","GenHerpes.ever",0.310580019588067,0.773433354994436,FALSE
"18","Chlamydia.ever",0.479964332505667,0.486305164323163,FALSE
"19","Gonorrhea.ever",0.0879774738999756,0.316378658288718,FALSE
"20","Syphillis.ever",0.217802954329457,0.671045092004056,FALSE
"21","Presence.Symptoms.2wks",0.886825833172739,0.901087429047139,FALSE
"22","Presence.Symptoms.48hrs",0.862367384793821,0.860861252493525,FALSE
"23","Symptom.pain",0.643904239325277,0.635715916669106,FALSE
"24","oralsxfrequency.cat",0.787175942923052,0.710127895709068,FALSE
"25","analsxfrequency.cat",0.390705649314346,0.70874816630937,FALSE
"26","sextoyfrequency.cat",0.453507377368508,0.480814360411588,FALSE
"27","sexpartner1yr.cat",0.463907078593491,0.496416209372754,FALSE
"28","sexpartner2mo.cat",0.814164490845172,0.837705217251483,FALSE
"29","Contraception.H",0.802218169274642,0.819081874581979,FALSE
"30","Contraception.B.M",0.854655001530046,0.880028601433503,FALSE
"31","Contraception.IUD",0.858610980551335,0.779254298540031,FALSE
"32","Contraception.none",0.868456333230599,0.797307425421093,FALSE
"33","condoms.48h",0.56741786452635,0.799298473491431,FALSE
"34","Pregnancy.cat",0.506579080720539,0.519171735269936,FALSE
"35","Feminine.products",0.656605821785777,0.707366511192807,FALSE
"36","Feminine.products.48hrs",0.789295469839301,0.741067749885174,FALSE
"37","Tampon.Use.cat",0.373118645652776,0.477499045077608,FALSE
"38","days.since.LMP",1.0748606930566e-07,0.777755667080336,FALSE
"39","Tampon.use.1mth",0.514985612394006,0.620648210715885,FALSE
"40","smoking.current",0.798419628868972,0.67918219068384,FALSE
"41","druguse",0.774229936166719,0.705450314309211,FALSE
"42","substanceuse",0.545612720316551,0.709773829452324,FALSE
"43","nugent_score_result",0.370003780728686,0.415479021271509,FALSE
"44","sexpartner",0.544242704299079,0.776950987932668,FALSE
"45","contramethnotactive___1",0.754622151518042,0.789859959276447,FALSE
"46","abnormaldischarge2wk",0.886667844574875,0.900251650409868,FALSE
"47","abnormaldischarge48",0.791362440450315,0.75596012791034,FALSE
"48","abnormalodor2wk",0.603062163186552,0.780326331217792,FALSE
"49","abnormalodor48",0.31517601134456,0.44088320721769,FALSE
"50","irritationdiscomfort2wk",0.775814557750559,0.81722047076321,FALSE
"51","irritationdiscomfort48",0.818524898380785,0.839210590505631,FALSE
"52","vaginalsymptomother2wk",0.73426659699845,0.743738343659191,FALSE
"53","rxdrug",0.608961031248396,0.583334206658535,FALSE
"54","antimicrodrug",0.431311965040024,0.432521099411846,FALSE
"55","vaginalintercourse48hr",0.51526665921942,0.710877641275919,FALSE
"56","t16",0.118501907782024,0.46500659052087,FALSE
"57","t18",0.165315716746654,0.461165252670061,FALSE
"58","t26",0.673260797442053,0.578493387104302,FALSE
"59","t33",0.163284655497163,0.599320346257077,FALSE
"60","t35",0.731084291492892,0.572221671280345,FALSE
"61","t42",0.684394503634167,0.723162338146546,FALSE
"62","t45",0.168985094742837,0.459294499687399,FALSE
"63","t51",0.13221326570592,0.451373861924816,FALSE
"64","t52",0.199304143809803,0.672557056899582,FALSE
"65","t53",5.27338069953523e-05,0.447952245476924,FALSE
"66","t54",0.160019804316826,0.628893068288225,FALSE
"67","t56",0.270790999346002,0.65751004983592,FALSE
"68","t61",0.351068698625531,0.622660211109791,FALSE
"69","t62",0.759992715390198,0.83690290158976,FALSE
"70","t66",0.460029035712618,0.479437940686537,FALSE
"71","t67",0.85958773734613,0.783721988904382,FALSE
"72","t68",0.153718465173339,0.459683883478199,FALSE
"73","t70",0.393822260380916,0.54823190648175,FALSE
"74","t71",0.236883763016553,0.576895868793923,FALSE
"75","t72",0.797468032659621,0.684269625317358,FALSE
"76","t73",0.166878548465423,0.462961788744888,FALSE
"77","t81",0.368864698037068,0.71821957974902,FALSE
"78","t83",0.0682665258692981,0.56948008563994,FALSE
"79","t84",0.441371113601514,0.631208113536057,FALSE
"80","t89",0.672126317751297,0.580633642249725,FALSE
"81","Number.of.Different.HPV.Types",0.028005698717278,0.755209468474254,FALSE
"82","Med.Duration",1.47621759646827e-07,0.731256975933675,FALSE
"83","Is.the.patient.antiretroviral.naive.",0.413372855579348,0.568450025656603,FALSE
"84","HIV.Clade...Result",0.541518087643038,0.75091542071168,FALSE
"85","Likely.mode.of.HIV.acquisition",0.437792807749689,0.777587901456674,FALSE
"86","Duration.of.HIV.Infection.",3.79280471780301e-10,0.738090683858141,FALSE
"87","CD4.Nadir.",7.28111360038504e-10,0.670747801225463,FALSE
"88","Highest.VL.Ever..",2.80249218035342e-10,0.745815382802987,FALSE
"89","CD4.",0.00237050794797809,0.704357031658402,FALSE
"90","VL..copies.mL..",0.267548454943062,0.738909684545447,FALSE
"91","HCV.Antibody...Result",0.300567307476187,0.666977995189995,FALSE
"92","HCV.PCR...Result",0.398853259225373,0.590643990985817,FALSE
"93","HBV.sAb...Result",0.768601163608065,0.827608316845079,FALSE
"94","HBV.sAg...Result",0.699480731393236,0.72668398394027,FALSE
"95","HBV.cAb...Result",0.698058927010045,0.718065147464341,FALSE
"96","study_arm",0.340016955341213,0.358341854692532,FALSE
