"","kw.ep","kw.eBH","glm.ep","glm.eBH","signif"
"Acanthamoeba polyphaga mimivirus",0.554854536997434,0.946721391231611,0.556588626418105,0.880551703441696,FALSE
"Acanthocystis turfacea Chlorella virus 1",0.366785435145372,0.931697913357468,0.329591618121746,0.765881123333425,FALSE
"Acanthocystis turfacea Chlorella virus Canal-1",0.478677372737532,0.942399308504813,0.469570119292102,0.854253460135908,FALSE
"Acidianus bottle-shaped virus",0.526976776162953,0.942436508213313,0.504048115307646,0.854044679264071,FALSE
"Acidianus two-tailed virus",0.545363540851876,0.945690296567507,0.529290720996993,0.87192838374384,FALSE
"Acinetobacter phage 133",0.507240757069477,0.94341326299634,0.48432978055961,0.834921406636878,FALSE
"Acinetobacter phage Presley",0.530054357511686,0.943338567721593,0.48409710690783,0.85231301536833,FALSE
"Acinetobacter phage vB_AbaM_Acibel004",0.462468317119811,0.939337154849965,0.450941677525979,0.846564098886061,FALSE
"Actinomyces phage Av-1",0.413502762809647,0.936503676359884,0.332819744916843,0.793491330022394,FALSE
"Aeromonas phage vB_AsaM-56",0.505567494428333,0.942746358966223,0.485781853272358,0.830356409420772,FALSE
"Aggregatibacter phage Aabphi01",0.51277335616935,0.943539772127569,0.490851890250813,0.855584414676118,FALSE
"Alcelaphine herpesvirus 2",0.502316332543058,0.941513236068556,0.483396585368384,0.850137002180366,FALSE
"Alphapapillomavirus 1",0.551189916517044,0.943074645207544,0.583020257891797,0.906794667434813,FALSE
"Alphapapillomavirus 10",0.765383789316168,0.957794612089624,0.656671276012959,0.942365410189672,FALSE
"Alphapapillomavirus 11",0.529964748517175,0.943008117162175,0.562723268707694,0.890900680498304,FALSE
"Alphapapillomavirus 12",0.522815251624339,0.940995725727391,0.491380525883118,0.860319524784449,FALSE
"Alphapapillomavirus 13",0.445388798918613,0.936985581889106,0.408857547441599,0.805551084060335,FALSE
"Alphapapillomavirus 14",0.563291008649245,0.941406438077559,0.776888259606033,0.958955022501222,FALSE
"Alphapapillomavirus 2",0.5476913917626,0.945022272910618,0.541893900750721,0.866996184059076,FALSE
"Alphapapillomavirus 3",0.503525574354442,0.93536017524394,0.222456939029626,0.810801058252224,FALSE
"Alphapapillomavirus 4",0.536547515901907,0.942801524604448,0.582627295592649,0.896716424595395,FALSE
"Alphapapillomavirus 5",0.513805624868921,0.943040650459561,0.61257116019692,0.902427900801553,FALSE
"Alphapapillomavirus 6",0.743560278523081,0.958029712472776,0.923411772812715,0.982582855787384,FALSE
"Alphapapillomavirus 7",0.549290786881378,0.941506961710992,0.438701632454322,0.872115952654974,FALSE
