Simple.name,Group,TOTAL.frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64
Acidaminococcus fermentans,Other Firmicutes,35,0,0,3,0,7,7,2,7,0,2,6,1
Acinetobacter junii,Other Proteobacteria,1,0,0,0,0,0,0,0,0,0,0,1,0
Acinetobacter lwoffii,Other Proteobacteria,1,1,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria sp.,Other Actinobacteria,11549,35,7,1,4,221,9435,155,18,5,127,10,1531
Actinomyces neuii subsp. anitratus,Other Actinobacteria,4,0,0,0,0,0,0,2,2,0,0,0,0
Aerococcus urinae,Other Firmicutes,76,50,13,1,0,1,1,0,6,0,4,0,0
Alloscardovia omnicolens,Other Actinobacteria,2,0,0,0,0,0,2,0,0,0,0,0,0
Anaeroglobus geminatus,Other Firmicutes,39,39,0,0,0,0,0,0,0,0,0,0,0
Atopobium vaginae,Actinobac,866,204,27,17,18,32,48,6,10,8,56,15,425
Atopostipes suicloacalis ,Other Firmicutes,44,4,0,0,39,0,0,0,0,0,0,1,0
Bacteroides pectinophilus,Bacteroidetes,14,0,0,0,14,0,0,0,0,0,0,0,0
Bifidobacterium breve,Actinobac,16,2,0,0,1,2,5,0,3,0,0,0,3
Blautia hansenii ,Other Firmicutes,6,0,0,0,3,0,0,2,0,0,0,0,1
Bulleidia extructa,Other Firmicutes,22,3,0,0,0,0,0,18,0,0,1,0,0
Burkholderia glumae,Other Proteobacteria,1,0,0,0,0,0,0,0,0,0,1,0,0
Caldicellulosiruptor saccharolyticus,Other Firmicutes,1,0,0,0,1,0,0,0,0,0,0,0,0
Clostridia sp. BVAB2,Firm/Clos,1182,81,66,0,1,7,11,495,4,37,205,2,273
Clostridium genomosp. BVAB3,Firm/Clos,613,196,3,0,0,0,0,0,10,0,397,0,7
Clostridium stercorarium subsp. stercorarium,Firm/Clos,32,19,0,0,0,0,0,0,0,1,12,0,0
Coprococcus eutactus,Other Clostridium,22,0,0,1,0,10,0,0,8,0,0,2,1
Desulfotomaculum hydrothermale,Other Clostridium,9,0,0,0,0,0,0,9,0,0,0,0,0
Dialister invisus ,Other Firmicutes,8,0,0,0,8,0,0,0,0,0,0,0,0
Eggerthella lenta,Other Actinobacteria,127,17,0,2,0,0,7,97,0,4,0,0,0
Escherichia coli,Proteobac,1740,0,0,1,1738,0,0,0,1,0,0,0,0
Eubacterium coprostanoligenes,Other Clostridium,5,0,0,0,0,0,0,0,0,0,5,0,0
Eubacterium eligen,Other Clostridium,5,0,0,0,5,0,0,0,0,0,0,0,0
Faecalibacterium cf. prausnitzii,Other Clostridium,97,0,1,10,15,24,8,1,2,7,14,4,11
Gardnerella vaginalis Group A,Actinobac,13632,1493,1870,3449,8,775,4,53,105,9,5843,4,19
Gardnerella vaginalis Group C,Actinobac,4940,174,408,96,5,18,9,497,28,3577,114,6,8
Gardnerella vaginalis Group D,Actinobac,65,0,0,0,0,0,0,64,0,1,0,0,0
Haemophilus haemolyticus,Other Proteobacteria,20,0,0,0,0,0,0,0,2,0,0,0,18
