Simple.name,Group,Total.Frequency,X1B2_01_26,X1B2_01_35,X1B2_01_37,X1B2_01_38,X1B2_01_50,X1B2_01_52,X1B2_01_56,X1B2_01_58,X1B2_01_61,X1B2_01_62,X1B2_01_63,X1B2_01_64,Vogue1B2.01.07,Vogue1B2.01.09,Vogue1B2.01.23,Vogue1B2.01.21,Vogue1B2.01.05,Vogue1B2.01.04,Vogue1B2.01.15,Vogue1B2.01.20,Vogue1B2.01.14,Vogue1B2.01.28,Vogue1B2.01.12,Vogue1B2.01.01,Vogue1B2.01.16,Vogue1B2.01.13,Vogue1B2.01.11,Vogue1B2.01.29,Vogue1B2.01.06,Vogue1B2.01.03,Vogue1B2.01.10,Vogue1B2.01.24,Vogue1B2.01.08,Vogue1B2.01.19
Acidaminococcus fermentans,Other Firmicutes,35,0,0,3,0,7,7,2,7,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter junii,Other Proteobacteria,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter lwoffii,Other Proteobacteria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter pittii,Other Proteobacteria,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Actinobacteria sp.,Actinobacteria sp.,11574,35,7,1,4,221,9435,155,18,5,127,10,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,9,0,0
Actinomyces neuii,Other Actinobacteria,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,21,0,0,4,1,0
Actinomyces neuii subsp. anitratus,Other Actinobacteria,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces turicensis,Other Actinobacteria,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,0,0,1,0,0
Aerococcus urinae,Other Firmicutes,155,50,13,1,0,1,1,0,6,0,4,0,0,0,2,1,1,0,0,0,0,0,2,8,0,0,0,0,0,10,0,32,15,8,0
Agrobacterium tumefaciens,Other Proteobacteria,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloscardovia omnicolens,Alloscardovia omnicolens,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,13,0,0,0,0,0,3,0
Anaeroglobus geminatus,Other Firmicutes,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcanobacterium haemolyticum,Other Actinobacteria,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Atopobium vaginae,Atopobium vaginae,1106,204,27,17,18,32,48,6,10,8,56,15,425,2,0,0,4,4,0,0,0,0,3,0,1,2,0,0,10,0,0,134,0,80,0
Atopostipes suicloacalis ,Other Firmicutes,44,4,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
