"","x"
"1",0.008684
"2",1
"3",4.5201e-10
"4",1
"5",0.13948
"6",0.007897
"7",1
"8",1
"9",1
"10",1
"11",0.0012432
"12",0.003322
"13",1
"14",0.06048
"15",1
"16",0.007074
"17",0.01665
"18",1
"19",0.034398
"20",0.7676
"21",1
"22",1
"23",0.008976
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",0.5
"31",0.24477
"32",0.20874
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",0.7676
"40",1
"41",0.20855
"42",0.06118
"43",0.10125
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",0.06118
