"","Var1","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"1","Baku virus",1,0,19,1,3,1,0,0,0,0,0,0,3,0,2,1,1,0,0,4,0,0,1,0,0
"2","Choristoneura occidentalis granulovirus",1,0,0,1,3,1,3,0,0,0,0,4,0,0,0,0,4,2,0,2,2,1,0,1,1
"3","Lymphocryptovirus",1,0,2344,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Shewanella sp. phage 1/44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"5","Enterovirus",2,7,385,7,5,1,3,3,7,6,0,10,6,2,4,4,9,5,1,3,8,7,0,1,30
"6","Paramecium bursaria Chlorella virus AP110A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Enterovirus B",3,0,223,1,3,0,2,0,0,1,0,1,0,0,3,0,2,1,0,1,1,1,0,2,14
"8","Human herpesvirus 4",7,0,16896,0,0,0,1,0,0,1,1,3,0,2,0,0,2,0,0,0,2,1,0,3,1
"9","Coxsackievirus A9",0,1,115,1,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,0,0,14
"10","Human herpesvirus 6 (strain Uganda-1102)",0,2,2,1,1,0,0,0,1,0,35,0,0,0,1,1,1,2,1,0,0,1,0,1,0
"11","root",0,3,0,0,0,0,3,0,1,0,0,2,0,0,0,177,0,0,1,0,1,0,0,1,0
"12","Bovine viral diarrhea virus 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13","Duck adenovirus 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Falconid herpesvirus 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Feline sarcoma virus (STRAIN GARDNER-RASHEED)",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,75,0
"16","Gammaherpesvirinae",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17","Coxsackievirus B1",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Pandoravirus salinus",0,0,4,0,0,0,1,0,0,0,5,0,1,0,0,6,0,0,0,0,0,0,0,0,0
"19","Glypta fumiferanae ichnovirus",0,0,7,0,0,0,0,0,3,1,19,0,0,0,1,12,0,0,1,0,0,1,0,0,2
"20","Enterovirus B86",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Gammaretrovirus",0,0,17,4,0,0,2,0,1,0,2216,4,0,1,0,5,0,9,0,0,3,1,0,0,26
"22","Echovirus E25",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Carrot red leaf virus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Caviid herpesvirus 2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Pectobacterium phage My1",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","unclassified Coccolithovirus",0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"27","uncultured marine virus",0,0,0,5,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
"28","Coccolithovirus",0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
