"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","Alphapapillomavirus 12",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2","Bacillus virus 1",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"3","Brochothrix phage A9",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"4","Cafeteria roenbergensis virus BV-PW1",1,1,0,0,0,0,0,0,1,0,0,0,19,2,0,0,0,0,0,12,0
"5","Canarypox virus",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6","Cardioderma polyomavirus",1,0,1,0,0,0,0,0,0,0,0,6,13,0,0,1,0,0,0,0,0
"7","Castor fiber papillomavirus 1 EES-2009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Emiliania huxleyi virus PS401",1,1,4,0,3,1,2,1,1,1,3,0,2,0,0,1,2,2,0,2,2
"9","Hepatitis C virus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"10","Human herpesvirus 2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Human herpesvirus 4 type 1",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"12","Human mastadenovirus E",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Human papillomavirus",1,0,2,0,0,0,6,1,0,0,7,1,0,2,1,0,0,0,5,0,0
"14","Human papillomavirus type 45",1,0,0,3,0,2,1,1,0,2,0,1,0,1,0,0,1,0,0,0,2
"15","Human papillomavirus type 67",1,0,0,1,0,0,0,0,0,0,0,0,0,0,481,0,0,0,1,0,0
"16","Human papillomavirus type 83",1,1,0,4,2,3,0,0,3,10,4,2,0,17,50437,3,3,0,1,3,0
"17","Human papillomavirus type 84",1,0,18,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,1,0,0
"18","Human papillomavirus type 90",1,0,10637,2,0,0,1,1,1,0,1,3,0,19,3,1,0,1,1,1,0
"19","Lactobacillus phage Lv-1",1,0,43,7,0,0,0,0,35,0,2,0,1,0,3,0,0,0,56,0,2
"20","Megavirus courdo11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Murid herpesvirus 1",1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
"22","Olive latent virus 3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Orf virus",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"24","Pandoravirus dulcis",1,0,3,0,1,1,1,1,1,0,1,0,1,1,0,3,2,0,0,0,0
"25","Paramecium bursaria Chlorella virus FR483",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Pithovirus sibericum",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
"27","Propionibacterium phage PHL116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Pseudomonas phage Phi-S1",1,0,0,0,2,0,0,0,0,0,1,10,25,0,0,40,0,0,4,0,11
"29","Pseudomonas phage phiIBB-PF7A",1,0,0,1,10,0,0,1,2,0,0,59,157,0,13,122,2,6,11,0,6
"30","Ranid herpesvirus 2",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Rhodoferax phage P26218",1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
