"","Viral_Family","Vogue1A.01.61","Vogue1A.01.101","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.71","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.106","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.74","Vogue1A.01.77"
"1","Myoviridae",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Podoviridae",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10239",3,NA,2,1,2,2,2,3,755,1,0,1,94,11,1,NA,NA,NA,NA,NA,NA
"4","33769",0,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA
"5","Siphoviridae",391,NA,37,12,215,52,10,79,6674,50,77,466,18125,838,14,NA,NA,NA,NA,NA,NA
"6","1",139,9,61,26,62,42,39,76,651,15,146,32,14743,449,13,3,8,15,337,151,11
"7","10366",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","10375",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","104664",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","10492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"11","1051631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12","10566",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","10596",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0
"14","1084719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"15","1127491",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
