"","Viral_Family","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Myoviridae",7,631,3,12,85,115,335,12
"2","Podoviridae",4,1054,4,4,197,5,10,19798
"3","28883",0,24,0,0,0,0,1,0
"4","33769",0,0,0,0,0,0,1,0
"5","Siphoviridae",2,6569,4,50,284,15,841,7
"6","1",2,5319,1,38,114,235,1801,12
"7","10239",1,44,0,1,0,0,153,2
"8","1109714",0,16,0,0,0,0,1,0
"9","1168812",0,0,0,1,0,0,0,0
"10","1168843",0,5,0,0,0,0,0,0
"11","12333",0,3,0,0,0,0,0,0
"12","1289595",0,7,0,0,0,0,0,0
"13","129861",0,31,0,0,0,0,0,0
"14","1349409",2,0,0,0,0,100,1,0
"15","1349410",24,1,13,15,1,23,3,1
"16","1392231",0,400,0,0,0,0,0,0
"17","139871",0,23,0,0,0,0,407,3
"18","1450746",0,0,0,0,0,7,1,0
"19","1605721",3,1,1,0,1,2,0,1
"20","1640978",0,8,0,0,0,0,0,0
"21","186617",0,1,0,0,0,0,0,0
"22","278008",0,1,0,0,0,0,0,0
"23","334523",0,262,0,0,0,0,0,0
"24","350104",0,77,0,0,0,0,0,0
"25","35237",1,8,0,0,0,3,0,0
"26","38018",0,5,0,0,0,0,0,0
"27","396034",0,0,0,0,2,0,0,0
"28","447909",0,0,0,0,51,0,0,0
"29","51368",0,0,0,1,0,0,0,0
"30","573173",0,0,0,0,0,0,3,0
"31","743582",0,0,0,0,0,1,0,0
"32","749413",0,6,0,1,0,0,0,0
"33","754068",0,0,0,0,0,9,0,1
"34","755272",0,0,0,0,1,0,0,0
"35","755273",0,0,0,1,0,2,1,0
"36","870469",0,4,0,0,0,0,0,0
"37","870471",0,27,0,0,0,0,0,0
"38","870475",0,1,0,0,0,0,0,0
"39","911573",0,22,0,0,0,0,0,0
"40","Adenoviridae",10,8,804,9,6,17,60,22
"41","Alloherpesviridae",2,1,2,1,0,7,0,0
"42","Alphaflexiviridae",1,0,1,2,0,1,3,0
"43","Anelloviridae",0,0,0,1,0,3,0,0
"44","Arteriviridae",0,0,0,0,1,0,0,0
"45","Ascoviridae",1,0,0,0,0,0,0,0
"46","Baculoviridae",2,6,3,4,23,774,5,1
"47","Bicaudaviridae",0,0,0,0,0,0,1,0
"48","Caliciviridae",0,0,0,0,0,0,7,0
"49","Chrysoviridae",0,1,0,0,0,0,0,0
"50","Circoviridae",0,9,0,0,0,0,0,0
"51","Flaviviridae",0,6,0,0,0,0,0,0
"52","Herpesviridae",91,36,171,61,32,147,23,25
"53","Iridoviridae",8,0,2,2,0,2,0,0
"54","Lipothrixviridae",0,12,0,0,1,0,1,0
"55","Luteoviridae",0,1,0,0,0,0,0,0
"56","Mimiviridae",6,3,0,3,49,2,8,3
"57","Nimaviridae",0,0,0,0,0,1,3,0
"58","Nudiviridae",2,0,0,0,0,2,0,0
"59","Papillomaviridae",168,95434,192,112,131,435,43,88
"60","Parvoviridae",1,0,0,0,0,0,0,0
"61","Phycodnaviridae",47,22,48,105,112,1227,238,37
"62","Picornaviridae",2,36,5,0,4,0,16,10
"63","Polydnaviridae",53,3,25,38,1,41,3,5
"64","Polyomaviridae",0,0,0,1,162,0,0,0
"65","Poxviridae",1,0,1,0,4,0,3,0
"66","Reoviridae",0,1,0,0,0,0,0,0
"67","Retroviridae",5,0,3,3,0,7,3,3
