"","Viral_Species","Vogue1B.01.01","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.51","Vogue1B.01.52","Vogue1B.01.03","Vogue1B.01.48"
"1","Enterobacteria phage N15",5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,NA,NA
"2","Lactobacillus phage LL-H",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA
"3","Picovirinae",0,0,0,0,0,0,0,0,1,2458,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
"4","Podoviridae",1,1,1,1,2,1,1,2,1,1,1,2,1,0,1,4,1,9,3,1,4,0,4,NA,NA
"5"," no RNA stage",14,8,3,3,0,1,0,3,0,1,3,0,14,7,0,1,0,1,9,1,0,0,0,0,3
"6","Acanthamoeba polyphaga mimivirus",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"7","Acanthocystis turfacea Chlorella virus 1",0,0,0,9,2,0,0,3,0,0,10,1,1,5,19,4,0,2,4,1,0,0,0,4,20
"8","Acidianus bottle-shaped virus (isolate Pozzuoli)",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Acidianus two-tailed virus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Acinetobacter phage 133",0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,13,0,0,0,0,0
"11","Acinetobacter phage AB1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
