"","Viral_Species","Vogue1B2.01.11","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Autographivirinae",2,NA,NA,NA,NA,NA,NA,NA
"2","Enterobacteria phage SV14",0,NA,NA,NA,NA,NA,NA,NA
"3","Myoviridae",0,NA,NA,NA,NA,NA,NA,NA
"4","Podoviridae",0,0,0,0,10,0,0,0
"5","Bacillus phage SPP1",0,5,0,0,0,0,0,0
"6","Caudovirales",0,24,0,0,0,0,1,0
"7","Haemophilus phage HP1c1",0,250,0,0,0,0,0,0
"8","Lactobacillus phage LL-H",0,0,0,0,0,0,8,0
"9","Lactobacillus phage mv1",0,0,0,0,0,0,1,0
"10","Picovirinae",1,9,1,0,0,1,1,19007
"11","Staphylococcus phage phiMR11",0,2,0,0,0,0,0,0
"12","Streptococcus phage Cp-1",1,205,0,0,0,0,0,0
"13","Streptococcus phage CP-7",0,12,0,0,0,0,0,0
"14","Streptococcus phage Dp-1",0,0,0,3,0,0,0,0
"15","T7likevirus",0,0,0,0,1,0,0,0
"16"," no RNA stage",1,8,0,0,0,3,0,0
"17","Acanthamoeba polyphaga mimivirus",0,1,0,0,0,0,0,0
"18","Acanthocystis turfacea Chlorella virus 1",5,1,1,1,0,0,3,0
"19","Acidianus two-tailed virus",0,0,0,0,0,0,1,0
"20","Actinomyces phage Av-1",0,25,0,0,0,0,0,0
"21","Adenoviridae",0,0,3,0,0,0,0,0
"22","Aggregatibacter phage Aabphi01",0,22,0,0,0,0,0,0
"23","Alcelaphine herpesvirus 2",1,0,0,0,0,0,0,0
"24","Alphabaculovirus",1,0,0,2,23,765,2,0
"25","Alphaherpesvirinae",0,0,0,0,1,0,0,0
"26","Alphapapillomavirus",0,5,0,0,0,0,0,0
"27","Alphapapillomavirus 10",5,15,2,1,2,17,0,1
"28","Alphapapillomavirus 14",1,0,0,1,0,1,0,0
"29","Alphapapillomavirus 3",0,0,8,4,5,3,0,2
"30","Alphapapillomavirus 6",2,6385,2,7,1,2,0,3
"31","Alphapapillomavirus 7",0,19,0,0,0,0,0,0
"32","Alphapapillomavirus 9",0,182,0,0,0,0,0,0
"33","Andrias davidianus ranavirus",8,0,2,2,0,2,0,0
"34","Archaeal BJ1 virus",0,0,0,0,0,0,1,0
"35","Aureococcus anophagefferens virus",0,2,0,0,0,3,0,0
"36","Avian sarcoma virus 31",1,0,2,2,0,1,1,3
"37","Bacillus phage BCJA1c",0,482,1,0,0,0,0,0
"38","Bacillus phage G",0,0,0,1,8,0,0,0
"39","Bacillus phage PBC1",0,0,0,0,0,2,0,0
"40","Bacillus virus 1",0,0,0,0,2,0,0,0
"41","Betaentomopoxvirus",0,0,0,0,1,0,0,0
"42","Betapapillomavirus 1",0,17,0,0,0,0,0,0
"43","Bovine herpesvirus 1",0,0,0,0,3,0,0,0
"44","Bovine herpesvirus 6",1,0,0,0,0,0,0,0
"45","Brevibacillus phage Emery",0,0,0,1,0,0,0,0
"46","Brochothrix phage A9",0,16,0,0,0,0,0,0
"47","Brochothrix phage BL3",0,2,0,0,0,1,0,0
"48","Burkholderia phage Bcep22",0,10,0,0,0,0,0,0
"49","Burkholderia phage phiE255",0,1,0,0,0,0,0,0
"50","Cafeteria roenbergensis virus BV-PW1",6,0,0,2,0,0,0,0
"51","Canarypox virus",0,0,1,0,0,0,0,0
"52","Cardioderma polyomavirus",0,0,0,0,1,0,0,0
"53","Carollia perspicillata polyomavirus 1",0,0,0,1,0,0,0,0
"54","Cellulophaga phage phi39:1",0,17,0,0,0,0,0,0
"55","Cellulophaga phage phiST",0,0,0,0,4,0,0,0
"56","Cercopithecine herpesvirus 5",2,1,0,0,0,0,0,0
"57","Chlorovirus",0,2,0,0,0,0,0,0
"58","Choristoneura biennis entomopoxvirus 'L'",0,0,0,0,0,0,1,0
"59","Choristoneura rosaceana alphabaculovirus",0,1,0,0,0,0,2,0
"60","Choristoneura rosaceana entomopoxvirus 'L'",0,0,0,0,2,0,0,0
"61","Citrus vein enation virus",0,1,0,0,0,0,0,0
"62","Coccolithovirus",15,10,16,35,1,25,75,8
"63","Colwellia phage 9A",0,2,0,0,0,0,0,0
"64","Corynebacterium phage BFK20",0,3,0,0,0,0,0,0
"65","Corynebacterium phage P1201",0,0,0,1,0,1,0,0
"66","Croceibacter phage P2559Y",0,2,0,0,0,0,0,0
"67","Cronobacter phage CR5",0,12,0,0,0,0,0,0
"68","Cronobacter phage vB_CsaP_GAP52",0,0,0,0,3,0,0,0
"69","Cyprinid herpesvirus 2",0,1,0,0,0,1,0,0
"70","Cyprinid herpesvirus 3",2,0,2,1,0,6,0,0
"71","Deep-sea thermophilic phage D6E",0,6,0,1,0,0,0,0
"72","Deerpox virus W-848-83",0,0,0,0,1,0,0,0
"73","Dendrolimus kikuchii nucleopolyhedrovirus",1,0,0,0,0,0,0,0
"74","Dromedary stool-associated circular ssDNA virus",0,7,0,0,0,0,0,0
"75","dsDNA viruses",1,8,0,0,0,3,0,0
"76","Duck adenovirus 2",0,0,0,0,0,0,1,0
"77","Ectocarpus siliculosus virus 1 (isolate Kaikoura)",0,0,0,0,109,3,0,10
"78","Elephantid herpesvirus 1",8,0,3,4,0,4,1,0
"79","Emiliania huxleyi virus 145",2,0,1,3,0,3,8,0
"80","Emiliania huxleyi virus 156",3,0,3,2,0,1,39,0
"81","Emiliania huxleyi virus 164",0,0,0,0,0,0,0,1
"82","Emiliania huxleyi virus 18",0,0,1,2,0,0,0,0
"83","Emiliania huxleyi virus 84",0,0,0,2,0,0,0,0
"84","Emiliania huxleyi virus PS401",0,0,0,0,0,9,0,1
"85","Enterobacteria phage phiEcoM-GJ1",0,2,0,0,0,0,0,0
"86","Enterococcus phage EFDG1",0,4,0,0,0,0,0,0
"87","Enterococcus phage IME-EFm1",0,1,0,0,0,0,0,0
"88","Enterococcus phage vB_Efae230P-4",0,0,0,0,0,0,0,123
"89","Enterovirus",2,24,4,0,2,0,9,8
"90","Environmental Halophage eHP-10",0,0,0,1,0,0,0,0
"91","Environmental Halophage eHP-40",0,5,0,0,0,0,0,0
"92","environmental samples",0,0,0,0,0,0,0,1
"93","Epstein-barr virus strain ag876",1,0,2,1,0,0,2,0
"94","Equine adenovirus 1",0,0,0,0,1,0,0,0
"95","Erwinia phage Ea35-70",0,3,0,0,0,0,0,0
"96","Escherichia phage phAPEC8",0,1,0,0,0,0,0,0
"97","Euproctis pseudoconspersa nucleopolyhedrovirus",0,0,0,0,0,1,0,0
"98","Fowlpox virus strain NVSL",0,0,0,0,0,0,1,0
"99","Fusobacterium phage Funu2",0,8,0,0,0,0,0,0
"100","Geobacillus virus E2",0,0,0,0,51,0,0,0
"101","Glypta fumiferanae ichnovirus",47,3,24,35,1,39,3,5
"102","Gordonia phage Gsput1",0,3,0,0,0,0,0,0
"103","Haemophilus phage Aaphi23",0,1,0,0,0,0,0,0
"104","Heliothis zea nudivirus",1,0,0,0,0,0,0,0
"105","Hemileuca sp. nucleopolyhedrovirus",0,0,1,0,0,0,0,0
"106","Hepatitis C virus",0,6,0,0,0,0,0,0
"107","Human adenovirus 15",0,0,1,0,0,0,0,0
"108","Human adenovirus 19",1,0,21,0,0,0,6,0
"109","Human adenovirus 22",0,0,36,1,2,2,1,2
"110","Human adenovirus 27",0,0,1,0,0,0,0,0
"111","Human adenovirus 43",0,0,4,0,0,0,0,0
"112","Human adenovirus 8E",0,0,1,0,0,0,2,0
"113","Human adenovirus D8",0,0,3,0,0,1,0,0
"114","Human endogenous retrovirus ERV-9",1,0,0,0,0,0,0,0
"115","Human endogenous retrovirus K",2,0,0,0,0,0,0,0
"116","Human herpesvirus 4",38,26,127,24,22,34,6,16
"117","Human herpesvirus 5",0,0,0,0,0,2,1,0
"118","Human herpesvirus 6 (strain Uganda-1102)",29,1,13,27,0,71,11,1
"119","Human herpesvirus 6B",0,0,0,1,0,0,0,0
"120","Human immunodeficiency virus 1",1,0,0,0,0,0,0,0
"121","Human mastadenovirus B",1,0,2,0,0,0,0,0
"122","Human mastadenovirus D",6,4,672,4,1,8,25,18
"123","Human papillomavirus",0,9,0,0,0,0,0,0
"124","Human papillomavirus 116",0,11,0,0,0,0,0,0
"125","Human papillomavirus type 107",1,0,0,2,0,3,0,0
"126","Human papillomavirus type 114",0,0,0,0,1,0,0,0
"127","Human papillomavirus type 121",0,1,0,0,0,0,0,0
"128","Human papillomavirus type 124",0,11,0,0,0,0,0,0
"129","Human papillomavirus type 129",0,2,0,0,0,0,0,0
"130","Human papillomavirus type 13",0,8,1,0,0,0,0,0
"131","Human papillomavirus type 137",0,3,0,0,0,0,0,0
"132","Human papillomavirus type 143",0,2,0,0,0,0,0,0
"133","Human papillomavirus type 152",0,16,0,0,0,0,0,0
"134","Human papillomavirus type 16",0,256,0,0,0,0,0,0
"135","Human papillomavirus type 28",0,1,0,0,0,0,0,0
"136","Human papillomavirus type 30",0,825,0,0,0,0,0,0
"137","Human papillomavirus type 31",13,6,3,3,3,7,1,8
"138","Human papillomavirus type 34",0,15,0,0,0,0,0,0
"139","Human papillomavirus type 42",0,16,0,0,0,1,0,0
"140","Human papillomavirus type 45",1,19855,3,1,1,0,3,0
"141","Human papillomavirus type 48",0,1,0,0,0,0,0,0
"142","Human papillomavirus type 51",0,0,1,0,0,0,0,0
"143","Human papillomavirus type 52",5,13041,10,3,2,5,1,5
"144","Human papillomavirus type 53",2,9776,2,0,1,0,1,0
"145","Human papillomavirus type 55",0,0,0,1,0,0,0,0
"146","Human papillomavirus type 56",9,26275,8,9,16,8,3,5
"147","Human papillomavirus type 6",1,35,3,4,4,44,1,1
"148","Human papillomavirus type 61",1,1,0,0,1,8,1,1
"149","Human papillomavirus type 62",14,6,59,8,28,22,3,10
"150","Human papillomavirus type 66",0,267,0,0,0,0,0,0
"151","Human papillomavirus type 70",3,2,0,0,1,1,0,0
"152","Human papillomavirus type 71",1,3,4,3,1,2,5,4
"153","Human papillomavirus type 72",9,1,0,11,6,55,1,4
"154","Human papillomavirus type 72b",8,7,8,5,10,64,4,8
"155","Human papillomavirus type 73",0,192,0,0,0,0,0,0
"156","Human papillomavirus type 74",7,1593,1,2,5,8,0,3
"157","Human papillomavirus type 81",0,0,0,1,0,6,1,1
"158","Human papillomavirus type 83",2,1,0,0,2,6,0,2
"159","Human papillomavirus type 86",0,1,0,0,0,0,0,0
"160","Human papillomavirus type 87",6,0,7,0,1,0,0,1
"161","Human papillomavirus type 89",37,25,40,30,18,112,3,18
"162","Human papillomavirus type 90",0,0,0,0,1,3,0,0
"163","Human papillomavirus type 93",0,2,0,0,0,0,0,0
"164","Hyposoter fugitivus ichnovirus",6,0,1,3,0,2,0,0
