,Viral_Family,Vogue1B2.01.11,Vogue1B2.01.06,Vogue1B2.01.07,Vogue1B2.01.08,Vogue1B2.01.09,Vogue1B2.01.10,Vogue1B2.01.12,Vogue1B2.01.15
1,Coccolithovirus,15,10,16,35,1,25,75,8
2,Human papillomavirus type 56,9,26275,8,9,16,8,3,5
3,unclassified Coccolithovirus,18,4,25,54,2,43,110,16
4,Adenoviridae,10,8,804,9,6,17,60,22
5,Alloherpesviridae,2,1,2,1,0,7,0,0
6,Alphaflexiviridae,1,0,1,2,0,1,3,0
7,Anelloviridae,0,0,0,1,0,3,0,0
8,Arteriviridae,0,0,0,0,1,0,0,0
9,Ascoviridae,1,0,0,0,0,0,0,0
10,Baculoviridae,2,6,3,4,23,774,5,1
11,Bicaudaviridae,0,0,0,0,0,0,1,0
12,Caliciviridae,0,0,0,0,0,0,7,0
13,Caudovirales,0,46,0,0,2,0,1,0
14,Chrysoviridae,0,1,0,0,0,0,0,0
15,Circoviridae,0,9,0,0,0,0,0,0
16,Flaviviridae,0,6,0,0,0,0,0,0
17,Herpesviridae,91,36,171,61,32,147,23,25
18,Iridoviridae,8,0,2,2,0,2,0,0
19,Lipothrixviridae,0,12,0,0,1,0,1,0
20,Luteoviridae,0,1,0,0,0,0,0,0
21,Mimiviridae,6,3,0,3,49,2,8,3
22,Myoviridae,7,631,3,12,85,115,335,12
23,Nimaviridae,0,0,0,0,0,1,3,0
24,Nudiviridae,2,0,0,0,0,2,0,0
25,Other dsDNA viruses,30,10,14,17,3,146,6,3
26,Other Phages,0,876,0,2,51,1,412,3
27,Other Viruses,1,45,0,1,0,0,153,2
28,Papillomaviridae,159,69159,184,103,115,427,40,83
29,Parvoviridae,1,0,0,0,0,0,0,0
30,Phycodnaviridae,14,8,7,16,109,1159,53,13
31,Picornaviridae,2,36,5,0,4,0,16,10
32,Podoviridae,4,1054,4,4,197,5,10,19798
33,Polydnaviridae,53,3,25,38,1,41,3,5
34,Polyomaviridae,0,0,0,1,162,0,0,0
35,Poxviridae,1,0,1,0,4,0,3,0
36,Reoviridae,0,1,0,0,0,0,0,0
37,Retroviridae,5,0,3,3,0,7,3,3
38,Siphoviridae,2,6569,4,50,284,15,841,7
