"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Staphylococcus phage phiMR11",2,0,0,0,0,0,0,0
"2","Bacillus phage SPP1",5,0,0,0,0,0,0,0
"3","Caudovirales",7,0,0,0,0,0,0,0
"4","Streptococcus phage CP-7",12,0,0,0,0,0,0,0
"5","Streptococcus phage Cp-1",205,0,0,0,0,1,0,0
"6","Haemophilus phage HP1c1",250,0,0,0,0,0,0,0
"7","Picovirinae",0,1,0,0,1,1,1,19007
"8","Streptococcus phage Dp-1",0,0,3,0,0,0,0,0
"9","T7likevirus",0,0,0,1,0,0,0,0
"10","Podoviridae",0,0,0,9,0,0,0,0
"11","Lactobacillus phage mv1",0,0,0,0,0,0,1,0
"12","Lactobacillus phage LL-H",0,0,0,0,0,0,8,0
