"","Var1","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"1","Enterovirus B",1,0,82,1,2,0,1,0,0,1,0,1,0,0,2,0,2,1,0,0,0,0,1,1,6
"2","Lymphocryptovirus",1,0,2232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Enterovirus",2,4,197,5,5,1,3,3,6,4,0,7,4,2,4,3,6,2,1,2,3,7,1,0,16
"4","Paramecium bursaria Chlorella virus AP110A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Human herpesvirus 4",6,0,16434,0,0,0,1,0,0,0,1,2,0,2,0,0,1,0,0,0,1,1,0,3,1
"6","Coxsackievirus A9",0,1,51,1,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,7
"7","Enterovirus B73",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Hyposoter fugitivus ichnovirus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Human herpesvirus 6 (strain Uganda-1102)",0,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"10","root",0,5,0,0,0,0,3,0,0,0,0,2,0,0,0,177,0,0,1,0,0,0,0,1,0
"11","Baku virus",0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,15,0,0
"12","Bovine viral diarrhea virus 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13","Duck adenovirus 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Falconid herpesvirus 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Feline sarcoma virus (STRAIN GARDNER-RASHEED)",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,75,0
"16","Pandoravirus salinus",0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0
"17","Coxsackievirus B1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Echovirus E25",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Glypta fumiferanae ichnovirus",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,1
"20","Enterovirus B86",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Carrot red leaf virus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Pectobacterium phage My1",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","unclassified Coccolithovirus",0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"24","Gammaretrovirus",0,0,0,4,0,0,2,0,1,0,2181,1,0,1,0,5,0,6,0,0,3,1,0,0,0
"25","uncultured marine virus",0,0,0,5,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
"26","Choristoneura occidentalis granulovirus",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"27","Human immunodeficiency virus 1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"28","Pandoravirus dulcis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"29","Verticillium dahliae chrysovirus 1",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Caudovirales",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Human enterovirus 79",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","La Jolla virus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Molluscum contagiosum virus subtype 1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
