"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","1349409",1,0,3,0,1,1,1,1,1,0,1,0,1,1,0,3,2,0,0,0,0,0,1,0,0,0,0,36,0,1,1,0,0,0,0,3,0,1,0,2,21,1,0,4,2,0,0,0,0,0,0,2,1,0
"2","1450746",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3","396034",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
"4","754068",1,1,4,0,3,1,2,0,1,1,3,0,2,0,0,1,2,2,0,2,2,0,0,0,0,3,0,0,0,1,3,0,0,1,0,1,0,1,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,1
"5","Alloherpesviridae",1,0,3,0,1,0,1,1,0,0,0,1,0,1,0,3,3,0,1,1,0,0,2,0,0,2,8,0,0,0,0,0,1,0,0,1,0,1,1,5,7,1,0,1,0,0,1,2,1,0,2,2,0,0
"6","Polyomaviridae",1,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17,0,4,0,0,0,0,1,0,108,7,1,1,1,0,0,0,0,0,1,162,0,0,0,0
"7","Tymoviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","10239",2,1,3,2,2,0,0,0,1,2,3,3,706,0,1,0,1,4,10,0,1,12,56,0,9,45,133,0,34,21,28,14,1,4,8,0,263,30,2632,446,12,0,0,0,36,0,44,0,1,0,0,1,153,2
"9","755273",2,0,2,0,2,1,0,3,1,0,1,1,4,0,0,0,0,0,0,4,3,0,1,1,0,2,2,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,1,0,2,0,1,0
"10","Iridoviridae",2,0,3,1,1,1,2,3,1,2,3,0,32,1,0,1,0,0,1,2,4,0,0,0,0,1,0,0,0,1,1,0,5,0,0,6,0,1,29,0,8,0,3,2,0,0,0,2,2,0,1,8,0,0
