"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","1349410",1,12,15,1,13,24,3,1
"2","1605721",1,1,0,1,0,3,0,1
"3","186617",1,0,0,0,0,0,0,0
"4","278008",1,0,0,0,0,0,0,0
"5","870475",1,0,0,0,0,0,0,0
"6","Alloherpesviridae",1,2,1,0,2,2,0,0
"7","Chrysoviridae",1,0,0,0,0,0,0,0
"8","Luteoviridae",1,0,0,0,0,0,0,0
"9","Reoviridae",1,0,0,0,0,0,0,0
"10","12333",3,0,0,0,0,0,0,0
"11","Mimiviridae",3,0,3,49,0,3,8,3
"12","870469",4,0,0,0,0,0,0,0
"13","1168843",5,0,0,0,0,0,0,0
"14","38018",5,0,0,0,0,0,0,0
"15","749413",6,0,1,0,0,0,0,0
"16","Baculoviridae",6,2,4,23,8,2,5,1
"17","Flaviviridae",6,0,0,0,0,0,0,0
"18","1289595",7,0,0,0,0,0,0,0
"19","1640978",8,0,0,0,0,0,0,0
"20","35237",8,0,0,0,1,1,0,0
"21","Adenoviridae",8,804,9,6,17,10,25,22
"22","Circoviridae",9,0,0,0,0,0,0,0
"23","Lipothrixviridae",12,0,0,1,0,0,1,0
"24","1109714",16,0,0,0,0,0,1,0
"25","28883",17,0,0,0,0,0,1,0
"26","911573",22,0,0,0,0,0,0,0
"27","Phycodnaviridae",22,45,103,111,76,44,238,37
"28","139871",23,0,0,0,0,0,407,3
"29","870471",27,0,0,0,0,0,0,0
"30","129861",31,0,0,0,0,0,0,0
"31","Herpesviridae",35,170,60,32,61,91,23,25
"32","10239",44,0,1,0,0,1,153,2
"33","350104",77,0,0,0,0,0,0,0
"34","334523",262,0,0,0,0,0,0,0
"35","Myoviridae",381,2,12,85,5,7,335,12
"36","1392231",400,0,0,0,0,0,0,0
"37","Podoviridae",837,3,4,187,3,2,9,791
"38","1",5318,1,38,107,5,2,1801,12
"39","Siphoviridae",6562,4,47,284,14,2,833,7
"40","Papillomaviridae",95434,192,112,131,431,168,43,88
"41","Alphaflexiviridae",0,1,2,0,1,1,3,0
"42","Poxviridae",0,1,0,4,0,1,3,0
"43","Retroviridae",0,1,2,0,2,5,1,3
"44","Iridoviridae",0,2,2,0,1,8,0,0
"45","Polydnaviridae",0,20,36,0,36,53,2,5
"46","1168812",0,0,1,0,0,0,0,0
"47","51368",0,0,1,0,0,0,0,0
"48","755273",0,0,1,0,2,0,1,0
"49","Anelloviridae",0,0,1,0,0,0,0,0
"50","Polyomaviridae",0,0,1,162,0,0,0,0
"51","755272",0,0,0,1,0,0,0,0
"52","Arteriviridae",0,0,0,1,0,0,0,0
"53","396034",0,0,0,2,0,0,0,0
"54","447909",0,0,0,51,0,0,0,0
"55","743582",0,0,0,0,1,0,0,0
"56","754068",0,0,0,0,1,0,0,1
"57","Ascoviridae",0,0,0,0,0,1,0,0
"58","Parvoviridae",0,0,0,0,0,1,0,0
"59","1349409",0,0,0,0,0,2,1,0
"60","Nudiviridae",0,0,0,0,0,2,0,0
"61","1450746",0,0,0,0,0,0,1,0
"62","Bicaudaviridae",0,0,0,0,0,0,1,0
"63","573173",0,0,0,0,0,0,3,0
"64","Nimaviridae",0,0,0,0,0,0,3,0
"65","Caliciviridae",0,0,0,0,0,0,7,0
"66","Picornaviridae",0,0,0,0,0,0,0,6
