"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106"
"1","1",1,0,2,0,0,0,0,0,0,10,0,0,44,1,0,108,0,1,3,4,0
"2","Herpesviridae",1,0,2,0,2,1,12,1,0,0,2,1,36,0,0,1,0,0,1,0,5
"3","Phycodnaviridae",1,0,1,0,1,0,0,0,0,0,0,1,33,0,0,0,1,0,0,0,0
"4","Retroviridae",1,0,0,0,16,0,1,1,0,0,12,0,15,0,0,0,0,4,0,1,0
"5","Reoviridae",3,0,0,4,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"6","Picornaviridae",5,10,72,3,9,5,3,4,2,6,4,5,1,2,1,0,6,1,2796,1,1
"7","340016",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Adenoviridae",0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,5,0,13
"9","Siphoviridae",0,0,2,0,0,0,0,0,0,0,0,0,46,0,3,0,4,0,2,0,0
"10","1349410",0,0,4,0,0,0,0,1,0,1,0,0,36,0,0,1,0,0,0,0,4
"11","Podoviridae",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Papillomaviridae",0,0,0,7,0,0,0,0,0,0,0,0,0,0,72,0,0,2,7,0,0
"13","754068",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Ascoviridae",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Polydnaviridae",0,0,0,0,0,1,1,1,1,2,0,0,167,0,0,0,0,0,6,2,27
"16","Virgaviridae",0,0,0,0,0,74,0,0,0,0,0,1,0,0,0,62,2,0,0,0,0
"17","Myoviridae",0,0,0,0,0,0,0,0,0,10,0,0,8,4,0,0,0,0,1,0,0
"18","Baculoviridae",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"19","Alloherpesviridae",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"20","1349409",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0
"21","Hytrosaviridae",0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0
"22","28883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"23","Tombusviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"24","186617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"25","10239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"26","Iridoviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"27","Mimiviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"28","Lipothrixviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"29","Poxviridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
