"","Var1","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","1",1,0,0,7,230,0,0,0
"2","Herpesviridae",1,1,1,0,86,0,0,0
"3","Polydnaviridae",3,5,2,1,5,0,1,0
"4","Picornaviridae",36,5,0,4,0,2,16,4
"5","1349410",0,1,0,0,10,0,0,0
"6","Baculoviridae",0,1,0,0,766,0,0,0
"7","Myoviridae",0,1,0,0,110,0,0,0
"8","Retroviridae",0,2,1,0,5,0,2,0
"9","Phycodnaviridae",0,3,2,1,1151,3,0,0
"10","51368",0,0,1,0,0,0,0,0
"11","Iridoviridae",0,0,0,0,1,0,0,0
"12","Nimaviridae",0,0,0,0,1,0,0,0
"13","Podoviridae",0,0,0,0,1,0,0,0
"14","Siphoviridae",0,0,0,0,1,0,0,0
"15","1605721",0,0,0,0,2,0,0,0
"16","35237",0,0,0,0,2,0,0,0
"17","Mimiviridae",0,0,0,0,2,3,0,0
"18","Nudiviridae",0,0,0,0,2,0,0,0
"19","Anelloviridae",0,0,0,0,3,0,0,0
"20","Papillomaviridae",0,0,0,0,4,0,0,0
"21","Alloherpesviridae",0,0,0,0,5,0,0,0
"22","1450746",0,0,0,0,7,0,0,0
"23","754068",0,0,0,0,8,0,0,0
"24","1349409",0,0,0,0,100,0,0,0
"25","Adenoviridae",0,0,0,0,0,0,35,0
