"","Var1","Vogue1A.01.52","Vogue1A.01.59","Vogue1A.01.61","Vogue1A.01.62","Vogue1A.01.64","Vogue1A.01.65","Vogue1A.01.68","Vogue1A.01.69","Vogue1A.01.70","Vogue1A.01.71","Vogue1A.01.74","Vogue1A.01.75","Vogue1A.01.76","Vogue1A.01.77","Vogue1A.01.78","Vogue1A.01.81","Vogue1A.01.84","Vogue1A.01.85","Vogue1A.01.92","Vogue1A.01.101","Vogue1A.01.106","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52","Vogue1B2.01.06","Vogue1B2.01.07","Vogue1B2.01.08","Vogue1B2.01.09","Vogue1B2.01.10","Vogue1B2.01.11","Vogue1B2.01.12","Vogue1B2.01.15"
"1","Alphapapillomavirus 3",1,1,3,2,0,2,1,4,2,3,2,0,4,11,295,4,3,5,4,6,2,1,9,1,1,4,1,29,8,1,0,4,6,106,59,9,3,29043,0,7,10,5,2208,4,0,1,0,8,4,5,3,0,0,2
"2","Bacillus virus 1",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
"3","Brochothrix phage A9",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,1,1,0,0,25,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0
"4","Cafeteria roenbergensis virus BV-PW1",1,1,0,0,0,0,0,0,1,0,0,0,19,2,0,0,0,0,0,12,0,0,0,1,1,0,0,0,6,0,0,0,1,1,1,1,0,0,10,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0
"5","Canarypox virus",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"6","Cardioderma polyomavirus",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"7","Castor fiber papillomavirus 1 EES-2009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Emiliania huxleyi virus PS401",1,1,4,0,3,1,2,0,1,1,3,0,2,0,0,1,2,2,0,2,2,0,0,0,0,3,0,0,0,1,3,0,0,1,0,1,0,1,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,1
"9","Human herpesvirus 2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Human herpesvirus 4 type 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Human mastadenovirus E",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Human papillomavirus",1,0,2,0,0,0,6,0,0,0,7,1,0,2,1,0,0,0,5,0,0,1,121,0,0,0,2,0,32,16,0,1,1,169,0,2,2,40,36,0,17,2,564,1,0,0,9,0,0,0,0,0,0,0
"13","Human papillomavirus type 45",1,0,0,3,0,2,1,1,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,17,1,4,2,5,1,1,2,38,0,1,0,0,1,0,0,19855,3,1,1,0,1,3,0
"14","Human papillomavirus type 6",1,0,7,6,5,3,6,9,3,2,5,3,4,4,5,6,5,2,10,1,3,2,5,2,5,1,7,5,3,4,25,3,10,98,28,45,6,6,3,25,34,101,117650,10,1,0,35,3,4,4,44,1,1,1
"15","Human papillomavirus type 67",1,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,75,845,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
