Viral_Species,1,2,3,4,5,6,7
 no RNA stage, .  , .  , .  , .  , .  , .  , .  
Acanthamoeba polyphaga mimivirus, .  , .  , .  , .  , .  , .  , .  
Acanthocystis turfacea Chlorella virus 1, .  , .  , .  , .  , .  , .  , .  
Acanthocystis turfacea Chlorella virus Canal-1, .  , .  , .  , .  , .  , .  , .  
Acidianus bottle-shaped virus (isolate Pozzuoli), .  , .  , .  , .  , .  , .  , .  
Acidianus two-tailed virus, .  , .  , .  , .  , .  , .  , .  
Acinetobacter phage 133, .  , .  , .  , .  , .  , .  , .  
Acinetobacter phage Presley, .  , .  , .  , .  , .  , .  , .  
Acinetobacter phage vB_AbaM_Acibel004, .  , .  , .  , .  , .  , .  , .  
Actinomyces phage Av-1, .  , .  , .  , .  , .  , .  , .  
Adenoviridae, .  , .  , .  , .  , .  , .  , .  
Aeromonas phage vB_AsaM-56, .  , .  , .  , .  , .  , .  , .  
Aggregatibacter phage Aabphi01, .  , .  , .  , .  , .  , .  , .  
Alcelaphine herpesvirus 2, .  , .  , .  , .  , .  , .  , .  
Alphabaculovirus, .  , .  , .  , .  , .  , .  , .  
Alphaherpesvirinae, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 10, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 12, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 13, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 14, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 2, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 3, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 4, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 5, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 6, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 7, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 8, .  , .  , .  , .  , .  , .  , .  
Alphapapillomavirus 9, .  , .  , .  , .  , .  , .  , .  
Ambrosia asymptomatic virus 2 UKM-2007, .  , .  , .  , .  , .  , .  , .  
Ambystoma tigrinum stebbensi virus, .  , .  , .  , .  , .  , .  , .  
Andrias davidianus ranavirus, .  , .  , .  , .  , .  , .  , .  
Anelloviridae, .  , .  , .  , .  , .  , .  , .  
Antheraea pernyi nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Ateline herpesvirus 3, .  , .  , .  , .  , .  , .  , .  
Aureococcus anophagefferens virus, .  , .  , .  , .  , .  , .  , .  
Avian sarcoma virus 31, .  , .  , .  , .  , .  , .  , .  
Bacillus phage 0305phi8-36, .  , .  , .  , .  , .  , .  , .  
Bacillus phage BCD7, .  , .  , .  , .  , .  , .  , .  
Bacillus phage BCJA1c, .  , .  , .  , .  , .  , .  , .  
Bacillus phage G, .  , .  , .  , .  , .  , .  , .  
Bacillus phage PBC1, .  , .  , .  , .  , .  , .  , .  
Bacillus phage SIOphi, .  , .  , .  , .  , .  , .  , .  
Bacillus phage SPP1, .  , .  , .  , .  , .  , .  , .  
Bacillus phage Staley, .  , .  , .  , .  , .  , .  , .  
Bacillus phage vB_BanS-Tsamsa, .  , .  , .  , .  , .  , .  , .  
Bacillus virus 1, .  , .  , .  , .  , .  , .  , .  
Bacteriophage Lily, .  , .  , .  , .  , .  , .  , .  
Baku virus, .  , .  , .  , .  , .  , .  , .  
Ball python nidovirus, .  , .  , .  , .  , .  , .  , .  
Bat adenovirus 2, .  , .  , .  , .  , .  , .  , .  
Bat betaherpesvirus B7D8, .  , .  , .  , .  , .  , .  , .  
Bathycoccus sp. RCC1105 virus BpV, .  , .  , .  , .  , .  , .  , .  
Bell pepper mottle virus, .  , .  , .  , .  , .  , .  , .  
Betapapillomavirus 1, .  , .  , .  , .  , .  , .  , .  
Betapapillomavirus 2, .  , .  , .  , .  , .  , .  , .  
Bovine herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Bovine herpesvirus 5, .  , .  , .  , .  , .  , .  , .  
Bovine herpesvirus type 1.2, .  , .  , .  , .  , .  , .  , .  
Brevibacillus phage Emery, .  , .  , .  , .  , .  , .  , .  
Brochothrix phage A9, .  , .  , .  , .  , .  , .  , .  
Brochothrix phage BL3, .  , .  , .  , .  , .  , .  , .  
Brochothrix phage NF5, .  , .  , .  , .  , .  , .  , .  
Burkholderia phage Bcep22, .  , .  , .  , .  , .  , .  , .  
Burkholderia phage BcepC6B, .  , .  , .  , .  , .  , .  , .  
Burkholderia phage BcepF1, .  , .  , .  , .  , .  , .  , .  
Burkholderia phage DC1, .  , .  , .  , .  , .  , .  , .  
Burkholderia phage JG068, .  , .  , .  , .  , .  , .  , .  
Burkholderia phage phiE255, .  , .  , .  , .  , .  , .  , .  
Cafeteria roenbergensis virus BV-PW1, .  , .  , .  , .  , .  , .  , .  
Callitrichine herpesvirus 3, .  , .  , .  , .  , .  , .  , .  
Canarypox virus, .  , .  , .  , .  , .  , .  , .  
Canid herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Canine papillomavirus 3, .  , .  , .  , .  , .  , .  , .  
Cardioderma polyomavirus, .  , .  , .  , .  , .  , .  , .  
Caudovirales, .  , .  , .  , .  , .  , .  , .  
Caviid herpesvirus 2, .  , .  , .  , .  , .  , .  , .  
Cellulophaga phage phi13:2, .  , .  , .  , .  , .  , .  , .  
Cellulophaga phage phi39:1, .  , .  , .  , .  , .  , .  , .  
Cellulophaga phage phi46:3, .  , .  , .  , .  , .  , .  , .  
Cellulophaga phage phiST, .  , .  , .  , .  , .  , .  , .  
Cercopithecine herpesvirus 2, .  , .  , .  , .  , .  , .  , .  
Cercopithecine herpesvirus 5, .  , .  , .  , .  , .  , .  , .  
Chimpanzee stool associated circular ssDNA virus, .  , .  , .  , .  , .  , .  , .  
Chlorovirus, .  , .  , .  , .  , .  , .  , .  
Choristoneura occidentalis granulovirus, .  , .  , .  , .  , .  , .  , .  
Choristoneura rosaceana alphabaculovirus, .  , .  , .  , .  , .  , .  , .  
Choristoneura rosaceana entomopoxvirus 'L', .  , .  , .  , .  , .  , .  , .  
Circoviridae, .  , .  , .  , .  , .  , .  , .  
Clostridium phage phiCD211, .  , .  , .  , .  , .  , .  , .  
Clostridium phage phiCDHM19, .  , .  , .  , .  , .  , .  , .  
Clostridium phage phiCP26F, .  , .  , .  , .  , .  , .  , .  
Clostridium phage phiCT19406C, .  , .  , .  , .  , .  , .  , .  
Clostridium phage phiCT453A, .  , .  , .  , .  , .  , .  , .  
Clostridium phage phiCT9441A, .  , .  , .  , .  , .  , .  , .  
Clostridium phage phiCTP1, .  , .  , .  , .  , .  , .  , .  
Coccolithovirus, .  , .  , .  , .  , .  , .  , .  
Colobus guereza papillomavirus type 1, .  , .  , .  , .  , .  , .  , .  
Common chimpanzee papillomavirus 1, .  , .  , .  , .  , .  , .  , .  
Corynebacterium phage BFK20, .  , .  , .  , .  , .  , .  , .  
Corynebacterium phage P1201, .  , .  , .  , .  , .  , .  , .  
Cotesia congregata bracovirus, .  , .  , .  , .  , .  , .  , .  
Coxsackievirus A9, .  , .  , .  , .  , .  , .  , .  
Coxsackievirus B1, .  , .  , .  , .  , .  , .  , .  
Coxsackievirus B3, .  , .  , .  , .  , .  , .  , .  
Cp220likevirus, .  , .  , .  , .  , .  , .  , .  
Croceibacter phage P2559Y, .  , .  , .  , .  , .  , .  , .  
Cronobacter phage CR5,1234.33, .  , .  , .  , .  , .  , .  
Cronobacter phage CR9, .  , .  , .  , .  , .  , .  , .  
Cronobacter phage vB_CsaP_GAP52, .  , .  , .  , .  , .  , .  , .  
Cyprinid herpesvirus 2, .  , .  , .  , .  , .  , .  , .  
Cyprinid herpesvirus 3, .  , .  , .  , .  , .  , .  , .  
Cytomegalovirus, .  , .  , .  , .  , .  , .  , .  
Debaryomyces hansenii virus JB-2008, .  , .  , .  , .  , .  , .  , .  
Deep-sea thermophilic phage D6E, .  , .  , .  , .  , .  , .  , .  
Delftia phage IME-DE1, .  , .  , .  , .  , .  , .  , .  
Dendrolimus kikuchii nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Diadromus pulchellus ascovirus 4a, .  , .  , .  , .  , .  , .  , .  
Dromedary stool-associated circular ssDNA virus, .  , .  , .  , .  , .  , .  , .  
dsDNA viruses, .  , .  , .  , .  , .  , .  , .  
Duck adenovirus 2, .  , .  , .  , .  , .  , .  , .  
EBPR siphovirus 1, .  , .  , .  , .  , .  , .  , .  
EBPR siphovirus 5, .  , .  , .  , .  , .  , .  , .  
Echovirus E2, .  , .  , .  , .  , .  , .  , .  
Echovirus E25, .  , .  , .  , .  , .  , .  , .  
Echovirus E6, .  , .  , .  , .  , .  , .  , .  
Ectocarpus siliculosus virus 1 (isolate Kaikoura), .  , .  , .  , .  , .  , .  , .  
Edwardsiella phage MSW-3, .  , .  , .  , .  , .  , .  , .  
Edwardsiella phage PEi21, .  , .  , .  , .  , .  , .  , .  
Elephant endotheliotropic herpesvirus 6, .  , .  , .  , .  , .  , .  , .  
Elephantid herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus 145, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus 156, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus 164, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus 18, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus 203, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus 84, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus 99B1, .  , .  , .  , .  , .  , .  , .  
Emiliania huxleyi virus PS401, .  , .  , .  , .  , .  , .  , .  
Enhydra lutris papillomavirus 1, .  , .  , .  , .  , .  , .  , .  
Enterobacter phage Enc34, .  , .  , .  , .  , .  , .  , .  
Enterobacteria phage N15, .  , .  , .  , .  , .  , .  , .  
Enterococcus phage ECP3, .  , .  , .  , .  , .  , .  , .  
Enterococcus phage EFDG1, .  , .  , .  , .  , .  , .  , .  
Enterococcus phage EFLK1, .  , .  , .  , .  , .  , .  , .  
Enterococcus phage vB_Efae230P-4, .  , .  , .  , .  , .  , .  , .  
Enterovirus, .  , .  , .  , .  , .  , .  , .  
Enterovirus B, .  , .  , .  , .  , .  , .  , .  
Enterovirus B86, .  , .  , .  , .  , .  , .  , .  
Environmental Halophage eHP-35, .  , .  , .  , .  , .  , .  , .  
Environmental Halophage eHP-40, .  , .  , .  , .  , .  , .  , .  
environmental samples, .  , .  , .  , .  , .  , .  , .  
Epstein-barr virus strain ag876, .  , .  , .  , .  , .  , .  , .  
Equid herpesvirus 5, .  , .  , .  , .  , .  , .  , .  
Erwinia phage Ea35-70, .  , .  , .  , .  , .  , .  , .  
Erwinia phage GR-2012, .  , .  , .  , .  , .  , .  , .  
Erwinia phage phiEt88, .  , .  , .  , .  , .  , .  , .  
Escherichia phage ECML-117, .  , .  , .  , .  , .  , .  , .  
Escherichia phage P694, .  , .  , .  , .  , .  , .  , .  
Escherichia phage Pollock, .  , .  , .  , .  , .  , .  , .  
Euproctis pseudoconspersa nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Faeces associated gemycircularvirus 5, .  , .  , .  , .  , .  , .  , .  
Falconid herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Feline sarcoma virus (STRAIN GARDNER-RASHEED), .  , .  , .  , .  , .  , .  , .  
Flavobacterium phage 6H, .  , .  , .  , .  , .  , .  , .  
Flavobacterium phage FCL-2, .  , .  , .  , .  , .  , .  , .  
Fusobacterium phage Funu2, .  , .  , .  , .  , .  , .  , .  
Gammaherpesvirinae, .  , .  , .  , .  , .  , .  , .  
Gammaretrovirus, .  , .  , .  , .  , .  , .  , .  
Geobacillus phage GBK2, .  , .  , .  , .  , .  , .  , .  
Geobacillus virus E2, .  , .  , .  , .  , .  , .  , .  
Glossina pallidipes salivary gland hypertrophy virus, .  , .  , .  , .  , .  , .  , .  
Glypta fumiferanae ichnovirus, .  , .  , .  , .  , .  , .  , .  
Gordonia phage Gsput1, .  , .  , .  , .  , .  , .  , .  
Gordonia phage GTE2, .  , .  , .  , .  , .  , .  , .  
Haemophilus phage HP1c1, .  , .  , .  , .  , .  , .  , .  
Haloviruses, .  , .  , .  , .  , .  , .  , .  
Helicoverpa zea nudivirus 2, .  , .  , .  , .  , .  , .  , .  
Heliothis zea nudivirus, .  , .  , .  , .  , .  , .  , .  
Hemileuca sp. nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Hepatitis B virus, .  , .  , .  , .  , .  , .  , .  
Hepatitis C virus, .  , .  , .  , .  , .  , .  , .  
Herpesviridae, .  , .  , .  , .  , .  , .  , .  
Human adenovirus 19, .  , .  , .  , .  , .  , .  , .  
Human adenovirus 22, .  , .  , .  , .  , .  , .  , .  
Human adenovirus 43, .  , .  , .  , .  , .  , .  , .  
Human adenovirus 8E, .  , .  , .  , .  , .  , .  , .  
Human adenovirus D8, .  , .  , .  , .  , .  , .  , .  
Human endogenous retrovirus K, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 1, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 2, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 4, .  , .  , .  ,929735, .  , .  , .  
Human herpesvirus 4 (strain B95-8), .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 4 type 1, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 5, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 5 strain AD169, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 5 strain Eisenhardt, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 6, .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 6 (strain Uganda-1102), .  , .  , .  , .  , .  , .  , .  
Human herpesvirus 6B, .  , .  , .  , .  , .  , .  , .  
Human immunodeficiency virus 1, .  , .  , .  , .  , .  , .  , .  
Human mastadenovirus B, .  , .  , .  , .  , .  , .  , .  
Human mastadenovirus C, .  , .  , .  , .  , .  , .  , .  
Human mastadenovirus D, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus 116, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus KC5, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 10, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 101, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 102, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 103, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 106, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 107, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 108, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 11, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 112, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 114, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 115, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 118, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 119, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 12, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 120, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 121, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 122, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 124, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 127, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 128, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 129, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 13, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 132, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 134, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 135, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 137, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 14, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 142, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 15, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 152, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 155, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 16, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 170, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 172, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 173, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 179, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 18, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 19, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 3, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 30, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 31, .  , .  ,184099, .  , .  , .  , .  
Human papillomavirus type 32, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 33, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 34, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 35, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 36, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 38, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 39, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 40, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 42, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 43, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 45, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 47, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 50, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 51, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 52, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 53, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 55, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 56, .  , .  , .  , .  ,299198, .  , .  
Human papillomavirus type 57, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 58, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 59, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 6, .  , .  , .  , .  , .  , .  ,117650
Human papillomavirus type 61, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 62, .  , .  , .  , .  , .  ,346351, .  
Human papillomavirus type 66, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 67, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 68, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 68b, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 70, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 71,1685.4, .  , .  , .  , .  , .  , .  
Human papillomavirus type 72, .  , .  , .  , .  , .  , .  ,177685
Human papillomavirus type 72b, .  , .  , .  , .  , .  , .  ,172568
Human papillomavirus type 73, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 74, .  , .  , .  , .  ,118804, .  , .  
Human papillomavirus type 8, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 81, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 82, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 83, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 84, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 86, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 87, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 89, .  ,1025696, .  , .  , .  , .  , .  
Human papillomavirus type 90, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 91, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus type 99, .  , .  , .  , .  , .  , .  , .  
Human papillomavirus types, .  , .  , .  , .  , .  , .  , .  
Hyposoter fugitivus ichnovirus, .  , .  , .  , .  , .  , .  , .  
Ictalurid herpesvirus 1 (strain Auburn), .  , .  , .  , .  , .  , .  , .  
Indian citrus ringspot virus, .  , .  , .  , .  , .  , .  , .  
Invertebrate iridescent virus 3, .  , .  , .  , .  , .  , .  , .  
JC polyomavirus, .  , .  , .  , .  , .  , .  , .  
Kallithea virus, .  , .  , .  , .  , .  , .  , .  
Klebsiella phage NTUH-K2044-K1-1, .  , .  , .  , .  , .  , .  , .  
Klebsiella phage phiKO2, .  , .  , .  , .  , .  , .  , .  
L5likevirus, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage A2, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage c5, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage EV3, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage JCL1032, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage KC5a, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage Lb338-1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage LBR48, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage Ldl1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage LF1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage LfeInf, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage LfeSau, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage LL-H,2600.67, .  , .  , .  , .  , .  , .  
Lactobacillus phage LP65, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage Lrm1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage Lv-1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage mv1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage phi jlb1,1035, .  , .  , .  , .  , .  , .  
Lactobacillus phage phiadh, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage phiAQ113, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage phig1e, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage phiJB, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage phijl1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage phiPYB5, .  , .  , .  , .  , .  , .  , .  
Lactobacillus phage Sha1, .  , .  , .  , .  , .  , .  , .  
Lactobacillus prophage Lj771, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage 1358, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage 1706, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage c2, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage CB13, .  , .  , .  , .  , .  , .  , .  
Lactococcus phage phiL47, .  , .  , .  , .  , .  , .  , .  
Lambdina fiscellaria nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Leucania separata nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Leuconostoc phage LLC-1, .  , .  , .  , .  , .  , .  , .  
Leuconostoc phage Ln-9, .  , .  , .  , .  , .  , .  , .  
Leuconostoc phage phiMH1, .  , .  , .  , .  , .  , .  , .  
Lymantria dispar multiple nucleopolyhedrovirus, .  , .  , .  , .  , .  , .  , .  
Lymphocryptovirus, .  , .  , .  ,157496, .  , .  , .  
