"","variable","glm.eBH","kw.eBH","signif"
"1","CST",0.254086514808356,0.778309289744198,FALSE
"2","age",1.17227115867794e-10,0.704320713798159,FALSE
"3","bmi",2.35933423664922e-11,0.691172575170501,FALSE
"4","Age.cat",0.718745377053095,0.708409796447399,FALSE
"5","BMI.under.cat",0.909177414083843,0.869779148355196,FALSE
"6","BMI.over.cat",0.74319302983323,0.841594495227013,FALSE
"7","Ethnicity.cat",0.601685343730156,0.778566286060047,FALSE
"8","Ethnicity2.cat",0.723793245553193,0.895294688366189,FALSE
"9","bv_life",0.0500720860246232,0.879426073299326,FALSE
"10","bv_infecttotal_1yr",0.0506343672498692,0.857499921020252,FALSE
"11","bv_infecttotal_2mo",0.104087532618228,0.832766210995623,FALSE
"12","BV.ever",0.73100684503073,0.821429101501027,FALSE
"13","Yeast.ever",0.768824697416711,0.844910408198114,FALSE
"14","UTI.ever",0.739399126862574,0.766985519070671,FALSE
"15","Trich.ever",0.81402481144833,0.912328190144653,FALSE
"16","Condyloma.ever",0.57957528579774,0.824169810073639,FALSE
"17","GenHerpes.ever",0.705882652694095,0.894156888364439,FALSE
"18","Chlamydia.ever",0.607684877570727,0.804611687076586,FALSE
"19","Gonorrhea.ever",0.0922237295954453,0.708748821675805,FALSE
"20","Syphillis.ever",1.17515454298842e-07,0.695897845178359,FALSE
"21","Presence.Symptoms.2wks",0.839940051352062,0.879793554786309,FALSE
"22","Presence.Symptoms.48hrs",0.78376433395897,0.864643856249524,FALSE
"23","Symptom.pain",0.659668129015545,0.881363493478112,FALSE
"24","oralsxfrequency.cat",0.742708899007529,0.787031495462026,FALSE
"25","analsxfrequency.cat",0.0482926176001987,0.722579712283614,FALSE
"26","sextoyfrequency.cat",0.794863272843644,0.825962634793261,FALSE
"27","sexpartner1yr.cat",0.846848471409682,0.892886066448504,FALSE
"28","sexpartner2mo.cat",0.766792000273497,0.896457291092847,FALSE
"29","Contraception.H",0.860522413777607,0.898680629878379,FALSE
"30","Contraception.B.M",0.886229344915951,0.887407323481341,FALSE
"31","Contraception.IUD",0.223440617061916,0.717897784724088,FALSE
"32","Contraception.none",0.847324239992818,0.888369279614211,FALSE
"33","condoms.48h",0.849090885611713,0.827961596092274,FALSE
"34","Pregnancy.cat",0.693241372432537,0.687780068358866,FALSE
"35","Feminine.products",0.780721240721671,0.876138469227918,FALSE
"36","Feminine.products.48hrs",0.790508066483312,0.884011263385228,FALSE
"37","Tampon.Use.cat",0.793512782208414,0.917857045254721,FALSE
"38","days.since.LMP",3.32287895748368e-11,0.828875976612073,FALSE
