"","variable","glm.eBH","kw.eBH","signif"
"1","CST",0.468203654060583,0.551065222078391,FALSE
"2","age",0.000375015832011226,0.713886113094792,FALSE
"3","bmi",4.75259740043422e-07,0.584508501789442,FALSE
"4","Age.cat",0.575261006428819,0.599708003390965,FALSE
"5","BMI.under.cat",0.685596801987889,0.558580596202892,FALSE
"6","BMI.over.cat",0.715613830003148,0.487032645249517,FALSE
"7","Ethnicity.cat",0.570466204706169,0.556291229735431,FALSE
"8","Ethnicity2.cat",0.642506988869257,0.681755480457656,FALSE
"9","bv_life",0.635339364206114,0.724228764983476,FALSE
"10","bv_infecttotal_1yr",0.288800422725023,0.551466427647076,FALSE
"11","bv_infecttotal_2mo",0.174605791521913,0.285586411895961,FALSE
"12","BV.ever",0.291753418585853,0.288781886152048,FALSE
"13","Yeast.ever",0.388611054816077,0.490479739070922,FALSE
"14","UTI.ever",0.208406360829915,0.56137605215664,FALSE
"15","Trich.ever",0.708593812240836,0.78561896702447,FALSE
"16","Condyloma.ever",0.743290667489744,0.738955661204548,FALSE
"17","GenHerpes.ever",0.794865537873549,0.767088867910129,FALSE
"18","Chlamydia.ever",0.445929735599796,0.667674569691106,FALSE
"19","Gonorrhea.ever",0.051957062283926,0.176622638499903,FALSE
"20","Syphillis.ever",0.139391021873933,0.364604455989228,FALSE
"21","Presence.Symptoms.2wks",0.758507653791494,0.721519776653051,FALSE
"22","Presence.Symptoms.48hrs",0.826523373975342,0.854766492932602,FALSE
"23","Symptom.pain",0.751515608168608,0.762503130428628,FALSE
"24","oralsxfrequency.cat",0.519136859390516,0.622803277901904,FALSE
"25","analsxfrequency.cat",0.140555618734736,0.319949964712692,FALSE
"26","sextoyfrequency.cat",0.485379304068879,0.578814068675453,FALSE
"27","sexpartner1yr.cat",0.267576900375482,0.420745964308048,FALSE
"28","sexpartner2mo.cat",0.702428124003191,0.768415614984202,FALSE
"29","Contraception.H",0.790554192137068,0.780719002425742,FALSE
"30","Contraception.B.M",0.800820612619736,0.763824780844237,FALSE
"31","Contraception.IUD",0.818846735915009,0.776100292798003,FALSE
"32","Contraception.none",0.708858384294356,0.698276607806438,FALSE
"33","condoms.48h",0.710286341219074,0.671293810021844,FALSE
"34","Pregnancy.cat",0.489409414782461,0.452642554422937,FALSE
"35","Feminine.products",0.422463135708618,0.559861717895488,FALSE
"36","Feminine.products.48hrs",0.671598936551911,0.61947666538362,FALSE
"37","Tampon.Use.cat",0.809328606863464,0.831452972003677,FALSE
"38","days.since.LMP",0.0278081158390526,0.642900305463595,FALSE
"39","Tampon.use.1mth",0.839600576080208,0.850400898009641,FALSE
"40","smoking.current",0.343256108012351,0.400353624750785,FALSE
"41","druguse",0.482897404014636,0.478838179993819,FALSE
"42","substanceuse",0.168772230431636,0.202265438869309,FALSE
"43","nugent_score_result",0.771257094017853,0.509080952952908,FALSE
"44","sexpartner",0.377723650887797,0.561898019051522,FALSE
"45","contramethnotactive___1",0.496007368585486,0.636528133655637,FALSE
"46","abnormaldischarge2wk",0.653167001955874,0.690367357792385,FALSE
"47","abnormaldischarge48",0.457060809202382,0.488335177409577,FALSE
"48","abnormalodor2wk",0.422227537508479,0.495196535140092,FALSE
"49","abnormalodor48",0.313609077771657,0.369024168511164,FALSE
"50","irritationdiscomfort2wk",0.543880545571702,0.536815030820294,FALSE
"51","irritationdiscomfort48",0.563123606593126,0.554956557380224,FALSE
"52","vaginalsymptomother2wk",0.725150763960749,0.611583814603575,FALSE
"53","rxdrug",0.211137242950477,0.232062134556606,FALSE
"54","antimicrodrug",0.523310578779132,0.614445256055319,FALSE
"55","vaginalintercourse48hr",0.791833802197139,0.796209992517658,FALSE
"56","t16",0.037830891547107,0.203615929931855,FALSE
"57","t18",0.437650549107697,0.526426802445644,FALSE
"58","t26",0.560715059160303,0.408034649588379,FALSE
"59","t33",0.631282299749247,0.642133419715886,FALSE
"60","t35",0.679240857310641,0.526267484900764,FALSE
"61","t42",0.753144970177898,0.772122196513579,FALSE
"62","t45",0.420634625409652,0.520477213043383,FALSE
"63","t51",0.523369520159065,0.540748726544803,FALSE
"64","t52",0.235064264650014,0.440602312109494,FALSE
"65","t53",0.0617599906769539,0.223350237006568,FALSE
"66","t54",0.628857137604701,0.637857863601796,FALSE
"67","t56",0.321776919873798,0.469692716046421,FALSE
"68","t61",0.0687500188788303,0.0926842504219522,FALSE
"69","t62",0.75457564156578,0.754943794360159,FALSE
"70","t66",0.353845421564372,0.29513591668607,FALSE
"71","t67",0.813453833606948,0.796966214543851,FALSE
"72","t68",0.42136356297365,0.491638324603641,FALSE
"73","t70",0.376894229947068,0.393538659655173,FALSE
"74","t71",0.714656306625536,0.672550601039495,FALSE
"75","t72",0.519573870812312,0.523391705029144,FALSE
"76","t73",0.379767976744646,0.515546275491034,FALSE
"77","t81",0.147071354521616,0.41581629055172,FALSE
"78","t83",0.520799980558254,0.531727485238545,FALSE
"79","t84",0.828226260472342,0.87077797929854,FALSE
"80","t89",0.577190550203257,0.404745995899006,FALSE
"81","Number.of.Different.HPV.Types",0.349676165298426,0.626943954394177,FALSE
"82","Med.Duration",0.0192675729896387,0.575211461372712,FALSE
"83","Is.the.patient.antiretroviral.naive.",0.182772175825238,0.341146977926951,FALSE
"84","HIV.Clade...Result",0.352782123717938,0.410869868108502,FALSE
"85","Likely.mode.of.HIV.acquisition",0.567712193779399,0.534659308623666,FALSE
"86","Duration.of.HIV.Infection.",0.0165699054084356,0.559118148774947,FALSE
"87","CD4.Nadir.",0.000283728701705953,0.537782133156033,FALSE
"88","Highest.VL.Ever..",0.0432137045783589,0.619226107421778,FALSE
"89","CD4.",0.0130045614139869,0.649340549002179,FALSE
"90","VL..copies.mL..",0.305747371022835,0.571785871401032,FALSE
"91","HCV.Antibody...Result",0.314931740476343,0.334943468675877,FALSE
"92","HCV.PCR...Result",0.128282108441682,0.235797897747299,FALSE
"93","HBV.sAb...Result",0.831218970005593,0.855614666937982,FALSE
"94","HBV.sAg...Result",0.537510961666575,0.719214254266214,FALSE
"95","HBV.cAb...Result",0.441914904956446,0.559790680425302,FALSE
"96","study_arm",0.361085472295784,0.303180235849528,FALSE
